id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
RAF_JUL_014,999,2,1,5,0,2.94,79.09
RAF_JUL_014,999,3,5,6,0,4.76,91.23
RAF_JUL_014,999,1,1,1,1,0.85,99.17
RAF_JUL_014,0,0,0,0,1,1.04,124.41
RAF_JUL_014,1,3,1,6,0,0.78,132.81
RAF_JUL_014,2,6,1,6,0,1.02,141.43
RAF_JUL_014,3,0,0,0,1,0.62,149.73
RAF_JUL_014,4,3,0,6,0,0.97,158.34
RAF_JUL_014,5,0,1,0,0,1.09,167.28
RAF_JUL_014,6,1,0,1,0,0.67,175.42
RAF_JUL_014,7,4,0,6,0,1.53,184.28
RAF_JUL_014,8,0,0,0,1,1.15,192.89
RAF_JUL_014,9,3,1,6,0,1.03,201.64
RAF_JUL_014,10,2,0,5,0,0.83,210.32
RAF_JUL_014,11,1,1,1,1,2.19,220.34
RAF_JUL_014,12,5,5,6,0,1.15,229.12
RAF_JUL_014,13,3,0,6,0,1.68,238.19
RAF_JUL_014,14,1,0,1,0,2.06,247.9
RAF_JUL_014,15,1,0,1,0,0.86,256.09
RAF_JUL_014,16,2,0,5,0,0.73,264.3
RAF_JUL_014,17,2,1,5,0,0.82,272.51
RAF_JUL_014,18,0,0,0,1,1.99,282.35
RAF_JUL_014,19,5,0,6,0,5.09,294.81
RAF_JUL_014,20,2,5,5,1,0.69,303.33
RAF_JUL_014,21,1,0,1,0,1.73,312.44
RAF_JUL_014,22,3,1,6,0,1.52,321.65
RAF_JUL_014,23,0,0,0,1,0.89,330.24
RAF_JUL_014,24,4,5,6,0,1.4,339.26
RAF_JUL_014,25,2,1,5,0,1.03,347.89
RAF_JUL_014,26,2,1,5,0,1.02,356.58
RAF_JUL_014,27,4,5,6,0,0.69,364.96
RAF_JUL_014,28,0,0,0,1,1.18,373.72
RAF_JUL_014,29,2,0,5,0,1.21,382.6
RAF_JUL_014,30,4,0,6,0,1.47,391.68
RAF_JUL_014,31,0,1,0,0,1.66,400.72
RAF_JUL_014,32,6,1,6,0,1.1,409.54
RAF_JUL_014,33,4,1,6,0,0.97,418.3
RAF_JUL_014,34,5,1,6,0,1.02,427.14
RAF_JUL_014,35,5,1,6,0,0.88,435.65
RAF_JUL_014,36,5,1,6,0,0.53,443.65
RAF_JUL_014,37,5,6,6,1,0.98,452.33
RAF_JUL_014,38,6,1,6,0,1.33,461.06
