id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
RAF_JUL_014,100,6,6,1,0,1.14,34.01
RAF_JUL_014,101,6,6,1,0,0.46,38.66
RAF_JUL_014,102,0,0,1,0,1.28,44.13
RAF_JUL_014,0,0,0,1,1,4.61,66.85
RAF_JUL_014,1,6,6,1,2,0.55,69.61
RAF_JUL_014,2,0,6,0,2,1.11,72.9
RAF_JUL_014,3,0,6,0,2,1.12,76.2
RAF_JUL_014,4,0,6,0,2,1.42,79.82
RAF_JUL_014,5,6,6,1,3,1.0,83.02
RAF_JUL_014,6,6,6,1,4,0.49,85.7
RAF_JUL_014,7,0,6,0,4,0.53,88.41
RAF_JUL_014,8,0,0,1,5,0.43,91.04
RAF_JUL_014,9,6,6,1,6,1.89,95.12
RAF_JUL_014,10,0,6,0,6,0.49,97.8
RAF_JUL_014,11,6,6,1,7,1.54,101.54
RAF_JUL_014,12,0,0,1,8,0.44,104.17
RAF_JUL_014,13,0,6,0,8,0.78,107.13
RAF_JUL_014,14,0,6,0,8,0.35,109.66
RAF_JUL_014,15,0,6,0,8,0.41,112.25
RAF_JUL_014,16,0,6,0,8,0.4,114.85
RAF_JUL_014,17,0,6,0,8,0.7,117.76
RAF_JUL_014,18,0,6,0,8,1.39,121.33
RAF_JUL_014,19,0,0,1,9,0.34,123.9
RAF_JUL_014,20,0,6,0,9,0.44,126.55
RAF_JUL_014,21,6,6,1,10,0.28,129.04
RAF_JUL_014,22,6,6,1,11,0.46,131.69
RAF_JUL_014,23,6,6,1,12,0.26,134.16
RAF_JUL_014,24,0,0,1,13,0.19,136.55
RAF_JUL_014,25,0,6,0,13,0.25,138.99
RAF_JUL_014,26,6,0,0,13,1.36,142.56
RAF_JUL_014,27,6,6,1,14,0.24,144.99
RAF_JUL_014,28,6,6,1,15,0.27,147.45
RAF_JUL_014,29,6,6,1,16,0.2,149.85
RAF_JUL_014,30,6,6,1,17,0.23,152.26
RAF_JUL_014,31,0,0,1,18,0.17,154.63
RAF_JUL_014,32,0,6,0,18,0.2,157.03
RAF_JUL_014,33,0,0,1,19,0.22,159.5
RAF_JUL_014,34,0,0,1,20,0.19,161.92
RAF_JUL_014,35,6,6,1,21,0.2,164.31
RAF_JUL_014,36,6,6,1,22,0.45,166.95
RAF_JUL_014,37,6,0,0,22,0.21,169.36
RAF_JUL_014,38,0,0,1,23,0.25,171.81
RAF_JUL_014,39,0,6,0,23,0.29,174.32
RAF_JUL_014,40,0,0,1,24,0.19,176.71
RAF_JUL_014,41,0,0,1,25,0.13,179.04
RAF_JUL_014,42,6,6,1,26,0.21,181.44
RAF_JUL_014,43,0,6,0,26,1.09,184.72
RAF_JUL_014,44,6,6,1,27,0.26,187.19
RAF_JUL_014,45,6,6,1,28,0.22,189.63
RAF_JUL_014,46,6,6,1,29,0.38,192.19
RAF_JUL_014,47,6,6,1,30,0.24,194.66
RAF_JUL_014,48,0,0,1,31,0.26,197.13
RAF_JUL_014,49,0,0,1,32,0.27,199.62
RAF_JUL_014,50,6,0,0,32,0.77,202.58
RAF_JUL_014,51,6,6,1,33,7.84,212.62
RAF_JUL_014,52,6,6,1,34,0.23,215.06
RAF_JUL_014,53,6,6,1,35,1.21,218.46
RAF_JUL_014,54,6,6,1,36,1.1,221.76
RAF_JUL_014,55,6,6,1,37,0.3,224.28
RAF_JUL_014,56,6,6,1,38,0.36,226.86
RAF_JUL_014,57,6,6,1,39,0.47,229.53
RAF_JUL_014,58,6,6,1,40,0.03,231.78
RAF_JUL_014,59,6,6,1,41,0.35,234.31
RAF_JUL_014,60,6,6,1,42,0.28,236.76
RAF_JUL_014,61,6,6,1,43,0.79,239.76
RAF_JUL_014,62,6,6,1,44,3.7,245.65
RAF_JUL_014,63,6,6,1,45,0.21,248.06
RAF_JUL_014,64,6,6,1,46,0.21,250.46
RAF_JUL_014,65,0,6,0,46,0.15,252.8
RAF_JUL_014,66,0,6,0,46,2.96,257.96
RAF_JUL_014,67,0,0,1,47,0.21,260.39
RAF_JUL_014,68,0,0,1,48,0.19,262.81
RAF_JUL_014,69,6,6,1,49,0.19,265.19
RAF_JUL_014,70,6,6,1,50,0.19,267.56
RAF_JUL_014,71,6,6,1,51,0.43,270.2
RAF_JUL_014,72,6,6,1,52,0.2,272.6
RAF_JUL_014,73,0,0,1,53,0.61,275.44
RAF_JUL_014,74,0,0,1,54,0.27,277.94
RAF_JUL_014,75,6,6,1,55,0.45,280.58
RAF_JUL_014,76,6,6,1,56,0.49,283.29
RAF_JUL_014,77,6,6,1,57,0.53,286.01
RAF_JUL_014,78,6,6,1,58,1.12,289.34
RAF_JUL_014,79,6,6,1,59,1.18,292.69
RAF_JUL_014,80,6,6,1,60,0.95,295.84
RAF_JUL_014,81,0,0,1,61,0.23,298.28
RAF_JUL_014,82,6,6,1,62,1.1,301.57
RAF_JUL_014,83,6,6,1,63,0.2,303.97
RAF_JUL_014,84,0,0,1,64,0.27,306.44
RAF_JUL_014,85,6,6,1,65,0.2,308.82
RAF_JUL_014,86,6,6,1,66,0.19,311.21
RAF_JUL_014,87,6,6,1,67,0.23,313.63
RAF_JUL_014,88,6,6,1,68,0.21,316.05
RAF_JUL_014,89,6,6,1,69,0.23,318.5
RAF_JUL_014,90,0,0,1,70,0.26,320.96
RAF_JUL_014,91,6,6,1,71,0.2,323.37
RAF_JUL_014,92,6,6,1,72,0.68,326.25
RAF_JUL_014,93,6,6,1,73,0.19,328.66
RAF_JUL_014,94,6,6,1,74,0.15,331.0
RAF_JUL_014,95,6,6,1,75,0.84,334.04
RAF_JUL_014,96,6,6,1,76,1.56,337.81
RAF_JUL_014,97,0,0,1,77,0.25,340.25
RAF_JUL_014,98,0,0,1,78,0.2,342.65
RAF_JUL_014,99,6,6,1,79,0.46,345.31
