id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
RIC_NOE_056,100,45,29,29,29,1,common,0,1.24,18.53
RIC_NOE_056,101,52,66,52,52,1,common,0,1.42,24.7
RIC_NOE_056,102,44,53,44,44,1,common,0,1.24,30.68
RIC_NOE_056,0,24,44,24,24,1,common,1,3.12,51.32
RIC_NOE_056,1,29,23,23,23,1,common,2,3.29,57.33
RIC_NOE_056,2,12,27,12,12,1,common,3,3.5,63.55
RIC_NOE_056,3,74,65,65,65,1,common,4,2.32,68.62
RIC_NOE_056,4,90,75,75,75,1,common,5,2.24,73.69
RIC_NOE_056,5,12,18,12,12,1,common,6,2.84,79.23
RIC_NOE_056,6,16,9,9,9,1,common,7,1.7,83.64
RIC_NOE_056,7,25,40,25,40,0,common,7,2.09,88.45
RIC_NOE_056,8,75,60,60,60,1,common,8,2.43,93.62
RIC_NOE_056,9,43,25,25,25,1,common,9,1.49,97.81
RIC_NOE_056,10,15,26,15,15,1,common,10,3.87,104.38
RIC_NOE_056,11,71,54,54,54,1,common,11,3.27,110.41
RIC_NOE_056,12,29,46,29,29,1,common,12,8.17,121.28
RIC_NOE_056,13,33,53,33,33,1,common,13,13.79,137.8
RIC_NOE_056,14,38,52,38,38,1,common,14,1.97,142.53
RIC_NOE_056,15,24,44,24,24,1,common,15,1.79,147.07
RIC_NOE_056,16,13,12,12,12,1,common,16,3.53,153.33
RIC_NOE_056,17,58,64,58,58,1,common,17,1.81,157.92
RIC_NOE_056,18,13,31,13,13,1,common,18,1.75,162.41
RIC_NOE_056,19,88,98,88,88,1,common,19,1.86,167.06
RIC_NOE_056,20,31,43,31,31,1,common,20,2.39,172.2
RIC_NOE_056,21,25,36,25,25,1,common,21,4.62,179.55
RIC_NOE_056,22,29,42,29,29,1,common,22,1.38,183.66
RIC_NOE_056,23,32,20,20,20,1,common,23,3.62,189.99
RIC_NOE_056,24,19,36,36,36,1,common,24,1.45,194.19
RIC_NOE_056,25,36,48,36,36,1,common,25,2.03,198.96
RIC_NOE_056,26,33,13,13,13,1,common,26,2.09,203.75
RIC_NOE_056,27,45,35,35,35,1,common,27,2.8,209.31
RIC_NOE_056,28,35,24,24,24,1,common,28,4.1,216.13
RIC_NOE_056,29,28,45,28,28,1,common,29,5.34,224.2
RIC_NOE_056,30,30,13,13,13,1,common,30,1.4,228.34
RIC_NOE_056,31,17,36,36,36,1,common,31,2.37,233.45
RIC_NOE_056,32,74,62,62,62,1,common,32,1.98,238.21
RIC_NOE_056,33,31,26,26,26,1,common,33,13.67,254.63
RIC_NOE_056,34,38,28,28,28,1,common,34,3.53,260.91
RIC_NOE_056,35,72,81,81,72,0,common,34,1.9,265.6
RIC_NOE_056,36,16,21,16,16,1,common,35,4.38,272.71
RIC_NOE_056,37,36,21,36,36,1,common,36,3.72,279.17
RIC_NOE_056,38,36,16,16,16,1,common,37,3.06,284.95
RIC_NOE_056,39,16,8,8,8,1,common,38,1.5,289.18
RIC_NOE_056,40,12,18,12,12,1,common,39,1.97,293.85
RIC_NOE_056,41,67,76,67,67,1,common,40,1.95,298.58
RIC_NOE_056,42,84,92,84,84,1,common,41,2.55,303.91
RIC_NOE_056,43,14,34,14,14,1,common,42,3.49,310.14
RIC_NOE_056,44,14,9,9,9,1,common,43,2.61,315.47
RIC_NOE_056,45,103,83,83,83,1,common,44,1.63,319.86
RIC_NOE_056,46,33,23,23,23,1,common,45,4.06,326.6
RIC_NOE_056,47,28,19,19,28,0,common,45,6.89,336.25
RIC_NOE_056,48,41,30,41,30,0,common,45,2.08,341.06
RIC_NOE_056,49,53,35,35,35,1,common,46,1.62,345.44
RIC_NOE_056,50,34,33,33,33,1,pro,47,4.38,352.55
RIC_NOE_056,51,86,81,81,81,1,pro,48,4.99,360.34
RIC_NOE_056,52,33,52,52,33,0,pro,48,7.81,370.89
RIC_NOE_056,53,30,44,30,30,1,pro,49,3.58,377.22
RIC_NOE_056,54,35,30,30,30,1,pro,50,3.62,383.56
RIC_NOE_056,55,52,20,52,52,1,pro,51,3.66,389.98
RIC_NOE_056,56,52,31,31,52,0,pro,51,7.34,400.06
RIC_NOE_056,57,24,32,24,24,1,pro,52,6.3,409.12
RIC_NOE_056,58,60,35,35,60,0,pro,52,2.01,413.87
RIC_NOE_056,59,27,32,27,32,0,pro,52,10.39,427.02
RIC_NOE_056,60,31,20,20,20,1,pro,53,3.16,432.87
RIC_NOE_056,61,23,29,23,23,1,pro,54,2.22,437.85
RIC_NOE_056,62,14,24,24,24,1,pro,55,2.73,443.32
RIC_NOE_056,63,32,51,51,32,0,pro,55,1.24,447.32
RIC_NOE_056,64,30,11,11,11,1,pro,56,2.99,453.02
RIC_NOE_056,65,72,53,53,53,1,pro,57,2.73,458.51
RIC_NOE_056,66,51,41,41,41,1,pro,58,6.62,467.9
RIC_NOE_056,67,42,26,26,26,1,pro,59,6.1,476.76
RIC_NOE_056,68,48,23,48,48,1,pro,60,7.61,487.13
RIC_NOE_056,69,56,30,56,56,1,pro,61,1.52,491.38
RIC_NOE_056,70,43,62,43,43,1,pro,62,1.84,496.0
RIC_NOE_056,71,44,50,44,44,1,pro,63,1.64,500.4
RIC_NOE_056,72,14,20,20,20,1,pro,64,5.73,508.86
RIC_NOE_056,73,32,26,26,26,1,pro,65,4.17,515.73
RIC_NOE_056,74,39,19,39,19,0,pro,65,5.46,523.9
RIC_NOE_056,75,24,14,24,24,1,pro,66,3.37,530.0
RIC_NOE_056,76,55,70,70,55,0,pro,66,3.22,535.99
RIC_NOE_056,77,15,6,6,6,1,pro,67,1.5,540.2
