id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
ROD_JAD_035,100,29,45,29,29,1,common,0,3.28,86.35
ROD_JAD_035,101,66,52,52,52,1,common,0,1.36,92.45
ROD_JAD_035,102,53,44,44,44,1,common,0,1.36,98.55
ROD_JAD_035,0,44,24,24,24,1,common,1,1.33,116.68
ROD_JAD_035,1,23,29,23,23,1,common,2,1.63,121.09
ROD_JAD_035,2,27,12,12,12,1,common,3,2.05,125.88
ROD_JAD_035,3,65,74,65,65,1,common,4,1.21,129.84
ROD_JAD_035,4,75,90,75,75,1,common,5,1.91,134.51
ROD_JAD_035,5,12,18,12,12,1,common,6,0.82,138.07
ROD_JAD_035,6,16,9,9,9,1,common,7,0.57,141.33
ROD_JAD_035,7,25,40,40,40,1,common,8,1.37,145.42
ROD_JAD_035,8,75,60,60,60,1,common,9,1.1,149.25
ROD_JAD_035,9,25,43,25,25,1,common,10,2.35,154.34
ROD_JAD_035,10,26,15,15,15,1,common,11,1.58,158.63
ROD_JAD_035,11,71,54,54,54,1,common,12,1.15,162.55
ROD_JAD_035,12,46,29,29,29,1,common,13,1.61,166.87
ROD_JAD_035,13,53,33,53,33,0,common,13,1.44,171.04
ROD_JAD_035,14,38,52,38,38,1,common,14,1.09,174.86
ROD_JAD_035,15,44,24,24,24,1,common,15,0.86,178.46
ROD_JAD_035,16,12,13,12,12,1,common,16,0.57,181.75
ROD_JAD_035,17,58,64,58,58,1,common,17,1.27,185.77
ROD_JAD_035,18,31,13,13,13,1,common,18,1.05,189.55
ROD_JAD_035,19,98,88,98,88,0,common,18,0.91,193.23
ROD_JAD_035,20,31,43,43,31,0,common,18,3.59,199.56
ROD_JAD_035,21,25,36,36,25,0,common,18,2.88,205.13
ROD_JAD_035,22,42,29,29,29,1,common,19,3.97,211.82
ROD_JAD_035,23,20,32,20,20,1,common,20,1.24,215.78
ROD_JAD_035,24,19,36,36,36,1,common,21,2.43,220.93
ROD_JAD_035,25,36,48,36,36,1,common,22,0.94,224.61
ROD_JAD_035,26,33,13,13,13,1,common,23,1.62,228.94
ROD_JAD_035,27,45,35,35,35,1,common,24,0.95,232.63
ROD_JAD_035,28,24,35,24,24,1,common,25,1.24,236.57
ROD_JAD_035,29,45,28,28,28,1,common,26,1.39,240.69
ROD_JAD_035,30,13,30,13,13,1,common,27,0.74,244.16
ROD_JAD_035,31,17,36,36,36,1,common,28,1.39,248.27
ROD_JAD_035,32,74,62,74,62,0,common,28,3.2,254.24
ROD_JAD_035,33,31,26,31,26,0,common,28,0.99,257.93
ROD_JAD_035,34,38,28,28,28,1,common,29,1.72,262.38
ROD_JAD_035,35,81,72,72,72,1,common,30,1.33,266.46
ROD_JAD_035,36,16,21,16,16,1,common,31,0.52,269.69
ROD_JAD_035,37,21,36,36,36,1,common,32,4.98,277.39
ROD_JAD_035,38,16,36,16,16,1,common,33,0.95,281.07
ROD_JAD_035,39,8,16,8,8,1,common,34,0.62,284.39
ROD_JAD_035,40,12,18,12,12,1,common,35,0.36,287.45
ROD_JAD_035,41,67,76,67,67,1,common,36,0.92,291.11
ROD_JAD_035,42,92,84,84,84,1,common,37,2.75,296.62
ROD_JAD_035,43,14,34,14,14,1,common,38,0.69,300.03
ROD_JAD_035,44,14,9,9,9,1,common,39,0.8,303.54
ROD_JAD_035,45,83,103,83,83,1,common,40,2.73,309.0
ROD_JAD_035,46,23,33,23,23,1,common,41,1.54,313.25
ROD_JAD_035,47,28,19,28,28,1,common,42,0.77,316.77
ROD_JAD_035,48,41,30,30,30,1,common,43,1.14,320.61
ROD_JAD_035,49,53,35,35,35,1,common,44,1.25,324.59
ROD_JAD_035,50,34,33,33,33,1,pro,45,2.55,329.87
ROD_JAD_035,51,81,86,86,81,0,pro,45,0.99,333.61
ROD_JAD_035,52,52,33,52,33,0,pro,45,2.11,338.45
ROD_JAD_035,53,44,30,30,30,1,pro,46,0.78,341.97
ROD_JAD_035,54,30,35,35,30,0,pro,46,5.27,349.96
ROD_JAD_035,55,52,20,52,52,1,pro,47,1.16,353.83
ROD_JAD_035,56,52,31,52,52,1,pro,48,1.12,357.67
ROD_JAD_035,57,24,32,24,24,1,pro,49,1.68,362.07
ROD_JAD_035,58,60,35,60,60,1,pro,50,6.48,371.25
ROD_JAD_035,59,32,27,27,32,0,pro,50,1.64,375.63
ROD_JAD_035,60,31,20,20,20,1,pro,51,1.15,379.49
ROD_JAD_035,61,23,29,23,23,1,pro,52,1.64,383.86
ROD_JAD_035,62,24,14,14,24,0,pro,52,0.9,387.49
ROD_JAD_035,63,51,32,32,32,1,pro,53,0.95,391.18
ROD_JAD_035,64,30,11,11,11,1,pro,54,1.05,394.94
ROD_JAD_035,65,72,53,53,53,1,pro,55,1.1,398.79
ROD_JAD_035,66,51,41,41,41,1,pro,56,0.77,402.29
ROD_JAD_035,67,42,26,26,26,1,pro,57,0.81,405.82
ROD_JAD_035,68,23,48,48,48,1,pro,58,1.06,409.61
ROD_JAD_035,69,30,56,56,56,1,pro,59,0.91,413.3
ROD_JAD_035,70,43,62,43,43,1,pro,60,1.07,417.12
ROD_JAD_035,71,50,44,44,44,1,pro,61,3.51,423.38
ROD_JAD_035,72,20,14,14,20,0,pro,61,1.04,427.11
ROD_JAD_035,73,26,32,26,26,1,pro,62,1.12,430.94
ROD_JAD_035,74,19,39,19,19,1,pro,63,2.21,435.84
ROD_JAD_035,75,24,14,24,24,1,pro,64,1.37,439.92
ROD_JAD_035,76,70,55,70,55,0,pro,64,1.29,443.96
ROD_JAD_035,77,15,6,6,6,1,pro,65,0.59,447.26
ROD_JAD_035,78,31,44,31,31,1,pro,66,1.77,451.77
ROD_JAD_035,79,28,60,60,60,1,pro,67,0.78,455.28
ROD_JAD_035,80,20,31,20,20,1,pro,68,3.38,461.37
ROD_JAD_035,81,36,23,36,36,1,pro,69,5.68,469.78
ROD_JAD_035,82,80,63,63,63,1,pro,70,1.36,473.9
ROD_JAD_035,83,8,28,8,8,1,pro,71,0.51,477.11
ROD_JAD_035,84,32,21,32,32,1,pro,72,1.11,480.97
ROD_JAD_035,85,29,41,29,29,1,pro,73,1.86,485.53
ROD_JAD_035,86,40,22,40,40,1,pro,74,1.66,489.94
ROD_JAD_035,87,14,27,14,14,1,pro,75,0.81,493.48
ROD_JAD_035,88,48,32,32,48,0,pro,75,3.5,499.69
ROD_JAD_035,89,42,29,29,29,1,pro,76,2.08,504.5
ROD_JAD_035,90,81,92,81,81,1,pro,77,1.99,509.27
ROD_JAD_035,91,22,20,20,20,1,pro,78,1.44,513.45
ROD_JAD_035,92,32,45,45,32,0,pro,78,1.99,518.15
ROD_JAD_035,93,33,49,49,33,0,pro,78,1.08,521.96
ROD_JAD_035,94,41,58,41,41,1,pro,79,1.32,526.04
ROD_JAD_035,95,22,36,22,36,0,pro,79,1.17,529.94
ROD_JAD_035,96,83,77,83,77,0,pro,79,1.63,534.33
ROD_JAD_035,97,62,68,68,62,0,pro,79,1.09,538.18
ROD_JAD_035,98,17,22,17,17,1,pro,80,3.76,544.64
ROD_JAD_035,99,18,29,18,18,1,pro,81,0.93,548.25
