id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
ROD_JAD_035,999,2,5,5,1,3.34,79.65
ROD_JAD_035,999,3,0,6,0,0.95,87.95
ROD_JAD_035,999,1,5,1,0,1.66,96.71
ROD_JAD_035,0,0,0,0,1,0.94,119.78
ROD_JAD_035,1,3,0,6,0,0.9,128.28
ROD_JAD_035,2,6,1,6,0,0.62,136.49
ROD_JAD_035,3,0,0,0,1,4.55,148.7
ROD_JAD_035,4,3,0,6,0,0.88,157.22
ROD_JAD_035,5,0,1,0,0,1.92,166.91
ROD_JAD_035,6,1,0,1,0,0.58,174.91
ROD_JAD_035,7,4,5,6,0,1.74,183.99
ROD_JAD_035,8,0,0,0,1,0.91,192.32
ROD_JAD_035,9,3,5,6,0,1.37,201.4
ROD_JAD_035,10,2,1,5,0,1.36,210.57
ROD_JAD_035,11,1,0,1,0,0.9,219.28
ROD_JAD_035,12,5,0,6,0,0.61,227.49
ROD_JAD_035,13,3,0,6,0,0.74,235.6
ROD_JAD_035,14,1,0,1,0,0.66,243.94
ROD_JAD_035,15,1,1,1,1,1.18,252.43
ROD_JAD_035,16,2,0,5,0,0.75,260.65
ROD_JAD_035,17,2,1,5,0,0.76,268.74
ROD_JAD_035,18,0,0,0,1,0.8,277.33
ROD_JAD_035,19,5,0,6,0,0.77,285.48
ROD_JAD_035,20,2,1,5,0,0.61,293.93
ROD_JAD_035,21,1,0,1,0,0.6,301.89
ROD_JAD_035,22,3,5,6,0,1.29,310.87
ROD_JAD_035,23,0,0,0,1,0.66,319.24
ROD_JAD_035,24,4,5,6,0,1.17,327.98
ROD_JAD_035,25,2,1,5,0,1.01,336.58
ROD_JAD_035,26,2,0,5,0,0.68,344.91
ROD_JAD_035,27,4,1,6,0,0.72,353.27
ROD_JAD_035,28,0,0,0,1,0.57,361.38
ROD_JAD_035,29,2,1,5,0,1.12,370.13
ROD_JAD_035,30,4,1,6,0,0.51,378.21
ROD_JAD_035,31,0,0,0,1,0.53,386.1
ROD_JAD_035,32,6,1,6,0,0.8,394.57
ROD_JAD_035,33,4,0,6,0,0.62,403.0
ROD_JAD_035,34,5,0,6,0,0.4,411.17
ROD_JAD_035,35,5,1,6,0,0.94,419.71
ROD_JAD_035,36,5,5,6,0,0.98,428.14
ROD_JAD_035,37,5,6,6,1,0.48,436.28
ROD_JAD_035,38,6,1,6,0,2.29,445.93
ROD_JAD_035,39,1,0,1,0,2.06,455.64
ROD_JAD_035,40,0,0,0,1,0.82,464.07
ROD_JAD_035,41,0,0,0,1,0.61,472.26
ROD_JAD_035,42,2,0,5,0,0.56,480.43
ROD_JAD_035,43,2,0,5,0,1.32,489.31
ROD_JAD_035,44,5,5,6,0,1.04,498.09
ROD_JAD_035,45,0,0,0,1,2.3,508.04
ROD_JAD_035,46,3,5,6,0,0.78,516.5
ROD_JAD_035,47,0,0,0,1,0.58,524.39
ROD_JAD_035,48,0,0,0,1,0.59,532.79
ROD_JAD_035,49,4,1,6,0,0.97,541.45
ROD_JAD_035,50,1,0,1,0,0.91,549.94
ROD_JAD_035,51,1,1,1,1,0.58,558.24
ROD_JAD_035,52,3,1,6,0,0.43,566.35
ROD_JAD_035,53,1,0,1,0,0.73,574.65
ROD_JAD_035,54,2,1,5,0,0.69,583.05
ROD_JAD_035,55,6,0,6,0,0.69,591.38
ROD_JAD_035,56,2,0,5,0,0.78,599.77
ROD_JAD_035,57,0,0,0,1,0.62,608.06
ROD_JAD_035,58,3,1,6,0,0.56,616.23
ROD_JAD_035,59,1,0,1,0,0.61,624.65
ROD_JAD_035,60,3,1,6,0,0.58,633.0
ROD_JAD_035,61,3,1,6,0,0.8,641.43
ROD_JAD_035,62,3,0,6,0,0.72,649.55
ROD_JAD_035,63,1,0,1,0,0.58,657.77
ROD_JAD_035,64,0,0,0,1,0.59,665.96
ROD_JAD_035,65,4,5,6,0,1.08,674.74
ROD_JAD_035,66,3,5,6,0,1.37,683.78
ROD_JAD_035,67,2,1,5,0,1.31,692.47
ROD_JAD_035,68,5,6,6,1,0.47,700.26
ROD_JAD_035,69,2,0,5,0,0.76,708.68
ROD_JAD_035,70,5,0,6,0,0.59,716.63
ROD_JAD_035,71,6,1,6,0,0.88,725.11
ROD_JAD_035,72,2,0,5,0,0.66,733.15
ROD_JAD_035,73,0,0,0,1,1.24,742.0
ROD_JAD_035,74,1,0,1,0,0.65,750.3
ROD_JAD_035,75,2,5,5,1,1.24,759.17
ROD_JAD_035,76,2,1,5,0,0.69,767.53
ROD_JAD_035,77,1,0,1,0,0.6,775.75
ROD_JAD_035,78,4,5,6,0,1.43,784.81
ROD_JAD_035,79,2,0,5,0,0.81,793.23
ROD_JAD_035,80,2,1,5,0,0.75,801.76
ROD_JAD_035,81,0,0,0,1,0.55,809.69
ROD_JAD_035,82,4,5,6,0,1.2,818.36
ROD_JAD_035,83,4,1,6,0,0.62,826.61
ROD_JAD_035,84,2,1,5,0,1.28,835.22
ROD_JAD_035,85,4,0,6,0,1.15,843.76
ROD_JAD_035,86,3,1,6,0,0.49,852.08
ROD_JAD_035,87,1,0,1,0,0.66,860.38
ROD_JAD_035,88,0,0,0,1,0.51,868.52
ROD_JAD_035,89,0,0,0,1,0.57,876.74
ROD_JAD_035,90,0,0,0,1,0.6,884.71
ROD_JAD_035,91,1,1,1,1,0.69,893.22
ROD_JAD_035,92,5,1,6,0,0.73,901.52
ROD_JAD_035,93,4,5,6,0,1.19,910.1
ROD_JAD_035,94,6,6,6,1,0.88,918.64
ROD_JAD_035,95,3,1,6,0,1.01,927.5
ROD_JAD_035,96,5,5,6,0,1.06,936.26
ROD_JAD_035,97,4,1,6,0,0.75,944.6
ROD_JAD_035,98,1,0,1,0,0.54,952.7
ROD_JAD_035,99,1,1,1,1,0.72,960.8
ROD_JAD_035,100,0,0,0,1,1.93,1087.96
ROD_JAD_035,101,0,0,0,1,0.51,1093.7
ROD_JAD_035,102,2,5,5,1,1.13,1100.09
ROD_JAD_035,103,2,1,5,0,1.23,1106.57
ROD_JAD_035,104,3,1,6,0,1.32,1113.13
ROD_JAD_035,105,0,0,0,1,0.53,1118.91
ROD_JAD_035,106,4,5,6,0,1.91,1126.08
ROD_JAD_035,107,1,0,1,0,0.67,1131.98
ROD_JAD_035,108,1,0,1,0,0.57,1137.77
ROD_JAD_035,109,2,5,5,1,0.56,1143.57
ROD_JAD_035,110,0,0,0,1,1.4,1150.21
ROD_JAD_035,111,1,1,1,1,0.64,1156.11
ROD_JAD_035,112,3,0,6,0,1.07,1162.44
ROD_JAD_035,113,6,6,6,1,0.55,1168.21
ROD_JAD_035,114,6,6,6,1,0.73,1174.2
ROD_JAD_035,115,1,1,1,1,3.36,1182.81
ROD_JAD_035,116,2,1,5,0,0.94,1189.0
ROD_JAD_035,117,6,5,6,0,1.31,1195.53
ROD_JAD_035,118,5,6,6,1,0.59,1201.42
ROD_JAD_035,119,4,5,6,0,1.25,1207.93
ROD_JAD_035,120,3,1,6,0,1.04,1214.19
ROD_JAD_035,121,0,0,0,1,0.93,1220.33
ROD_JAD_035,122,4,5,6,0,0.87,1226.44
ROD_JAD_035,123,4,6,6,1,0.3,1231.95
ROD_JAD_035,124,0,0,0,1,0.73,1237.89
ROD_JAD_035,125,0,0,0,1,0.61,1243.74
ROD_JAD_035,126,2,1,5,0,1.53,1250.49
ROD_JAD_035,127,4,6,6,1,0.41,1256.16
ROD_JAD_035,128,3,6,6,1,0.79,1262.21
ROD_JAD_035,129,0,0,0,1,0.67,1268.13
ROD_JAD_035,130,4,6,6,1,0.36,1273.76
ROD_JAD_035,131,3,1,6,0,0.8,1279.78
ROD_JAD_035,132,5,6,6,1,0.46,1285.46
ROD_JAD_035,133,2,1,5,0,0.76,1291.43
ROD_JAD_035,134,3,5,6,0,0.85,1297.5
ROD_JAD_035,135,4,6,6,1,0.36,1303.08
ROD_JAD_035,136,2,0,5,0,0.69,1308.99
ROD_JAD_035,137,3,5,6,0,1.71,1315.95
ROD_JAD_035,138,6,1,6,0,1.54,1322.74
ROD_JAD_035,139,0,0,0,1,0.6,1328.61
ROD_JAD_035,140,5,6,6,1,0.57,1334.42
ROD_JAD_035,141,3,6,6,1,0.41,1340.06
ROD_JAD_035,142,6,6,6,1,0.75,1346.04
ROD_JAD_035,143,5,6,6,1,0.65,1351.92
ROD_JAD_035,144,3,5,6,0,0.42,1357.59
ROD_JAD_035,145,0,0,0,1,1.01,1363.85
ROD_JAD_035,146,1,1,1,1,0.56,1369.63
ROD_JAD_035,147,5,6,6,1,0.66,1375.51
ROD_JAD_035,148,1,0,1,0,1.06,1381.82
ROD_JAD_035,149,4,0,6,0,0.47,1387.54
ROD_JAD_035,150,6,1,6,0,0.75,1513.45
ROD_JAD_035,151,3,1,6,0,0.62,1519.21
ROD_JAD_035,152,1,1,1,1,0.68,1525.0
ROD_JAD_035,153,2,1,5,0,0.62,1530.74
ROD_JAD_035,154,0,0,0,1,1.2,1537.09
ROD_JAD_035,155,4,1,6,0,0.92,1543.14
ROD_JAD_035,156,5,5,6,0,2.28,1550.53
ROD_JAD_035,157,1,5,1,0,2.46,1558.11
ROD_JAD_035,158,5,1,6,0,1.36,1564.62
ROD_JAD_035,159,4,5,6,0,0.93,1570.67
ROD_JAD_035,160,4,0,6,0,1.93,1577.75
ROD_JAD_035,161,2,1,5,0,0.54,1583.41
ROD_JAD_035,162,4,5,6,0,1.05,1589.62
ROD_JAD_035,163,3,5,6,0,0.78,1595.57
ROD_JAD_035,164,4,0,6,0,0.67,1601.41
ROD_JAD_035,165,2,1,5,0,0.54,1607.11
ROD_JAD_035,166,4,1,6,0,0.57,1612.84
ROD_JAD_035,167,2,1,5,0,0.66,1618.63
ROD_JAD_035,168,0,0,0,1,0.58,1624.33
ROD_JAD_035,169,4,1,6,0,0.46,1629.93
ROD_JAD_035,170,6,6,6,1,0.53,1635.59
ROD_JAD_035,171,2,1,5,0,0.6,1641.32
ROD_JAD_035,172,6,6,6,1,0.59,1647.03
ROD_JAD_035,173,1,0,1,0,0.67,1652.84
ROD_JAD_035,174,6,5,6,0,1.23,1659.2
ROD_JAD_035,175,3,1,6,0,0.92,1665.28
ROD_JAD_035,176,1,0,1,0,0.81,1671.23
ROD_JAD_035,177,0,1,0,0,0.54,1676.91
ROD_JAD_035,178,5,5,6,0,1.55,1683.6
ROD_JAD_035,179,0,0,0,1,0.67,1689.41
ROD_JAD_035,180,0,0,0,1,0.71,1695.25
ROD_JAD_035,181,3,1,6,0,0.81,1701.2
ROD_JAD_035,182,1,0,1,0,0.68,1707.01
ROD_JAD_035,183,6,0,6,0,0.6,1712.77
ROD_JAD_035,184,2,1,5,0,0.52,1718.42
ROD_JAD_035,185,6,5,6,0,0.83,1724.38
