id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
ROD_JAD_035,100,6,6,1,0,1.08,44.6
ROD_JAD_035,101,6,6,1,0,0.49,49.25
ROD_JAD_035,102,6,0,0,0,0.27,53.67
ROD_JAD_035,0,0,0,1,1,0.47,70.69
ROD_JAD_035,1,6,6,1,2,2.44,75.35
ROD_JAD_035,2,0,6,0,2,0.46,77.97
ROD_JAD_035,3,6,6,1,3,0.45,80.6
ROD_JAD_035,4,6,6,1,4,0.25,83.03
ROD_JAD_035,5,6,6,1,5,0.37,85.56
ROD_JAD_035,6,6,6,1,6,0.28,88.02
ROD_JAD_035,7,0,6,0,6,0.29,90.48
ROD_JAD_035,8,0,0,1,7,0.33,92.97
ROD_JAD_035,9,0,6,0,7,0.45,95.56
ROD_JAD_035,10,6,6,1,8,0.32,98.08
ROD_JAD_035,11,0,6,0,8,0.84,101.08
ROD_JAD_035,12,0,0,1,9,0.3,103.58
ROD_JAD_035,13,0,6,0,9,0.48,106.23
ROD_JAD_035,14,0,6,0,9,0.53,108.94
ROD_JAD_035,15,0,6,0,9,0.35,111.47
ROD_JAD_035,16,6,6,1,10,0.69,114.36
ROD_JAD_035,17,6,6,1,11,0.26,116.8
ROD_JAD_035,18,6,6,1,12,0.51,119.47
ROD_JAD_035,19,0,0,1,13,0.24,121.88
ROD_JAD_035,20,0,6,0,13,0.25,124.33
ROD_JAD_035,21,6,6,1,14,0.78,127.27
ROD_JAD_035,22,0,6,0,14,0.69,130.13
ROD_JAD_035,23,6,6,1,15,0.27,132.58
ROD_JAD_035,24,0,0,1,16,0.44,135.21
ROD_JAD_035,25,0,6,0,16,0.55,137.94
ROD_JAD_035,26,0,0,1,17,0.43,140.56
ROD_JAD_035,27,6,6,1,18,0.26,142.99
ROD_JAD_035,28,0,6,0,18,0.33,145.5
ROD_JAD_035,29,6,6,1,19,0.29,147.95
ROD_JAD_035,30,0,6,0,19,0.29,150.41
ROD_JAD_035,31,0,0,1,20,0.36,152.93
ROD_JAD_035,32,6,6,1,21,0.28,155.38
ROD_JAD_035,33,0,0,1,22,0.43,158.0
ROD_JAD_035,34,0,0,1,23,0.35,160.54
ROD_JAD_035,35,6,6,1,24,0.29,163.0
ROD_JAD_035,36,6,6,1,25,0.28,165.45
ROD_JAD_035,37,0,0,1,26,0.28,167.9
ROD_JAD_035,38,0,0,1,27,0.31,170.4
ROD_JAD_035,39,6,6,1,28,0.35,172.92
ROD_JAD_035,40,0,0,1,29,0.21,175.3
ROD_JAD_035,41,0,0,1,30,0.24,177.75
ROD_JAD_035,42,6,6,1,31,0.25,180.16
ROD_JAD_035,43,6,6,1,32,0.28,182.63
ROD_JAD_035,44,6,6,1,33,0.28,185.09
ROD_JAD_035,45,6,6,1,34,0.27,187.54
ROD_JAD_035,46,6,6,1,35,0.27,189.99
ROD_JAD_035,47,6,6,1,36,0.35,192.51
ROD_JAD_035,48,0,0,1,37,0.23,194.91
ROD_JAD_035,49,0,0,1,38,0.25,197.36
ROD_JAD_035,50,0,0,1,39,0.26,199.8
ROD_JAD_035,51,6,6,1,40,0.33,202.31
ROD_JAD_035,52,6,6,1,41,0.28,204.79
ROD_JAD_035,53,6,6,1,42,0.39,207.37
ROD_JAD_035,54,0,6,0,42,0.61,210.13
ROD_JAD_035,55,6,6,1,43,0.38,212.69
ROD_JAD_035,56,0,6,0,43,0.45,215.31
ROD_JAD_035,57,6,6,1,44,0.49,217.99
ROD_JAD_035,58,6,6,1,45,0.47,220.63
ROD_JAD_035,59,6,6,1,46,0.7,223.52
ROD_JAD_035,60,0,6,0,46,0.3,225.99
ROD_JAD_035,61,0,6,0,46,0.45,228.61
