id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
SAN_AUD_050,999,2,1,5,0,11.94,140.64
SAN_AUD_050,999,3,5,6,0,3.97,151.97
SAN_AUD_050,999,1,5,1,0,8.3,167.36
SAN_AUD_050,0,0,1,0,0,1.58,227.26
SAN_AUD_050,1,3,1,6,0,3.92,238.82
SAN_AUD_050,2,6,0,6,0,0.91,247.31
SAN_AUD_050,3,0,0,0,1,0.92,255.87
SAN_AUD_050,4,3,1,6,0,1.21,264.78
SAN_AUD_050,5,0,6,0,0,1.57,274.19
SAN_AUD_050,6,1,0,1,0,1.35,282.99
SAN_AUD_050,7,4,1,6,0,1.45,291.78
SAN_AUD_050,8,0,1,0,0,2.59,301.83
SAN_AUD_050,9,3,5,6,0,0.93,310.49
SAN_AUD_050,10,2,1,5,0,1.89,320.21
SAN_AUD_050,11,1,0,1,0,0.96,329.01
SAN_AUD_050,12,5,1,6,0,0.84,337.54
SAN_AUD_050,13,3,1,6,0,1.07,346.0
SAN_AUD_050,14,1,5,1,0,1.55,355.17
SAN_AUD_050,15,1,0,1,0,0.61,363.11
SAN_AUD_050,16,2,0,5,0,0.66,371.23
SAN_AUD_050,17,2,1,5,0,1.11,379.71
SAN_AUD_050,18,0,1,0,0,1.29,388.81
SAN_AUD_050,19,5,1,6,0,1.47,397.67
SAN_AUD_050,20,2,5,5,1,0.64,406.12
SAN_AUD_050,21,1,1,1,1,0.92,414.41
SAN_AUD_050,22,3,5,6,0,1.39,423.51
SAN_AUD_050,23,0,5,0,0,1.95,433.14
SAN_AUD_050,24,4,1,6,0,0.8,441.57
SAN_AUD_050,25,2,5,5,1,0.53,449.74
SAN_AUD_050,26,2,5,5,1,2.24,459.66
SAN_AUD_050,27,4,6,6,1,2.87,470.19
SAN_AUD_050,28,0,1,0,0,2.7,480.46
SAN_AUD_050,29,2,5,5,1,2.8,490.9
SAN_AUD_050,30,4,1,6,0,1.95,500.56
SAN_AUD_050,31,0,0,0,1,0.51,508.42
SAN_AUD_050,32,6,5,6,0,0.94,517.03
SAN_AUD_050,33,4,5,6,0,1.08,525.92
SAN_AUD_050,34,5,0,6,0,0.58,534.3
SAN_AUD_050,35,5,0,6,0,2.83,544.75
SAN_AUD_050,36,5,5,6,0,1.49,553.68
SAN_AUD_050,37,5,6,6,1,0.58,561.94
SAN_AUD_050,38,6,0,6,0,0.56,569.9
SAN_AUD_050,39,1,1,1,1,0.88,578.48
SAN_AUD_050,40,0,0,0,1,0.56,586.69
SAN_AUD_050,41,0,0,0,1,0.77,595.08
SAN_AUD_050,42,2,0,5,0,0.7,603.41
SAN_AUD_050,43,2,0,5,0,0.54,611.53
