id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SAR_SAM_021,100,45,29,29,29,1,common,0,1.79,352.83
SAR_SAM_021,101,52,66,52,52,1,common,0,1.79,359.36
SAR_SAM_021,102,44,53,44,44,1,common,0,1.63,365.76
SAR_SAM_021,0,44,24,24,24,1,common,1,2.66,387.55
SAR_SAM_021,1,29,23,23,23,1,common,2,1.48,391.78
SAR_SAM_021,2,12,27,12,12,1,common,3,2.62,397.14
SAR_SAM_021,3,65,74,65,65,1,common,4,1.1,401.02
SAR_SAM_021,4,90,75,75,75,1,common,5,2.16,405.95
SAR_SAM_021,5,18,12,12,12,1,common,6,57.68,466.36
SAR_SAM_021,6,9,16,9,9,1,common,7,2.1,471.18
SAR_SAM_021,7,25,40,25,40,0,common,7,39.22,513.14
SAR_SAM_021,8,60,75,60,60,1,common,8,4.61,520.53
SAR_SAM_021,9,43,25,25,25,1,common,9,1.3,524.59
SAR_SAM_021,10,15,26,15,15,1,common,10,1.94,529.27
SAR_SAM_021,11,54,71,54,54,1,common,11,1.09,533.12
SAR_SAM_021,12,29,46,29,29,1,common,12,1.05,536.91
SAR_SAM_021,13,33,53,33,33,1,common,13,0.85,540.53
SAR_SAM_021,14,38,52,38,38,1,common,14,0.8,544.1
SAR_SAM_021,15,44,24,24,24,1,common,15,1.1,547.96
SAR_SAM_021,16,13,12,12,12,1,common,16,4.13,554.84
SAR_SAM_021,17,64,58,58,58,1,common,17,3.39,561.01
SAR_SAM_021,18,13,31,13,13,1,common,18,1.12,564.88
SAR_SAM_021,19,88,98,88,88,1,common,19,1.89,569.57
SAR_SAM_021,20,31,43,31,31,1,common,20,1.9,574.23
SAR_SAM_021,21,36,25,25,25,1,common,21,0.85,577.81
SAR_SAM_021,22,42,29,29,29,1,common,22,1.46,582.0
SAR_SAM_021,23,32,20,20,20,1,common,23,1.13,585.88
SAR_SAM_021,24,36,19,36,36,1,common,24,2.04,590.67
SAR_SAM_021,25,48,36,36,36,1,common,25,1.36,594.83
SAR_SAM_021,26,33,13,13,13,1,common,26,0.78,598.35
SAR_SAM_021,27,45,35,35,35,1,common,27,1.45,602.56
SAR_SAM_021,28,24,35,24,24,1,common,28,1.97,607.27
SAR_SAM_021,29,45,28,28,28,1,common,29,0.82,610.87
SAR_SAM_021,30,13,30,30,13,0,common,29,0.92,614.53
SAR_SAM_021,31,36,17,36,36,1,common,30,7.74,625.01
SAR_SAM_021,32,62,74,62,62,1,common,31,60.13,687.92
SAR_SAM_021,33,26,31,26,26,1,common,32,0.99,691.69
SAR_SAM_021,34,38,28,28,28,1,common,33,1.26,695.71
SAR_SAM_021,35,81,72,72,72,1,common,34,1.78,700.27
SAR_SAM_021,36,16,21,16,16,1,common,35,1.92,704.96
SAR_SAM_021,37,21,36,36,36,1,common,36,1.76,709.47
SAR_SAM_021,38,36,16,16,16,1,common,37,1.77,714.0
SAR_SAM_021,39,16,8,8,8,1,common,38,2.99,719.69
SAR_SAM_021,40,12,18,12,12,1,common,39,0.66,723.09
SAR_SAM_021,41,67,76,67,67,1,common,40,1.4,727.28
SAR_SAM_021,42,84,92,84,84,1,common,41,1.31,731.37
SAR_SAM_021,43,14,34,14,14,1,common,42,1.19,735.32
