id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
SAR_SAM_021,999,2,1,5,0,3.44,96.28
SAR_SAM_021,999,3,1,6,0,1.94,105.58
SAR_SAM_021,999,1,5,1,0,4.27,116.96
SAR_SAM_021,0,0,5,0,0,4.21,146.2
SAR_SAM_021,1,3,1,6,0,1.91,155.82
SAR_SAM_021,2,6,6,6,1,0.99,164.43
SAR_SAM_021,3,0,0,0,1,1.43,173.56
SAR_SAM_021,4,3,0,6,0,0.97,182.19
SAR_SAM_021,5,0,1,0,0,1.25,191.29
SAR_SAM_021,6,1,0,1,0,1.49,200.24
SAR_SAM_021,7,4,0,6,0,1.38,208.97
SAR_SAM_021,8,0,0,0,1,1.16,217.62
SAR_SAM_021,9,3,5,6,0,0.98,226.36
SAR_SAM_021,10,2,1,5,0,1.5,235.73
SAR_SAM_021,11,1,0,1,0,1.78,245.37
SAR_SAM_021,12,5,1,6,0,1.36,254.42
SAR_SAM_021,13,3,0,6,0,1.48,263.29
SAR_SAM_021,14,1,0,1,0,1.31,272.25
SAR_SAM_021,15,1,1,1,1,0.92,280.53
SAR_SAM_021,16,2,0,5,0,1.25,289.26
SAR_SAM_021,17,2,1,5,0,1.32,297.98
SAR_SAM_021,18,0,1,0,0,0.86,306.76
SAR_SAM_021,19,5,0,6,0,1.06,315.26
SAR_SAM_021,20,2,1,5,0,1.25,324.32
SAR_SAM_021,21,1,0,1,0,2.29,334.02
SAR_SAM_021,22,3,1,6,0,1.16,342.92
SAR_SAM_021,23,0,0,0,1,0.48,351.17
SAR_SAM_021,24,4,0,6,0,0.83,359.65
SAR_SAM_021,25,2,1,5,0,1.39,368.66
SAR_SAM_021,26,2,1,5,0,0.82,377.18
SAR_SAM_021,27,4,5,6,0,0.84,385.68
SAR_SAM_021,28,0,0,0,1,0.94,394.22
SAR_SAM_021,29,2,0,5,0,0.71,402.62
SAR_SAM_021,30,4,1,6,0,0.69,410.9
SAR_SAM_021,31,0,0,0,1,0.73,419.01
SAR_SAM_021,32,6,1,6,0,1.0,427.73
SAR_SAM_021,33,4,0,6,0,1.2,436.76
SAR_SAM_021,34,5,1,6,0,0.74,445.34
SAR_SAM_021,35,5,1,6,0,0.8,453.78
SAR_SAM_021,36,5,5,6,0,0.84,462.1
SAR_SAM_021,37,5,5,6,0,0.7,470.48
SAR_SAM_021,38,6,5,6,0,0.96,478.84
SAR_SAM_021,39,1,1,1,1,0.67,487.2
SAR_SAM_021,40,0,0,0,1,0.74,495.54
SAR_SAM_021,41,0,0,0,1,0.72,503.93
SAR_SAM_021,42,2,0,5,0,0.95,512.53
SAR_SAM_021,43,2,0,5,0,2.81,522.96
SAR_SAM_021,44,5,6,6,1,6.72,537.51
SAR_SAM_021,45,0,5,0,0,21.34,566.52
SAR_SAM_021,46,3,5,6,0,0.78,575.04
SAR_SAM_021,47,0,0,0,1,0.61,583.03
SAR_SAM_021,48,0,0,0,1,0.75,591.67
SAR_SAM_021,49,4,5,6,0,0.98,600.38
SAR_SAM_021,50,1,0,1,0,1.65,609.7
SAR_SAM_021,51,1,0,1,0,0.69,618.14
SAR_SAM_021,52,3,0,6,0,0.76,626.62
SAR_SAM_021,53,1,1,1,1,0.89,635.15
SAR_SAM_021,54,2,1,5,0,1.42,644.34
SAR_SAM_021,55,6,5,6,0,0.53,652.54
SAR_SAM_021,56,2,0,5,0,0.87,661.05
SAR_SAM_021,57,0,0,0,1,0.39,669.16
SAR_SAM_021,58,3,1,6,0,0.82,677.63
SAR_SAM_021,59,1,0,1,0,1.35,686.84
SAR_SAM_021,60,3,0,6,0,0.79,695.48
SAR_SAM_021,61,3,0,6,0,0.77,703.94
