id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SAT_AMI_059,100,45,29,29,29,1,common,0,1.68,33.48
SAT_AMI_059,101,52,66,52,52,1,common,0,1.41,39.64
SAT_AMI_059,102,44,53,53,44,0,common,0,1.47,45.88
SAT_AMI_059,0,44,24,24,24,1,common,1,2.08,65.88
SAT_AMI_059,1,29,23,29,23,0,common,1,1.26,69.88
SAT_AMI_059,2,27,12,12,12,1,common,2,1.66,74.27
SAT_AMI_059,3,74,65,65,65,1,common,3,1.57,78.61
SAT_AMI_059,4,75,90,90,75,0,common,3,1.82,83.21
SAT_AMI_059,5,18,12,18,12,0,common,3,2.19,88.15
SAT_AMI_059,6,16,9,9,9,1,common,4,0.9,91.8
SAT_AMI_059,7,40,25,40,40,1,common,5,2.17,96.72
SAT_AMI_059,8,75,60,60,60,1,common,6,1.24,100.72
SAT_AMI_059,9,43,25,25,25,1,common,7,1.6,105.04
SAT_AMI_059,10,26,15,26,15,0,common,7,0.95,108.7
SAT_AMI_059,11,71,54,54,54,1,common,8,1.55,113.03
SAT_AMI_059,12,46,29,46,29,0,common,8,0.96,116.7
SAT_AMI_059,13,33,53,53,33,0,common,8,1.68,121.15
SAT_AMI_059,14,52,38,52,38,0,common,8,1.78,125.73
SAT_AMI_059,15,44,24,24,24,1,common,9,1.81,130.28
SAT_AMI_059,16,13,12,13,12,0,common,9,1.8,134.81
SAT_AMI_059,17,64,58,58,58,1,common,10,0.93,138.54
SAT_AMI_059,18,31,13,31,13,0,common,10,0.95,142.24
SAT_AMI_059,19,88,98,98,88,0,common,10,1.64,146.63
SAT_AMI_059,20,31,43,31,31,1,common,11,0.95,150.34
SAT_AMI_059,21,36,25,36,25,0,common,11,0.9,153.96
SAT_AMI_059,22,42,29,42,29,0,common,11,0.78,157.46
SAT_AMI_059,23,32,20,32,20,0,common,11,1.18,161.34
SAT_AMI_059,24,19,36,36,36,1,common,12,0.55,164.64
SAT_AMI_059,25,48,36,36,36,1,common,13,1.19,168.59
SAT_AMI_059,26,33,13,33,13,0,common,13,1.48,172.79
SAT_AMI_059,27,35,45,35,35,1,common,14,1.36,176.9
SAT_AMI_059,28,35,24,35,24,0,common,14,0.89,180.5
SAT_AMI_059,29,45,28,28,28,1,common,15,0.55,183.8
SAT_AMI_059,30,13,30,30,13,0,common,15,1.42,187.96
SAT_AMI_059,31,17,36,36,36,1,common,16,0.83,191.51
SAT_AMI_059,32,62,74,62,62,1,common,17,0.83,195.09
SAT_AMI_059,33,26,31,31,26,0,common,17,0.83,198.69
SAT_AMI_059,34,28,38,28,28,1,common,18,0.95,202.4
SAT_AMI_059,35,81,72,72,72,1,common,19,1.2,206.37
SAT_AMI_059,36,21,16,21,16,0,common,19,1.25,210.36
SAT_AMI_059,37,36,21,36,36,1,common,20,0.88,214.01
SAT_AMI_059,38,16,36,36,16,0,common,20,1.28,218.06
SAT_AMI_059,39,8,16,16,8,0,common,20,0.74,221.53
SAT_AMI_059,40,12,18,18,12,0,common,20,0.83,225.06
SAT_AMI_059,41,76,67,67,67,1,common,21,1.03,228.85
SAT_AMI_059,42,84,92,84,84,1,common,22,1.13,232.76
SAT_AMI_059,43,14,34,14,14,1,common,23,1.2,236.71
SAT_AMI_059,44,9,14,14,9,0,common,23,0.68,240.12
SAT_AMI_059,45,103,83,83,83,1,common,24,1.27,244.16
SAT_AMI_059,46,33,23,33,23,0,common,24,1.14,248.02
SAT_AMI_059,47,28,19,19,28,0,common,24,1.95,252.69
SAT_AMI_059,48,41,30,30,30,1,common,25,0.76,256.17
SAT_AMI_059,49,35,53,35,35,1,common,26,0.72,259.63
SAT_AMI_059,50,33,34,34,33,0,common,26,1.43,263.79
SAT_AMI_059,51,81,86,86,81,0,common,26,1.2,267.78
SAT_AMI_059,52,33,52,52,33,0,common,26,2.27,272.81
SAT_AMI_059,53,30,44,30,30,1,common,27,1.62,277.22
SAT_AMI_059,54,30,35,30,30,1,common,28,1.01,280.94
SAT_AMI_059,55,52,20,52,52,1,common,29,1.12,284.83
SAT_AMI_059,56,52,31,52,52,1,common,30,0.86,288.44
SAT_AMI_059,57,32,24,32,24,0,common,30,1.35,292.53
SAT_AMI_059,58,60,35,60,60,1,common,31,1.04,296.31
SAT_AMI_059,59,32,27,32,32,1,common,32,1.13,300.19
SAT_AMI_059,60,31,20,31,20,0,common,32,1.15,304.05
SAT_AMI_059,61,29,23,29,23,0,common,32,1.18,308.01
SAT_AMI_059,62,24,14,24,24,1,common,33,1.11,311.84
SAT_AMI_059,63,51,32,32,32,1,common,34,0.98,315.59
SAT_AMI_059,64,11,30,11,11,1,common,35,1.84,320.15
SAT_AMI_059,65,72,53,53,53,1,common,36,1.19,324.12
SAT_AMI_059,66,51,41,41,41,1,common,37,0.94,327.83
SAT_AMI_059,67,26,42,26,26,1,common,38,1.29,331.9
SAT_AMI_059,68,23,48,48,48,1,common,39,0.76,335.39
SAT_AMI_059,69,30,56,56,56,1,common,40,0.79,338.89
SAT_AMI_059,70,62,43,43,43,1,common,41,0.78,342.42
SAT_AMI_059,71,44,50,44,44,1,common,42,0.48,345.63
SAT_AMI_059,72,20,14,20,20,1,common,43,1.08,349.48
SAT_AMI_059,73,26,32,26,26,1,common,44,1.33,353.53
SAT_AMI_059,74,19,39,19,19,1,common,45,1.07,357.3
SAT_AMI_059,75,14,24,24,24,1,common,46,1.17,361.21
SAT_AMI_059,76,70,55,55,55,1,common,47,0.62,364.62
SAT_AMI_059,77,6,15,6,6,1,common,48,0.53,367.88
SAT_AMI_059,78,44,31,31,31,1,common,49,0.8,371.43
SAT_AMI_059,79,60,28,60,60,1,common,50,0.55,374.75
SAT_AMI_059,80,31,20,20,20,1,common,51,0.88,378.38
SAT_AMI_059,81,23,36,23,36,0,common,51,0.84,381.95
SAT_AMI_059,82,63,80,63,63,1,common,52,1.03,385.77
SAT_AMI_059,83,8,28,8,8,1,common,53,0.67,389.19
SAT_AMI_059,84,21,32,21,32,0,common,53,1.12,393.03
SAT_AMI_059,85,41,29,29,29,1,common,54,1.17,396.94
SAT_AMI_059,86,22,40,40,40,1,common,55,1.45,401.13
SAT_AMI_059,87,14,27,14,14,1,common,56,0.59,404.49
SAT_AMI_059,88,48,32,32,48,0,common,56,0.72,407.95
SAT_AMI_059,89,42,29,29,29,1,common,57,1.29,411.97
SAT_AMI_059,90,92,81,81,81,1,common,58,0.89,415.66
SAT_AMI_059,91,22,20,22,20,0,common,58,1.69,420.09
SAT_AMI_059,92,32,45,32,32,1,common,59,1.59,424.43
SAT_AMI_059,93,33,49,49,33,0,common,59,0.86,428.09
SAT_AMI_059,94,58,41,41,41,1,common,60,1.28,432.13
SAT_AMI_059,95,22,36,36,36,1,common,61,1.29,436.19
SAT_AMI_059,96,77,83,77,77,1,common,62,0.85,439.81
SAT_AMI_059,97,62,68,62,62,1,common,63,1.07,443.67
SAT_AMI_059,98,22,17,22,17,0,common,63,1.29,447.69
SAT_AMI_059,99,18,29,18,18,1,common,64,0.84,451.26
