id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
SAT_AMI_059,999,2,1,5,0,1.5,89.68
SAT_AMI_059,999,3,1,6,0,1.32,98.36
SAT_AMI_059,999,1,6,1,0,0.54,106.0
SAT_AMI_059,0,0,0,0,1,1.3,130.86
SAT_AMI_059,1,3,0,6,0,2.48,140.98
SAT_AMI_059,2,6,1,6,0,1.3,149.86
SAT_AMI_059,3,0,0,0,1,2.77,160.3
SAT_AMI_059,4,3,0,6,0,1.34,169.28
SAT_AMI_059,5,0,0,0,1,1.39,178.49
SAT_AMI_059,6,1,0,1,0,0.99,186.95
SAT_AMI_059,7,4,0,6,0,0.54,194.82
SAT_AMI_059,8,0,0,0,1,0.62,202.9
SAT_AMI_059,9,3,6,6,1,2.2,212.84
SAT_AMI_059,10,2,0,5,0,0.94,221.62
SAT_AMI_059,11,1,0,1,0,0.59,230.02
SAT_AMI_059,12,5,1,6,0,1.0,238.68
SAT_AMI_059,13,3,0,6,0,1.79,247.85
SAT_AMI_059,14,1,0,1,0,0.57,256.07
SAT_AMI_059,15,1,1,1,1,0.86,264.29
SAT_AMI_059,16,2,1,5,0,1.12,272.9
SAT_AMI_059,17,2,1,5,0,0.54,280.86
SAT_AMI_059,18,0,0,0,1,0.56,289.24
SAT_AMI_059,19,5,5,6,0,0.91,297.56
SAT_AMI_059,20,2,1,5,0,0.84,306.27
SAT_AMI_059,21,1,0,1,0,0.83,314.52
SAT_AMI_059,22,3,1,6,0,0.91,323.13
SAT_AMI_059,23,0,0,0,1,0.86,331.69
SAT_AMI_059,24,4,0,6,0,0.92,340.27
SAT_AMI_059,25,2,1,5,0,0.61,348.51
SAT_AMI_059,26,2,0,5,0,1.1,357.31
SAT_AMI_059,27,4,1,6,0,0.96,365.95
SAT_AMI_059,28,0,0,0,1,1.32,374.84
SAT_AMI_059,29,2,0,5,0,0.72,383.22
SAT_AMI_059,30,4,1,6,0,0.8,391.65
SAT_AMI_059,31,0,0,0,1,0.79,399.81
SAT_AMI_059,32,6,5,6,0,1.01,408.55
SAT_AMI_059,33,4,0,6,0,0.54,416.94
SAT_AMI_059,34,5,0,6,0,0.33,425.1
SAT_AMI_059,35,5,0,6,0,0.28,433.04
SAT_AMI_059,36,5,1,6,0,0.9,441.44
SAT_AMI_059,37,5,1,6,0,0.58,449.7
SAT_AMI_059,38,6,5,6,0,0.95,458.05
SAT_AMI_059,39,1,5,1,0,0.58,466.38
SAT_AMI_059,40,0,0,0,1,0.21,474.25
SAT_AMI_059,41,0,0,0,1,0.47,482.37
SAT_AMI_059,42,2,1,5,0,0.56,490.55
SAT_AMI_059,43,2,0,5,0,0.7,498.82
SAT_AMI_059,44,5,6,6,1,0.82,507.42
SAT_AMI_059,45,0,0,0,1,0.69,515.74
SAT_AMI_059,46,3,1,6,0,0.65,524.07
SAT_AMI_059,47,0,0,0,1,0.55,532.06
SAT_AMI_059,48,0,0,0,1,0.42,540.33
SAT_AMI_059,49,4,1,6,0,0.58,548.64
SAT_AMI_059,50,1,0,1,0,0.57,556.84
SAT_AMI_059,51,1,0,1,0,0.61,565.2
SAT_AMI_059,52,3,0,6,0,0.67,573.56
SAT_AMI_059,53,1,1,1,1,0.74,581.91
SAT_AMI_059,54,2,1,5,0,1.08,590.75
SAT_AMI_059,55,6,5,6,0,0.89,599.32
SAT_AMI_059,56,2,0,5,0,0.37,607.34
SAT_AMI_059,57,0,0,0,1,0.24,615.33
SAT_AMI_059,58,3,5,6,0,0.25,623.21
SAT_AMI_059,59,1,0,1,0,0.34,631.4
SAT_AMI_059,60,3,1,6,0,0.93,640.14
SAT_AMI_059,61,3,6,6,1,0.26,648.1
SAT_AMI_059,62,3,0,6,0,0.21,655.7
SAT_AMI_059,63,1,0,1,0,0.25,663.68
SAT_AMI_059,64,0,0,0,1,0.19,671.56
SAT_AMI_059,65,4,1,6,0,0.68,679.94
SAT_AMI_059,66,3,1,6,0,0.75,688.34
SAT_AMI_059,67,2,5,5,1,1.07,696.84
SAT_AMI_059,68,5,5,6,0,0.29,704.52
SAT_AMI_059,69,2,0,5,0,0.49,712.69
SAT_AMI_059,70,5,5,6,0,0.37,720.44
