id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
SMI_MAR_028,999,2,1,5,0,10.63,260.15
SMI_MAR_028,999,3,5,6,0,2.11,269.63
SMI_MAR_028,999,1,1,1,1,4.84,281.56
SMI_MAR_028,0,0,0,0,1,3.21,311.58
SMI_MAR_028,1,3,1,6,0,5.84,325.06
SMI_MAR_028,2,6,5,6,0,1.4,334.07
SMI_MAR_028,3,0,0,0,1,0.95,342.66
SMI_MAR_028,4,3,1,6,0,1.61,351.9
SMI_MAR_028,5,0,1,0,0,1.29,361.03
SMI_MAR_028,6,1,0,1,0,1.14,369.61
SMI_MAR_028,7,4,0,6,0,1.78,378.7
SMI_MAR_028,8,0,0,0,1,0.93,387.08
SMI_MAR_028,9,3,6,6,1,1.11,395.89
SMI_MAR_028,10,2,1,5,0,1.06,404.75
SMI_MAR_028,11,1,0,1,0,1.31,413.87
SMI_MAR_028,12,5,5,6,0,1.73,423.24
SMI_MAR_028,13,3,0,6,0,1.27,431.89
SMI_MAR_028,14,1,0,1,0,1.17,440.68
SMI_MAR_028,15,1,0,1,0,0.51,448.5
SMI_MAR_028,16,2,0,5,0,0.68,456.65
SMI_MAR_028,17,2,1,5,0,0.87,464.9
SMI_MAR_028,18,0,0,0,1,0.96,473.74
SMI_MAR_028,19,5,5,6,0,2.76,483.89
SMI_MAR_028,20,2,1,5,0,0.97,492.69
SMI_MAR_028,21,1,0,1,0,0.83,500.88
SMI_MAR_028,22,3,1,6,0,0.98,509.57
SMI_MAR_028,23,0,0,0,1,0.36,517.65
SMI_MAR_028,24,4,1,6,0,1.46,526.75
SMI_MAR_028,25,2,5,5,1,0.93,535.31
SMI_MAR_028,26,2,0,5,0,0.98,543.96
SMI_MAR_028,27,4,0,6,0,1.32,552.93
SMI_MAR_028,28,0,0,0,1,0.89,561.42
SMI_MAR_028,29,2,0,5,0,0.75,569.79
SMI_MAR_028,30,4,0,6,0,0.93,578.32
SMI_MAR_028,31,0,0,0,1,0.61,586.32
SMI_MAR_028,32,6,6,6,1,0.6,594.64
SMI_MAR_028,33,4,1,6,0,0.97,603.45
SMI_MAR_028,34,5,1,6,0,1.86,613.1
SMI_MAR_028,35,5,1,6,0,0.83,621.57
SMI_MAR_028,36,5,5,6,0,1.17,630.21
SMI_MAR_028,37,5,6,6,1,0.83,638.73
SMI_MAR_028,38,6,6,6,1,0.62,646.76
SMI_MAR_028,39,1,1,1,1,1.29,655.73
SMI_MAR_028,40,0,0,0,1,0.43,663.75
SMI_MAR_028,41,0,0,0,1,1.64,673.01
SMI_MAR_028,42,2,0,5,0,0.87,681.55
SMI_MAR_028,43,2,0,5,0,1.32,690.5
SMI_MAR_028,44,5,0,6,0,1.44,699.72
SMI_MAR_028,45,0,0,0,1,0.46,707.87
SMI_MAR_028,46,3,1,6,0,1.1,716.61
SMI_MAR_028,47,0,0,0,1,0.99,724.94
SMI_MAR_028,48,0,0,0,1,0.81,733.59
SMI_MAR_028,49,4,1,6,0,0.71,741.97
SMI_MAR_028,50,1,1,1,1,0.9,750.49
SMI_MAR_028,51,1,0,1,0,0.76,758.98
SMI_MAR_028,52,3,0,6,0,0.69,767.32
SMI_MAR_028,53,1,1,1,1,0.95,775.89
SMI_MAR_028,54,2,0,5,0,0.97,784.62
SMI_MAR_028,55,6,5,6,0,0.89,793.15
SMI_MAR_028,56,2,1,5,0,0.73,801.51
SMI_MAR_028,57,0,0,0,1,0.51,809.72
SMI_MAR_028,58,3,1,6,0,0.8,818.16
SMI_MAR_028,59,1,1,1,1,1.5,827.5
SMI_MAR_028,60,3,0,6,0,0.45,835.77
SMI_MAR_028,61,3,1,6,0,1.07,844.52
SMI_MAR_028,62,3,0,6,0,0.49,852.4
SMI_MAR_028,63,1,0,1,0,0.57,860.65
SMI_MAR_028,64,0,0,0,1,0.47,868.8
SMI_MAR_028,65,4,5,6,0,1.03,877.49
SMI_MAR_028,66,3,0,6,0,0.59,885.75
SMI_MAR_028,67,2,5,5,1,1.08,894.23
SMI_MAR_028,68,5,1,6,0,0.76,902.34
SMI_MAR_028,69,2,0,5,0,0.62,910.64
SMI_MAR_028,70,5,5,6,0,0.97,919.0
SMI_MAR_028,71,6,5,6,0,0.75,927.4
SMI_MAR_028,72,2,0,5,0,1.07,935.86
SMI_MAR_028,73,0,0,0,1,0.65,944.15
SMI_MAR_028,74,1,0,1,0,0.59,952.46
SMI_MAR_028,75,2,5,5,1,0.93,961.08
SMI_MAR_028,76,2,1,5,0,1.26,970.04
SMI_MAR_028,77,1,0,1,0,1.26,978.95
SMI_MAR_028,78,4,5,6,0,0.97,987.57
SMI_MAR_028,79,2,5,5,1,0.84,996.04
SMI_MAR_028,80,2,1,5,0,1.16,1005.05
SMI_MAR_028,81,0,0,0,1,0.8,1013.23
SMI_MAR_028,82,4,1,6,0,1.0,1021.65
SMI_MAR_028,83,4,0,6,0,0.96,1030.26
SMI_MAR_028,84,2,5,5,1,0.78,1038.35
SMI_MAR_028,85,4,1,6,0,0.91,1046.65
SMI_MAR_028,86,3,0,6,0,0.99,1055.49
SMI_MAR_028,87,1,0,1,0,1.06,1064.25
