id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
SMI_PAU_068,999,2,5,5,1,3.82,478.32
SMI_PAU_068,999,3,1,6,0,1.23,486.89
SMI_PAU_068,999,1,5,1,0,2.31,496.31
SMI_PAU_068,0,0,0,0,1,0.92,549.5
SMI_PAU_068,1,3,0,6,0,1.91,559.1
SMI_PAU_068,2,6,5,6,0,1.35,568.06
SMI_PAU_068,3,0,0,0,1,1.45,577.18
SMI_PAU_068,4,3,0,6,0,0.51,585.35
SMI_PAU_068,5,0,1,0,0,0.75,593.93
SMI_PAU_068,6,1,0,1,0,0.71,602.12
SMI_PAU_068,7,4,1,6,0,0.51,609.99
SMI_PAU_068,8,0,0,0,1,0.68,618.12
SMI_PAU_068,9,3,5,6,0,1.29,627.16
SMI_PAU_068,10,2,1,5,0,0.91,635.9
SMI_PAU_068,11,1,1,1,1,0.72,644.47
SMI_PAU_068,12,5,1,6,0,0.78,652.89
SMI_PAU_068,13,3,0,6,0,0.81,661.08
SMI_PAU_068,14,1,0,1,0,0.51,669.24
SMI_PAU_068,15,1,0,1,0,0.54,677.12
SMI_PAU_068,16,2,0,5,0,0.77,685.4
SMI_PAU_068,17,2,1,5,0,0.64,693.45
SMI_PAU_068,18,0,0,0,1,0.69,701.96
SMI_PAU_068,19,5,6,6,1,0.98,710.32
SMI_PAU_068,20,2,5,5,1,0.83,719.02
SMI_PAU_068,21,1,1,1,1,0.55,727.0
SMI_PAU_068,22,3,1,6,0,0.56,735.25
SMI_PAU_068,23,0,0,0,1,0.42,743.37
SMI_PAU_068,24,4,1,6,0,0.37,751.38
SMI_PAU_068,25,2,5,5,1,0.58,759.6
SMI_PAU_068,26,2,1,5,0,0.66,767.95
SMI_PAU_068,27,4,1,6,0,0.84,776.44
SMI_PAU_068,28,0,0,0,1,0.71,784.73
SMI_PAU_068,29,2,1,5,0,0.99,793.34
SMI_PAU_068,30,4,5,6,0,1.0,801.95
SMI_PAU_068,31,0,0,0,1,0.68,810.04
SMI_PAU_068,32,6,6,6,1,1.97,819.71
SMI_PAU_068,33,4,1,6,0,1.09,828.64
SMI_PAU_068,34,5,0,6,0,0.5,836.93
SMI_PAU_068,35,5,6,6,1,0.85,845.43
SMI_PAU_068,36,5,6,6,1,0.63,853.51
SMI_PAU_068,37,5,1,6,0,0.76,861.97
SMI_PAU_068,38,6,6,6,1,0.39,869.77
SMI_PAU_068,39,1,1,1,1,0.79,878.27
SMI_PAU_068,40,0,0,0,1,0.36,886.27
SMI_PAU_068,41,0,0,0,1,0.75,894.63
SMI_PAU_068,42,2,0,5,0,0.44,902.68
SMI_PAU_068,43,2,0,5,0,0.59,910.88
SMI_PAU_068,44,5,1,6,0,0.37,919.04
SMI_PAU_068,45,0,0,0,1,0.45,927.22
SMI_PAU_068,46,3,1,6,0,0.56,935.46
SMI_PAU_068,47,0,0,0,1,0.63,943.46
SMI_PAU_068,48,0,0,0,1,0.63,951.93
SMI_PAU_068,49,4,1,6,0,0.86,960.46
SMI_PAU_068,50,1,1,1,1,0.61,968.71
SMI_PAU_068,51,1,0,1,0,0.57,977.0
SMI_PAU_068,52,3,0,6,0,0.52,985.24
SMI_PAU_068,53,1,0,1,0,0.52,993.37
SMI_PAU_068,54,2,0,5,0,0.57,1001.65
SMI_PAU_068,55,6,5,6,0,0.78,1010.1
SMI_PAU_068,56,2,0,5,0,0.43,1018.2
SMI_PAU_068,57,0,0,0,1,0.38,1026.31
SMI_PAU_068,58,3,1,6,0,0.74,1034.69
SMI_PAU_068,59,1,0,1,0,0.38,1042.93
SMI_PAU_068,60,3,1,6,0,0.56,1051.27
SMI_PAU_068,61,3,0,6,0,0.47,1059.41
SMI_PAU_068,62,3,1,6,0,0.67,1067.45
SMI_PAU_068,63,1,0,1,0,0.56,1075.68
SMI_PAU_068,64,0,0,0,1,0.31,1083.63
SMI_PAU_068,65,4,5,6,0,0.75,1092.08
SMI_PAU_068,66,3,1,6,0,0.39,1100.11
SMI_PAU_068,67,2,5,5,1,0.56,1108.06
SMI_PAU_068,68,5,1,6,0,0.64,1116.02
SMI_PAU_068,69,2,0,5,0,0.36,1124.05
SMI_PAU_068,70,5,1,6,0,0.75,1132.2
SMI_PAU_068,71,6,1,6,0,0.38,1140.22
SMI_PAU_068,72,2,1,5,0,0.83,1148.45
SMI_PAU_068,73,0,0,0,1,0.62,1156.7
SMI_PAU_068,74,1,1,1,1,0.54,1164.98
SMI_PAU_068,75,2,5,5,1,0.6,1173.22
SMI_PAU_068,76,2,1,5,0,0.53,1181.48
SMI_PAU_068,77,1,0,1,0,1.52,1190.74
SMI_PAU_068,78,4,1,6,0,1.7,1200.09
SMI_PAU_068,79,2,0,5,0,1.04,1208.76
SMI_PAU_068,80,2,0,5,0,1.16,1217.74
SMI_PAU_068,81,0,0,0,1,0.35,1225.49
SMI_PAU_068,82,4,1,6,0,0.42,1233.39
SMI_PAU_068,83,4,0,6,0,1.02,1242.06
SMI_PAU_068,84,2,1,5,0,0.32,1249.76
SMI_PAU_068,85,4,1,6,0,0.54,1257.68
SMI_PAU_068,86,3,5,6,0,1.09,1266.65
SMI_PAU_068,87,1,0,1,0,0.66,1275.0
SMI_PAU_068,88,0,0,0,1,0.36,1283.0
SMI_PAU_068,89,0,0,0,1,0.4,1291.1
SMI_PAU_068,90,0,0,0,1,0.55,1299.08
SMI_PAU_068,91,1,1,1,1,0.46,1307.39
SMI_PAU_068,92,5,0,6,0,0.81,1315.81
SMI_PAU_068,93,4,0,6,0,0.3,1323.52
SMI_PAU_068,94,6,1,6,0,0.55,1331.77
SMI_PAU_068,95,3,1,6,0,0.45,1340.04
SMI_PAU_068,96,5,6,6,1,0.44,1348.26
SMI_PAU_068,97,4,1,6,0,0.46,1356.37
SMI_PAU_068,98,1,0,1,0,0.4,1364.36
SMI_PAU_068,99,1,1,1,1,0.45,1372.22
SMI_PAU_068,100,0,1,0,0,2.8,1500.33
SMI_PAU_068,101,0,0,0,1,0.76,1506.36
SMI_PAU_068,102,2,5,5,1,0.82,1512.39
SMI_PAU_068,103,2,5,5,1,0.66,1518.29
SMI_PAU_068,104,3,6,6,1,0.44,1524.02
SMI_PAU_068,105,0,0,0,1,0.47,1529.78
SMI_PAU_068,106,4,6,6,1,0.35,1535.39
SMI_PAU_068,107,1,5,1,0,0.8,1541.48
SMI_PAU_068,108,1,1,1,1,0.95,1547.7
SMI_PAU_068,109,2,5,5,1,0.47,1553.43
SMI_PAU_068,110,0,0,0,1,0.41,1559.09
SMI_PAU_068,111,1,1,1,1,0.6,1564.95
SMI_PAU_068,112,3,1,6,0,0.42,1570.65
SMI_PAU_068,113,6,6,6,1,0.34,1576.23
SMI_PAU_068,114,6,6,6,1,0.28,1581.78
SMI_PAU_068,115,1,0,1,0,0.85,1587.88
