id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
TAM_MEI_029,999,2,1,5,0,1.45,98.94
TAM_MEI_029,999,3,5,6,0,1.49,107.81
TAM_MEI_029,999,1,0,1,0,3.0,117.89
TAM_MEI_029,0,0,0,0,1,1.31,142.33
TAM_MEI_029,1,3,0,6,0,0.88,150.85
TAM_MEI_029,2,6,1,6,0,0.68,159.14
TAM_MEI_029,3,0,0,0,1,2.2,169.0
TAM_MEI_029,4,3,0,6,0,0.98,177.6
TAM_MEI_029,5,0,1,0,0,1.42,186.86
TAM_MEI_029,6,1,1,1,1,1.62,195.94
TAM_MEI_029,7,4,1,6,0,0.87,204.16
TAM_MEI_029,8,0,1,0,0,1.87,213.47
TAM_MEI_029,9,3,5,6,0,1.02,222.21
TAM_MEI_029,10,2,5,5,1,1.4,231.43
TAM_MEI_029,11,1,1,1,1,5.61,244.86
TAM_MEI_029,12,5,6,6,1,0.72,253.21
TAM_MEI_029,13,3,0,6,0,1.69,262.3
TAM_MEI_029,14,1,0,1,0,0.55,270.49
TAM_MEI_029,15,1,0,1,0,0.61,278.44
TAM_MEI_029,16,2,0,5,0,0.83,286.74
TAM_MEI_029,17,2,1,5,0,1.02,295.12
TAM_MEI_029,18,0,0,0,1,1.03,304.01
TAM_MEI_029,19,5,0,6,0,1.05,312.43
TAM_MEI_029,20,2,1,5,0,0.67,320.93
TAM_MEI_029,21,1,0,1,0,1.07,329.4
TAM_MEI_029,22,3,1,6,0,0.82,337.94
TAM_MEI_029,23,0,0,0,1,1.8,347.44
TAM_MEI_029,24,4,6,6,1,2.11,357.19
TAM_MEI_029,25,2,1,5,0,0.68,365.47
TAM_MEI_029,26,2,0,5,0,1.36,374.49
TAM_MEI_029,27,4,1,6,0,0.79,382.92
TAM_MEI_029,28,0,0,0,1,0.6,391.11
TAM_MEI_029,29,2,0,5,0,0.61,399.35
TAM_MEI_029,30,4,1,6,0,0.67,407.64
TAM_MEI_029,31,0,0,0,1,0.73,415.73
TAM_MEI_029,32,6,1,6,0,0.68,424.09
TAM_MEI_029,33,4,1,6,0,0.64,432.56
TAM_MEI_029,34,5,0,6,0,1.27,441.68
TAM_MEI_029,35,5,1,6,0,0.77,450.08
TAM_MEI_029,36,5,0,6,0,0.62,458.15
TAM_MEI_029,37,5,1,6,0,0.67,466.5
