id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
TAM_MEI_029,100,6,6,1,0,1.27,57.92
TAM_MEI_029,101,0,6,0,0,1.18,63.27
TAM_MEI_029,102,6,0,0,0,0.94,68.38
TAM_MEI_029,0,0,0,1,1,0.51,90.27
TAM_MEI_029,1,6,6,1,2,0.49,92.9
TAM_MEI_029,2,0,6,0,2,0.54,95.61
TAM_MEI_029,3,6,6,1,3,0.65,98.42
TAM_MEI_029,4,6,6,1,4,0.62,101.22
TAM_MEI_029,5,6,6,1,5,0.91,104.31
TAM_MEI_029,6,0,6,0,5,0.54,107.01
TAM_MEI_029,7,0,6,0,5,0.81,110.0
TAM_MEI_029,8,0,0,1,6,0.82,113.0
TAM_MEI_029,9,6,6,1,7,0.62,115.81
TAM_MEI_029,10,6,6,1,8,2.75,120.72
TAM_MEI_029,11,6,6,1,9,0.58,123.48
TAM_MEI_029,12,0,0,1,10,0.64,126.28
TAM_MEI_029,13,6,6,1,11,0.62,129.06
TAM_MEI_029,14,6,6,1,12,0.97,132.21
TAM_MEI_029,15,6,6,1,13,0.68,135.06
TAM_MEI_029,16,6,6,1,14,1.04,138.28
TAM_MEI_029,17,6,6,1,15,0.76,141.21
TAM_MEI_029,18,6,6,1,16,0.54,143.93
TAM_MEI_029,19,0,0,1,17,0.37,146.49
TAM_MEI_029,20,0,6,0,17,0.55,149.2
TAM_MEI_029,21,6,6,1,18,0.37,151.74
TAM_MEI_029,22,6,6,1,19,0.75,154.66
TAM_MEI_029,23,6,6,1,20,1.28,158.12
TAM_MEI_029,24,0,0,1,21,0.44,160.76
TAM_MEI_029,25,6,6,1,22,0.89,163.82
TAM_MEI_029,26,6,0,0,22,5.81,171.83
TAM_MEI_029,27,6,6,1,23,0.89,174.88
TAM_MEI_029,28,6,6,1,24,1.72,178.75
TAM_MEI_029,29,6,6,1,25,0.82,181.76
TAM_MEI_029,30,6,6,1,26,3.18,187.11
TAM_MEI_029,31,0,0,1,27,0.44,189.76
TAM_MEI_029,32,6,6,1,28,0.88,192.8
TAM_MEI_029,33,0,0,1,29,0.23,195.22
TAM_MEI_029,34,0,0,1,30,0.23,197.6
TAM_MEI_029,35,6,6,1,31,0.29,200.06
TAM_MEI_029,36,6,6,1,32,0.49,202.71
TAM_MEI_029,37,0,0,1,33,0.77,205.66
TAM_MEI_029,38,0,0,1,34,0.71,208.54
TAM_MEI_029,39,6,6,1,35,0.47,211.19
TAM_MEI_029,40,6,0,0,35,0.49,213.86
TAM_MEI_029,41,0,0,1,36,0.97,217.03
TAM_MEI_029,42,6,6,1,37,0.82,220.04
TAM_MEI_029,43,6,6,1,38,0.99,223.21
TAM_MEI_029,44,6,6,1,39,0.34,225.72
TAM_MEI_029,45,6,6,1,40,0.68,228.57
TAM_MEI_029,46,6,6,1,41,0.47,231.23
TAM_MEI_029,47,6,6,1,42,0.44,233.83
TAM_MEI_029,48,0,0,1,43,0.37,236.39
TAM_MEI_029,49,0,0,1,44,0.54,239.12
TAM_MEI_029,50,0,0,1,45,0.8,242.09
