id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
TAR_MAR_031,999,2,1,5,0,2.3,74.21
TAR_MAR_031,999,3,6,6,1,1.75,83.32
TAR_MAR_031,999,1,0,1,0,1.04,91.44
TAR_MAR_031,0,0,0,0,1,2.45,117.8
TAR_MAR_031,1,3,0,6,0,2.65,128.13
TAR_MAR_031,2,6,5,6,0,1.12,136.85
TAR_MAR_031,3,0,0,0,1,1.44,145.94
TAR_MAR_031,4,3,0,6,0,1.25,154.81
TAR_MAR_031,5,0,0,0,1,1.04,163.67
TAR_MAR_031,6,1,0,1,0,1.25,172.38
TAR_MAR_031,7,4,1,6,0,0.88,180.6
TAR_MAR_031,8,0,0,0,1,0.87,188.95
TAR_MAR_031,9,3,0,6,0,0.62,197.32
TAR_MAR_031,10,2,0,5,0,1.18,206.35
TAR_MAR_031,11,1,0,1,0,1.22,215.36
TAR_MAR_031,12,5,1,6,0,0.54,223.54
TAR_MAR_031,13,3,0,6,0,0.58,231.48
TAR_MAR_031,14,1,0,1,0,0.94,240.14
TAR_MAR_031,15,1,0,1,0,0.61,248.06
TAR_MAR_031,16,2,0,5,0,1.0,256.5
TAR_MAR_031,17,2,1,5,0,0.49,264.34
TAR_MAR_031,18,0,0,0,1,1.09,273.27
TAR_MAR_031,19,5,0,6,0,0.94,281.59
TAR_MAR_031,20,2,5,5,1,0.54,289.98
TAR_MAR_031,21,1,0,1,0,0.88,298.23
TAR_MAR_031,22,3,1,6,0,0.62,306.53
TAR_MAR_031,23,0,0,0,1,0.43,314.68
TAR_MAR_031,24,4,1,6,0,0.34,322.62
TAR_MAR_031,25,2,1,5,0,0.33,330.55
TAR_MAR_031,26,2,0,5,0,0.83,339.03
TAR_MAR_031,27,4,1,6,0,0.58,347.25
TAR_MAR_031,28,0,0,0,1,0.84,355.65
TAR_MAR_031,29,2,0,5,0,0.86,364.13
TAR_MAR_031,30,4,0,6,0,0.51,372.26
TAR_MAR_031,31,0,0,0,1,0.42,380.04
TAR_MAR_031,32,6,5,6,0,0.56,388.29
TAR_MAR_031,33,4,1,6,0,0.56,396.66
TAR_MAR_031,34,5,5,6,0,0.47,404.94
TAR_MAR_031,35,5,1,6,0,0.69,413.25
TAR_MAR_031,36,5,5,6,0,0.41,421.14
TAR_MAR_031,37,5,5,6,0,0.75,429.6
TAR_MAR_031,38,6,0,6,0,1.27,438.26
TAR_MAR_031,39,1,0,1,0,0.78,446.75
TAR_MAR_031,40,0,0,0,1,0.56,454.92
TAR_MAR_031,41,0,0,0,1,0.63,463.17
TAR_MAR_031,42,2,1,5,0,0.59,471.36
TAR_MAR_031,43,2,0,5,0,0.33,479.29
TAR_MAR_031,44,5,5,6,0,0.52,487.59
TAR_MAR_031,45,0,0,0,1,0.87,496.14
TAR_MAR_031,46,3,1,6,0,0.52,504.31
TAR_MAR_031,47,0,0,0,1,0.61,512.28
TAR_MAR_031,48,0,0,0,1,0.69,520.83
TAR_MAR_031,49,4,5,6,0,0.54,529.03
TAR_MAR_031,50,1,0,1,0,0.95,537.59
TAR_MAR_031,51,1,0,1,0,0.82,546.12
TAR_MAR_031,52,3,5,6,0,0.92,554.69
TAR_MAR_031,53,1,0,1,0,0.7,562.99
TAR_MAR_031,54,2,0,5,0,0.89,571.58
TAR_MAR_031,55,6,5,6,0,0.46,579.7
TAR_MAR_031,56,2,1,5,0,0.62,587.97
TAR_MAR_031,57,0,0,0,1,0.65,596.33
TAR_MAR_031,58,3,1,6,0,0.58,604.54
TAR_MAR_031,59,1,0,1,0,0.91,613.29
TAR_MAR_031,60,3,0,6,0,0.57,621.66
TAR_MAR_031,61,3,1,6,0,0.62,629.94
TAR_MAR_031,62,3,1,6,0,0.58,637.89
TAR_MAR_031,63,1,0,1,0,0.91,646.45
TAR_MAR_031,64,0,0,0,1,0.94,655.01
TAR_MAR_031,65,4,1,6,0,0.47,663.15
TAR_MAR_031,66,3,1,6,0,0.75,671.56
TAR_MAR_031,67,2,5,5,1,0.4,679.34
TAR_MAR_031,68,5,5,6,0,0.52,687.22
TAR_MAR_031,69,2,0,5,0,0.79,695.66
TAR_MAR_031,70,5,5,6,0,0.6,703.64
TAR_MAR_031,71,6,6,6,1,0.52,711.77
TAR_MAR_031,72,2,5,5,1,0.98,720.16
TAR_MAR_031,73,0,0,0,1,1.19,729.0
TAR_MAR_031,74,1,1,1,1,0.55,737.29
TAR_MAR_031,75,2,1,5,0,0.63,745.54
TAR_MAR_031,76,2,1,5,0,0.64,753.9
TAR_MAR_031,77,1,0,1,0,0.49,762.01
TAR_MAR_031,78,4,5,6,0,0.56,770.21
TAR_MAR_031,79,2,0,5,0,0.72,778.51
TAR_MAR_031,80,2,0,5,0,0.64,786.98
TAR_MAR_031,81,0,0,0,1,0.5,794.88
TAR_MAR_031,82,4,1,6,0,0.52,802.87
TAR_MAR_031,83,4,1,6,0,0.63,811.1
TAR_MAR_031,84,2,0,5,0,1.28,819.71
TAR_MAR_031,85,4,0,6,0,0.68,827.75
TAR_MAR_031,86,3,1,6,0,0.53,836.14
TAR_MAR_031,87,1,0,1,0,0.53,844.34
TAR_MAR_031,88,0,0,0,1,0.58,852.6
TAR_MAR_031,89,0,0,0,1,0.63,860.89
TAR_MAR_031,90,0,1,0,0,1.12,869.41
TAR_MAR_031,91,1,5,1,0,0.54,877.78
TAR_MAR_031,92,5,1,6,0,0.67,886.08
TAR_MAR_031,93,4,1,6,0,0.46,893.9
TAR_MAR_031,94,6,5,6,0,0.81,902.42
TAR_MAR_031,95,3,0,6,0,0.81,911.05
TAR_MAR_031,96,5,5,6,0,0.3,919.06
TAR_MAR_031,97,4,1,6,0,0.55,927.21
TAR_MAR_031,98,1,0,1,0,0.62,935.42
TAR_MAR_031,99,1,1,1,1,0.43,943.25
TAR_MAR_031,100,0,0,0,1,0.75,1069.27
TAR_MAR_031,101,0,0,0,1,0.56,1075.05
TAR_MAR_031,102,2,5,5,1,0.56,1080.84
TAR_MAR_031,103,2,5,5,1,0.46,1086.52
TAR_MAR_031,104,3,6,6,1,0.52,1092.31
TAR_MAR_031,105,0,0,0,1,0.4,1097.95
TAR_MAR_031,106,4,6,6,1,0.65,1103.85
TAR_MAR_031,107,1,1,1,1,0.55,1109.66
TAR_MAR_031,108,1,1,1,1,0.54,1115.44
TAR_MAR_031,109,2,5,5,1,0.55,1121.22
TAR_MAR_031,110,0,0,0,1,0.34,1126.81
TAR_MAR_031,111,1,1,1,1,0.74,1132.77
TAR_MAR_031,112,3,1,6,0,0.54,1138.56
TAR_MAR_031,113,6,6,6,1,1.03,1144.81
TAR_MAR_031,114,6,6,6,1,0.38,1150.43
TAR_MAR_031,115,1,0,1,0,0.63,1156.29
TAR_MAR_031,116,2,5,5,1,0.56,1162.09
TAR_MAR_031,117,6,6,6,1,0.65,1168.0
TAR_MAR_031,118,5,6,6,1,0.5,1173.73
TAR_MAR_031,119,4,6,6,1,0.71,1179.69
TAR_MAR_031,120,3,5,6,0,0.87,1185.79
TAR_MAR_031,121,0,0,0,1,0.48,1191.49
TAR_MAR_031,122,4,6,6,1,0.28,1197.03
TAR_MAR_031,123,4,6,6,1,0.37,1202.62
TAR_MAR_031,124,0,0,0,1,0.53,1208.37
TAR_MAR_031,125,0,0,0,1,0.54,1214.13
TAR_MAR_031,126,2,0,5,0,0.5,1219.87
TAR_MAR_031,127,4,6,6,1,0.61,1225.71
TAR_MAR_031,128,3,5,6,0,0.61,1231.54
TAR_MAR_031,129,0,0,0,1,0.57,1237.34
TAR_MAR_031,130,4,6,6,1,0.45,1243.02
TAR_MAR_031,131,3,5,6,0,0.43,1248.68
TAR_MAR_031,132,5,6,6,1,0.35,1254.3
TAR_MAR_031,133,2,1,5,0,0.74,1260.26
TAR_MAR_031,134,3,1,6,0,0.67,1266.17
TAR_MAR_031,135,4,6,6,1,0.3,1271.69
TAR_MAR_031,136,2,5,5,1,0.53,1277.48
TAR_MAR_031,137,3,6,6,1,0.48,1283.19
TAR_MAR_031,138,6,6,6,1,0.69,1289.09
TAR_MAR_031,139,0,0,0,1,0.58,1294.95
TAR_MAR_031,140,5,6,6,1,0.3,1300.5
TAR_MAR_031,141,3,6,6,1,0.42,1306.17
TAR_MAR_031,142,6,6,6,1,0.68,1312.06
TAR_MAR_031,143,5,6,6,1,0.57,1317.85
TAR_MAR_031,144,3,5,6,0,0.69,1323.77
TAR_MAR_031,145,0,0,0,1,0.61,1329.63
TAR_MAR_031,146,1,1,1,1,0.82,1335.71
TAR_MAR_031,147,5,6,6,1,0.45,1341.4
TAR_MAR_031,148,1,1,1,1,0.5,1347.17
TAR_MAR_031,149,4,6,6,1,0.26,1352.68
TAR_MAR_031,150,6,5,6,0,0.88,1478.7
TAR_MAR_031,151,3,5,6,0,0.68,1484.52
TAR_MAR_031,152,1,1,1,1,0.51,1490.15
TAR_MAR_031,153,2,5,5,1,0.7,1495.99
TAR_MAR_031,154,0,1,0,0,0.6,1501.74
TAR_MAR_031,155,4,6,6,1,0.82,1507.69
TAR_MAR_031,156,5,6,6,1,0.52,1513.34
TAR_MAR_031,157,1,0,1,0,0.78,1519.27
TAR_MAR_031,158,5,6,6,1,0.49,1524.88
TAR_MAR_031,159,4,1,6,0,0.94,1530.96
TAR_MAR_031,160,4,6,6,1,0.36,1536.45
TAR_MAR_031,161,2,5,5,1,0.85,1542.43
TAR_MAR_031,162,4,6,6,1,0.48,1548.06
TAR_MAR_031,163,3,6,6,1,0.74,1553.95
TAR_MAR_031,164,4,6,6,1,0.44,1559.53
TAR_MAR_031,165,2,1,5,0,1.01,1565.66
TAR_MAR_031,166,4,6,6,1,0.74,1571.53
TAR_MAR_031,167,2,5,5,1,0.8,1577.49
TAR_MAR_031,168,0,0,0,1,0.71,1583.34
TAR_MAR_031,169,4,6,6,1,0.39,1588.85
TAR_MAR_031,170,6,6,6,1,0.35,1594.34
TAR_MAR_031,171,2,6,5,0,0.51,1599.98
TAR_MAR_031,172,6,6,6,1,0.79,1605.93
TAR_MAR_031,173,1,0,1,0,1.18,1612.22
TAR_MAR_031,174,6,6,6,1,0.38,1617.73
TAR_MAR_031,175,3,5,6,0,0.7,1623.59
TAR_MAR_031,176,1,5,1,0,0.91,1629.65
TAR_MAR_031,177,0,0,0,1,0.6,1635.39
TAR_MAR_031,178,5,6,6,1,0.32,1640.87
TAR_MAR_031,179,0,5,0,0,1.12,1647.12
TAR_MAR_031,180,0,0,0,1,0.6,1652.84
TAR_MAR_031,181,3,6,6,1,0.41,1658.43
TAR_MAR_031,182,1,1,1,1,0.44,1664.01
TAR_MAR_031,183,6,6,6,1,0.38,1669.55
TAR_MAR_031,184,2,1,5,0,0.79,1675.5
TAR_MAR_031,185,6,6,6,1,0.25,1680.88
TAR_MAR_031,186,6,6,6,1,0.59,1686.63
TAR_MAR_031,187,5,6,6,1,0.53,1692.32
TAR_MAR_031,188,3,1,6,0,1.39,1698.84
TAR_MAR_031,189,6,6,6,1,0.34,1704.31
TAR_MAR_031,190,3,6,6,1,0.55,1709.99
TAR_MAR_031,191,0,1,0,0,0.61,1715.73
TAR_MAR_031,192,1,1,1,1,0.56,1721.42
TAR_MAR_031,193,2,5,5,1,0.67,1727.26
TAR_MAR_031,194,2,5,5,1,0.35,1732.77
TAR_MAR_031,195,0,0,0,1,0.78,1738.69
TAR_MAR_031,196,6,6,6,1,0.66,1744.47
TAR_MAR_031,197,2,5,5,1,0.64,1750.23
