id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
TAR_MAR_031,100,6,6,1,0,1.58,66.34
TAR_MAR_031,101,6,6,1,0,1.12,71.61
TAR_MAR_031,102,6,0,0,0,0.75,76.5
TAR_MAR_031,0,0,0,1,1,0.21,95.38
TAR_MAR_031,1,6,6,1,2,0.57,98.12
TAR_MAR_031,2,6,6,1,3,0.58,100.88
TAR_MAR_031,3,6,6,1,4,0.58,103.62
TAR_MAR_031,4,0,6,0,4,0.4,106.19
TAR_MAR_031,5,6,6,1,5,0.42,108.78
TAR_MAR_031,6,0,6,0,5,0.34,111.3
TAR_MAR_031,7,6,6,1,6,0.29,113.76
TAR_MAR_031,8,0,0,1,7,0.58,116.52
TAR_MAR_031,9,0,6,0,7,0.55,119.22
TAR_MAR_031,10,0,6,0,7,0.39,121.78
TAR_MAR_031,11,6,6,1,8,0.29,124.23
TAR_MAR_031,12,0,0,1,9,0.62,127.01
TAR_MAR_031,13,6,6,1,10,0.52,129.7
TAR_MAR_031,14,0,6,0,10,0.28,132.16
TAR_MAR_031,15,0,6,0,10,0.3,134.64
TAR_MAR_031,16,6,6,1,11,0.3,137.11
TAR_MAR_031,17,6,6,1,12,0.51,139.79
TAR_MAR_031,18,6,6,1,13,0.45,142.43
TAR_MAR_031,19,0,0,1,14,0.3,144.91
TAR_MAR_031,20,0,6,0,14,0.42,147.49
TAR_MAR_031,21,6,6,1,15,0.36,150.03
TAR_MAR_031,22,6,6,1,16,0.38,152.59
TAR_MAR_031,23,0,6,0,16,0.38,155.13
TAR_MAR_031,24,0,0,1,17,0.27,157.58
TAR_MAR_031,25,6,6,1,18,0.4,160.16
TAR_MAR_031,26,0,0,1,19,0.28,162.64
TAR_MAR_031,27,0,6,0,19,0.29,165.09
TAR_MAR_031,28,6,6,1,20,0.24,167.52
TAR_MAR_031,29,6,6,1,21,0.53,170.24
TAR_MAR_031,30,6,6,1,22,0.65,173.06
TAR_MAR_031,31,0,0,1,23,0.39,175.65
TAR_MAR_031,32,6,6,1,24,1.35,179.17
TAR_MAR_031,33,0,0,1,25,0.31,181.67
TAR_MAR_031,34,0,0,1,26,0.36,184.24
