id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
TOU_YOA_011,999,2,0,5,0,26.48,82.37
TOU_YOA_011,999,3,5,6,0,2.39,92.14
TOU_YOA_011,999,1,1,1,1,1.8,101.05
TOU_YOA_011,0,0,0,0,1,1.49,126.45
TOU_YOA_011,1,3,0,6,0,0.61,134.67
TOU_YOA_011,2,6,0,6,0,1.66,143.93
TOU_YOA_011,3,0,0,0,1,1.03,152.62
TOU_YOA_011,4,3,0,6,0,0.87,161.13
TOU_YOA_011,5,0,1,0,0,1.19,170.13
TOU_YOA_011,6,1,0,1,0,0.66,178.26
TOU_YOA_011,7,4,1,6,0,0.85,186.46
TOU_YOA_011,8,0,0,0,1,1.07,195.02
TOU_YOA_011,9,3,0,6,0,1.06,203.81
TOU_YOA_011,10,2,0,5,0,0.75,212.4
TOU_YOA_011,11,1,0,1,0,0.73,220.96
TOU_YOA_011,12,5,1,6,0,0.89,229.5
TOU_YOA_011,13,3,0,6,0,0.74,237.64
TOU_YOA_011,14,1,0,1,0,0.66,245.94
TOU_YOA_011,15,1,0,1,0,0.75,254.04
TOU_YOA_011,16,2,0,5,0,0.42,261.92
TOU_YOA_011,17,2,0,5,0,0.59,269.89
TOU_YOA_011,18,0,0,0,1,0.51,278.26
TOU_YOA_011,19,5,0,6,0,0.57,286.22
TOU_YOA_011,20,2,1,5,0,0.84,294.89
TOU_YOA_011,21,1,0,1,0,0.71,303.0
TOU_YOA_011,22,3,1,6,0,0.97,311.68
TOU_YOA_011,23,0,0,0,1,0.59,319.99
TOU_YOA_011,24,4,1,6,0,0.89,328.49
TOU_YOA_011,25,2,1,5,0,0.42,336.54
TOU_YOA_011,26,2,0,5,0,0.8,345.07
TOU_YOA_011,27,4,0,6,0,0.83,353.55
TOU_YOA_011,28,0,0,0,1,0.46,361.61
TOU_YOA_011,29,2,0,5,0,0.36,369.59
TOU_YOA_011,30,4,0,6,0,0.65,377.82
TOU_YOA_011,31,0,0,0,1,0.54,385.72
TOU_YOA_011,32,6,5,6,0,1.57,395.01
TOU_YOA_011,33,4,0,6,0,0.79,403.62
TOU_YOA_011,34,5,0,6,0,0.68,412.12
TOU_YOA_011,35,5,0,6,0,0.83,420.6
