id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
TRA_LOI_064,100,29,45,29,29,1,common,0,1.3,34.37
TRA_LOI_064,101,52,66,52,52,1,common,0,1.43,40.55
TRA_LOI_064,102,53,44,44,44,1,common,0,0.72,46.02
TRA_LOI_064,0,24,44,24,24,1,common,1,0.94,65.37
TRA_LOI_064,1,29,23,23,23,1,common,2,0.99,69.14
TRA_LOI_064,2,27,12,12,12,1,common,3,0.68,72.56
TRA_LOI_064,3,74,65,65,65,1,common,4,0.85,76.19
TRA_LOI_064,4,75,90,75,75,1,common,5,1.15,80.13
TRA_LOI_064,5,12,18,18,12,0,common,5,1.55,84.43
TRA_LOI_064,6,9,16,9,9,1,common,6,1.03,88.18
TRA_LOI_064,7,25,40,40,40,1,common,7,1.1,92.02
TRA_LOI_064,8,75,60,60,60,1,common,8,1.08,95.88
TRA_LOI_064,9,25,43,25,25,1,common,9,0.78,99.42
TRA_LOI_064,10,15,26,15,15,1,common,10,1.25,103.39
TRA_LOI_064,11,71,54,54,54,1,common,11,1.03,107.19
TRA_LOI_064,12,29,46,29,29,1,common,12,0.9,110.8
TRA_LOI_064,13,53,33,33,33,1,common,13,1.11,114.67
TRA_LOI_064,14,38,52,38,38,1,common,14,0.92,118.36
TRA_LOI_064,15,24,44,24,24,1,common,15,0.67,121.77
TRA_LOI_064,16,13,12,12,12,1,common,16,0.73,125.24
TRA_LOI_064,17,58,64,58,58,1,common,17,2.35,130.36
TRA_LOI_064,18,31,13,13,13,1,common,18,1.1,134.24
TRA_LOI_064,19,98,88,88,88,1,common,19,1.2,138.2
TRA_LOI_064,20,31,43,31,31,1,common,20,1.39,142.36
TRA_LOI_064,21,36,25,25,25,1,common,21,0.9,145.97
TRA_LOI_064,22,42,29,29,29,1,common,22,0.9,149.58
TRA_LOI_064,23,20,32,20,20,1,common,23,1.46,153.77
TRA_LOI_064,24,19,36,36,36,1,common,24,1.07,157.59
TRA_LOI_064,25,48,36,36,36,1,common,25,0.89,161.24
TRA_LOI_064,26,33,13,13,13,1,common,26,0.74,164.71
TRA_LOI_064,27,45,35,35,35,1,common,27,0.74,168.21
TRA_LOI_064,28,24,35,24,24,1,common,28,1.87,172.8
TRA_LOI_064,29,28,45,28,28,1,common,29,0.94,176.51
TRA_LOI_064,30,13,30,13,13,1,common,30,0.59,179.84
TRA_LOI_064,31,36,17,17,36,0,common,30,0.76,183.36
TRA_LOI_064,32,62,74,62,62,1,common,31,1.02,187.12
TRA_LOI_064,33,26,31,26,26,1,common,32,0.9,190.75
TRA_LOI_064,34,28,38,28,28,1,common,33,0.79,194.32
TRA_LOI_064,35,72,81,81,72,0,common,33,1.19,198.28
TRA_LOI_064,36,16,21,16,16,1,common,34,2.96,204.0
TRA_LOI_064,37,36,21,36,36,1,common,35,5.23,211.98
TRA_LOI_064,38,36,16,16,16,1,common,36,0.82,215.51
TRA_LOI_064,39,8,16,8,8,1,common,37,0.61,218.88
TRA_LOI_064,40,18,12,12,12,1,common,38,1.92,223.54
TRA_LOI_064,41,67,76,67,67,1,common,39,0.95,227.27
TRA_LOI_064,42,92,84,84,84,1,common,40,1.18,231.22
TRA_LOI_064,43,34,14,14,14,1,common,41,2.22,236.2
TRA_LOI_064,44,14,9,9,9,1,common,42,1.12,240.04
TRA_LOI_064,45,103,83,83,83,1,common,43,1.07,243.89
TRA_LOI_064,46,23,33,23,23,1,common,44,4.26,250.91
TRA_LOI_064,47,19,28,28,28,1,common,45,1.72,255.36
TRA_LOI_064,48,30,41,30,30,1,common,46,1.06,259.12
TRA_LOI_064,49,35,53,35,35,1,common,47,0.87,262.76
TRA_LOI_064,50,34,33,34,33,0,pro,47,12.51,278.0
TRA_LOI_064,51,86,81,81,81,1,pro,48,1.61,282.41
TRA_LOI_064,52,33,52,33,33,1,pro,49,0.95,286.08
TRA_LOI_064,53,30,44,30,30,1,pro,50,0.58,289.45
TRA_LOI_064,54,30,35,30,30,1,pro,51,1.35,293.53
TRA_LOI_064,55,52,20,52,52,1,pro,52,1.61,297.92
TRA_LOI_064,56,31,52,31,52,0,pro,52,0.8,301.47
TRA_LOI_064,57,32,24,24,24,1,pro,53,1.05,305.29
TRA_LOI_064,58,60,35,35,60,0,pro,53,1.0,309.04
TRA_LOI_064,59,27,32,32,32,1,pro,54,0.69,312.48
TRA_LOI_064,60,20,31,20,20,1,pro,55,0.54,315.76
TRA_LOI_064,61,23,29,23,23,1,pro,56,0.79,319.3
TRA_LOI_064,62,14,24,24,24,1,pro,57,0.69,322.73
TRA_LOI_064,63,32,51,32,32,1,pro,58,0.93,326.42
TRA_LOI_064,64,30,11,11,11,1,pro,59,0.8,329.96
TRA_LOI_064,65,53,72,53,53,1,pro,60,1.85,334.6
TRA_LOI_064,66,41,51,41,41,1,pro,61,1.25,338.62
TRA_LOI_064,67,42,26,26,26,1,pro,62,0.89,342.26
TRA_LOI_064,68,48,23,48,48,1,pro,63,0.61,345.63
TRA_LOI_064,69,56,30,56,56,1,pro,64,0.93,349.33
TRA_LOI_064,70,43,62,43,43,1,pro,65,0.75,352.85
TRA_LOI_064,71,44,50,44,44,1,pro,66,0.52,356.13
TRA_LOI_064,72,20,14,20,20,1,pro,67,0.98,359.84
TRA_LOI_064,73,26,32,26,26,1,pro,68,0.9,363.47
TRA_LOI_064,74,39,19,19,19,1,pro,69,1.16,367.35
TRA_LOI_064,75,24,14,24,24,1,pro,70,1.03,371.12
TRA_LOI_064,76,70,55,70,55,0,pro,70,0.62,374.54
TRA_LOI_064,77,15,6,6,6,1,pro,71,0.54,377.79
TRA_LOI_064,78,31,44,44,31,0,pro,71,1.15,381.7
TRA_LOI_064,79,60,28,60,60,1,pro,72,1.2,385.67
TRA_LOI_064,80,31,20,20,20,1,pro,73,1.62,390.02
TRA_LOI_064,81,23,36,36,36,1,pro,74,0.95,393.73
TRA_LOI_064,82,63,80,63,63,1,pro,75,1.04,397.56
TRA_LOI_064,83,8,28,8,8,1,pro,76,0.66,400.93
TRA_LOI_064,84,21,32,32,32,1,pro,77,0.98,404.67
TRA_LOI_064,85,29,41,29,29,1,pro,78,0.96,408.35
TRA_LOI_064,86,22,40,40,40,1,pro,79,0.91,412.02
TRA_LOI_064,87,27,14,14,14,1,pro,80,1.69,416.44
TRA_LOI_064,88,32,48,32,48,0,pro,80,0.86,420.07
TRA_LOI_064,89,42,29,29,29,1,pro,81,0.78,423.65
TRA_LOI_064,90,92,81,81,81,1,pro,82,0.8,427.25
TRA_LOI_064,91,20,22,22,20,0,pro,82,1.94,431.96
