id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
TRA_LOI_064,999,2,1,5,0,11.57,66.12
TRA_LOI_064,999,3,5,6,0,3.16,76.66
TRA_LOI_064,999,1,1,1,1,1.64,85.44
TRA_LOI_064,0,0,0,0,1,1.49,113.68
TRA_LOI_064,1,3,0,6,0,1.29,122.6
TRA_LOI_064,2,6,1,6,0,1.12,131.33
TRA_LOI_064,3,0,0,0,1,1.08,140.12
TRA_LOI_064,4,3,0,6,0,0.86,148.67
TRA_LOI_064,5,0,0,0,1,0.8,157.33
TRA_LOI_064,6,1,0,1,0,0.77,165.58
TRA_LOI_064,7,4,0,6,0,0.62,173.59
TRA_LOI_064,8,0,0,0,1,1.15,182.22
TRA_LOI_064,9,3,5,6,0,2.01,191.95
TRA_LOI_064,10,2,0,5,0,0.9,200.72
TRA_LOI_064,11,1,0,1,0,0.96,209.56
TRA_LOI_064,12,5,0,6,0,0.7,217.97
TRA_LOI_064,13,3,0,6,0,0.66,226.06
TRA_LOI_064,14,1,0,1,0,0.57,234.29
TRA_LOI_064,15,1,0,1,0,0.82,242.45
TRA_LOI_064,16,2,0,5,0,0.61,250.57
TRA_LOI_064,17,2,1,5,0,0.61,258.6
TRA_LOI_064,18,0,0,0,1,1.35,267.79
TRA_LOI_064,19,5,1,6,0,0.69,275.88
TRA_LOI_064,20,2,0,5,0,1.39,285.13
TRA_LOI_064,21,1,1,1,1,1.22,293.76
TRA_LOI_064,22,3,0,6,0,0.72,302.25
TRA_LOI_064,23,0,0,0,1,0.72,310.73
TRA_LOI_064,24,4,1,6,0,0.58,318.96
TRA_LOI_064,25,2,1,5,0,0.67,327.26
TRA_LOI_064,26,2,0,5,0,0.93,335.89
TRA_LOI_064,27,4,0,6,0,0.64,344.19
TRA_LOI_064,28,0,0,0,1,0.92,352.68
TRA_LOI_064,29,2,1,5,0,0.79,361.17
TRA_LOI_064,30,4,0,6,0,1.32,370.1
TRA_LOI_064,31,0,0,0,1,0.71,378.19
TRA_LOI_064,32,6,0,6,0,0.74,386.74
TRA_LOI_064,33,4,1,6,0,0.59,395.19
TRA_LOI_064,34,5,1,6,0,0.36,403.38
TRA_LOI_064,35,5,0,6,0,1.59,412.64
TRA_LOI_064,36,5,1,6,0,0.52,420.67
TRA_LOI_064,37,5,1,6,0,0.48,428.86
TRA_LOI_064,38,6,0,6,0,0.86,437.12
TRA_LOI_064,39,1,1,1,1,0.73,445.55
TRA_LOI_064,40,0,0,0,1,0.89,454.08
TRA_LOI_064,41,0,0,0,1,0.77,462.5
TRA_LOI_064,42,2,0,5,0,0.68,470.81
TRA_LOI_064,43,2,0,5,0,0.81,479.23
TRA_LOI_064,44,5,5,6,0,0.87,487.9
TRA_LOI_064,45,0,0,0,1,0.59,496.18
TRA_LOI_064,46,3,0,6,0,0.63,504.48
TRA_LOI_064,47,0,0,0,1,0.79,512.59
TRA_LOI_064,48,0,0,0,1,0.67,521.12
TRA_LOI_064,49,4,1,6,0,0.57,529.41
TRA_LOI_064,50,1,0,1,0,0.6,537.65
TRA_LOI_064,51,1,0,1,0,0.7,546.1
TRA_LOI_064,52,3,0,6,0,0.5,554.32
TRA_LOI_064,53,1,0,1,0,0.96,562.88
TRA_LOI_064,54,2,0,5,0,0.76,571.39
TRA_LOI_064,55,6,5,6,0,0.7,579.78
TRA_LOI_064,56,2,5,5,1,0.72,588.16
TRA_LOI_064,57,0,0,0,1,1.01,596.93
TRA_LOI_064,58,3,5,6,0,0.69,605.28
TRA_LOI_064,59,1,1,1,1,0.78,613.92
TRA_LOI_064,60,3,0,6,0,0.73,622.5
TRA_LOI_064,61,3,0,6,0,0.72,630.94
TRA_LOI_064,62,3,1,6,0,0.65,638.99
TRA_LOI_064,63,1,0,1,0,0.67,647.34
