id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
TRA_MAS_065,100,45,29,45,29,0,common,0,3.18,49.93
TRA_MAS_065,101,66,52,52,52,1,common,0,1.99,56.69
TRA_MAS_065,102,53,44,53,44,0,common,0,2.07,63.52
TRA_MAS_065,0,24,44,24,24,1,common,1,2.3,83.69
TRA_MAS_065,1,23,29,29,23,0,common,1,1.93,88.38
TRA_MAS_065,2,27,12,12,12,1,common,2,1.22,92.33
TRA_MAS_065,3,65,74,74,65,0,common,2,1.6,96.7
TRA_MAS_065,4,90,75,75,75,1,common,3,0.92,100.41
TRA_MAS_065,5,12,18,12,12,1,common,4,1.54,104.69
TRA_MAS_065,6,9,16,9,9,1,common,5,2.48,109.9
TRA_MAS_065,7,40,25,40,40,1,common,6,1.33,113.96
TRA_MAS_065,8,60,75,75,60,0,common,6,0.93,117.66
TRA_MAS_065,9,43,25,43,25,0,common,6,1.16,121.58
TRA_MAS_065,10,26,15,15,15,1,common,7,2.08,126.38
TRA_MAS_065,11,54,71,54,54,1,common,8,1.81,130.98
TRA_MAS_065,12,29,46,46,29,0,common,8,1.26,134.94
TRA_MAS_065,13,33,53,53,33,0,common,8,1.15,138.81
TRA_MAS_065,14,52,38,52,38,0,common,8,1.85,143.44
TRA_MAS_065,15,44,24,44,24,0,common,8,1.95,148.12
TRA_MAS_065,16,12,13,13,12,0,common,8,2.03,152.86
TRA_MAS_065,17,64,58,64,58,0,common,8,2.11,157.74
TRA_MAS_065,18,13,31,13,13,1,common,9,1.53,162.01
TRA_MAS_065,19,88,98,98,88,0,common,9,1.45,166.24
TRA_MAS_065,20,43,31,43,31,0,common,9,0.95,169.95
TRA_MAS_065,21,36,25,36,25,0,common,9,0.99,173.66
TRA_MAS_065,22,42,29,29,29,1,common,10,1.63,178.02
TRA_MAS_065,23,32,20,20,20,1,common,11,1.58,182.33
TRA_MAS_065,24,19,36,36,36,1,common,12,1.13,186.22
TRA_MAS_065,25,36,48,36,36,1,common,13,0.97,189.93
TRA_MAS_065,26,13,33,13,13,1,common,14,1.03,193.66
TRA_MAS_065,27,35,45,35,35,1,common,15,0.95,197.39
TRA_MAS_065,28,35,24,24,24,1,common,16,1.98,202.08
TRA_MAS_065,29,28,45,28,28,1,common,17,1.04,205.86
TRA_MAS_065,30,30,13,13,13,1,common,18,1.3,209.92
TRA_MAS_065,31,36,17,36,36,1,common,19,0.74,213.41
TRA_MAS_065,32,62,74,62,62,1,common,20,0.89,217.04
TRA_MAS_065,33,31,26,31,26,0,common,20,1.38,221.16
TRA_MAS_065,34,28,38,38,28,0,common,20,1.61,225.55
TRA_MAS_065,35,81,72,81,72,0,common,20,1.12,229.45
TRA_MAS_065,36,21,16,16,16,1,common,21,1.09,233.28
TRA_MAS_065,37,36,21,36,36,1,common,22,0.68,236.7
TRA_MAS_065,38,36,16,16,16,1,common,23,1.18,240.63
TRA_MAS_065,39,8,16,8,8,1,common,24,0.77,244.1
TRA_MAS_065,40,12,18,12,12,1,common,25,0.94,247.77
TRA_MAS_065,41,76,67,67,67,1,common,26,1.09,251.64
TRA_MAS_065,42,92,84,92,84,0,common,26,0.88,255.3
TRA_MAS_065,43,34,14,14,14,1,common,27,0.76,258.82
TRA_MAS_065,44,14,9,9,9,1,common,28,0.72,262.29
TRA_MAS_065,45,83,103,83,83,1,common,29,0.95,266.01
TRA_MAS_065,46,33,23,23,23,1,common,30,1.1,269.86
TRA_MAS_065,47,19,28,28,28,1,common,31,0.92,273.51
TRA_MAS_065,48,30,41,30,30,1,common,32,0.82,277.06
TRA_MAS_065,49,53,35,35,35,1,common,33,1.29,281.09
TRA_MAS_065,50,33,34,34,33,0,common,33,1.07,284.89
TRA_MAS_065,51,86,81,86,81,0,common,33,1.41,289.1
TRA_MAS_065,52,52,33,33,33,1,common,34,0.65,292.45
TRA_MAS_065,53,44,30,44,30,0,common,34,1.23,296.47
TRA_MAS_065,54,35,30,30,30,1,common,35,1.58,300.75
TRA_MAS_065,55,52,20,52,52,1,common,36,0.7,304.19
TRA_MAS_065,56,31,52,52,52,1,common,37,0.79,307.73
TRA_MAS_065,57,24,32,24,24,1,common,38,0.71,311.18
