id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
TRA_MAS_065,999,2,1,5,0,4.35,122.21
TRA_MAS_065,999,3,1,6,0,4.17,133.77
TRA_MAS_065,999,1,6,1,0,2.85,143.73
TRA_MAS_065,0,0,5,0,0,1.77,182.55
TRA_MAS_065,1,3,0,6,0,1.38,191.55
TRA_MAS_065,2,6,5,6,0,1.45,200.62
TRA_MAS_065,3,0,0,0,1,0.98,209.28
TRA_MAS_065,4,3,1,6,0,1.96,218.89
TRA_MAS_065,5,0,5,0,0,1.73,228.43
TRA_MAS_065,6,1,0,1,0,0.97,236.83
TRA_MAS_065,7,4,1,6,0,1.12,245.32
TRA_MAS_065,8,0,0,0,1,0.67,253.44
TRA_MAS_065,9,3,1,6,0,1.54,262.75
TRA_MAS_065,10,2,1,5,0,1.76,272.42
TRA_MAS_065,11,1,1,1,1,1.56,281.84
TRA_MAS_065,12,5,1,6,0,1.16,290.66
TRA_MAS_065,13,3,5,6,0,1.86,299.91
TRA_MAS_065,14,1,1,1,1,1.03,308.6
TRA_MAS_065,15,1,0,1,0,1.12,317.06
TRA_MAS_065,16,2,0,5,0,0.52,325.04
TRA_MAS_065,17,2,1,5,0,0.46,332.89
TRA_MAS_065,18,0,1,0,0,1.2,341.95
TRA_MAS_065,19,5,6,6,1,1.04,350.43
TRA_MAS_065,20,2,1,5,0,1.18,359.44
TRA_MAS_065,21,1,6,1,0,1.07,367.94
TRA_MAS_065,22,3,5,6,0,1.51,377.14
TRA_MAS_065,23,0,0,0,1,0.84,385.68
TRA_MAS_065,24,4,1,6,0,1.06,394.33
TRA_MAS_065,25,2,0,5,0,5.24,407.19
TRA_MAS_065,26,2,0,5,0,1.08,415.93
TRA_MAS_065,27,4,1,6,0,1.19,424.75
TRA_MAS_065,28,0,1,0,0,0.88,433.2
TRA_MAS_065,29,2,0,5,0,0.81,441.63
TRA_MAS_065,30,4,1,6,0,0.93,450.13
TRA_MAS_065,31,0,0,0,1,0.9,458.4
TRA_MAS_065,32,6,6,6,1,1.13,467.23
TRA_MAS_065,33,4,5,6,0,1.68,476.73
TRA_MAS_065,34,5,1,6,0,1.09,485.66
TRA_MAS_065,35,5,1,6,0,0.73,494.05
TRA_MAS_065,36,5,0,6,0,1.26,502.82
TRA_MAS_065,37,5,6,6,1,0.97,511.44
TRA_MAS_065,38,6,1,6,0,1.05,519.88
TRA_MAS_065,39,1,1,1,1,0.96,528.55
TRA_MAS_065,40,0,0,0,1,1.03,537.22
TRA_MAS_065,41,0,0,0,1,0.67,545.53
TRA_MAS_065,42,2,0,5,0,0.63,553.79
TRA_MAS_065,43,2,0,5,0,0.79,562.2
TRA_MAS_065,44,5,1,6,0,0.71,570.7
TRA_MAS_065,45,0,0,0,1,1.27,579.64
TRA_MAS_065,46,3,0,6,0,1.0,588.3
TRA_MAS_065,47,0,0,0,1,0.8,596.44
TRA_MAS_065,48,0,1,0,0,0.85,605.13
