id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
UZU_ALA_053,100,45,29,45,29,0,common,0,1.64,72.23
UZU_ALA_053,101,52,66,52,52,1,common,0,1.7,78.7
UZU_ALA_053,102,53,44,44,44,1,common,0,1.8,85.25
UZU_ALA_053,0,24,44,24,24,1,common,1,1.6,104.73
UZU_ALA_053,1,23,29,23,23,1,common,2,2.05,109.55
UZU_ALA_053,2,27,12,12,12,1,common,3,0.9,113.18
UZU_ALA_053,3,74,65,65,65,1,common,4,2.52,118.5
UZU_ALA_053,4,75,90,75,75,1,common,5,4.31,125.56
UZU_ALA_053,5,18,12,12,12,1,common,6,2.03,130.3
UZU_ALA_053,6,9,16,9,9,1,common,7,1.22,134.25
UZU_ALA_053,7,40,25,40,40,1,common,8,4.89,141.89
UZU_ALA_053,8,75,60,60,60,1,common,9,4.42,149.12
UZU_ALA_053,9,43,25,25,25,1,common,10,1.42,153.32
UZU_ALA_053,10,15,26,15,15,1,common,11,1.62,157.69
UZU_ALA_053,11,71,54,54,54,1,common,12,3.62,164.1
UZU_ALA_053,12,46,29,29,29,1,common,13,2.31,169.14
UZU_ALA_053,13,53,33,33,33,1,common,14,6.18,178.06
UZU_ALA_053,14,52,38,38,38,1,common,15,4.55,185.41
UZU_ALA_053,15,24,44,24,24,1,common,16,2.61,190.78
UZU_ALA_053,16,13,12,12,12,1,common,17,2.93,196.44
UZU_ALA_053,17,64,58,58,58,1,common,18,5.84,205.06
UZU_ALA_053,18,13,31,13,13,1,common,19,3.48,211.28
UZU_ALA_053,19,88,98,88,88,1,common,20,4.85,218.95
UZU_ALA_053,20,31,43,31,31,1,common,21,1.43,223.15
UZU_ALA_053,21,36,25,36,25,0,common,21,2.52,228.38
UZU_ALA_053,22,29,42,29,29,1,common,22,3.74,234.86
UZU_ALA_053,23,20,32,20,20,1,common,23,4.17,241.75
UZU_ALA_053,24,36,19,36,36,1,common,24,4.36,248.86
UZU_ALA_053,25,36,48,36,36,1,common,25,2.96,254.56
UZU_ALA_053,26,13,33,13,13,1,common,26,4.31,261.59
UZU_ALA_053,27,35,45,35,35,1,common,27,2.41,266.76
UZU_ALA_053,28,35,24,24,24,1,common,28,3.56,273.06
UZU_ALA_053,29,45,28,28,28,1,common,29,1.65,277.5
UZU_ALA_053,30,13,30,13,13,1,common,30,1.78,282.03
UZU_ALA_053,31,17,36,36,36,1,common,31,2.79,287.56
UZU_ALA_053,32,74,62,62,62,1,common,32,2.67,293.03
UZU_ALA_053,33,31,26,31,26,0,common,32,9.3,305.07
UZU_ALA_053,34,28,38,28,28,1,common,33,2.49,310.31
UZU_ALA_053,35,72,81,81,72,0,common,33,3.75,316.86
UZU_ALA_053,36,21,16,16,16,1,common,34,1.46,321.06
UZU_ALA_053,37,21,36,36,36,1,common,35,2.12,325.92
UZU_ALA_053,38,16,36,16,16,1,common,36,1.27,329.94
UZU_ALA_053,39,8,16,8,8,1,common,37,0.93,333.6
UZU_ALA_053,40,18,12,12,12,1,common,38,0.68,337.02
UZU_ALA_053,41,76,67,67,67,1,common,39,2.36,342.12
UZU_ALA_053,42,84,92,84,84,1,common,40,1.64,346.56
UZU_ALA_053,43,34,14,14,14,1,common,41,1.54,350.83
UZU_ALA_053,44,9,14,9,9,1,common,42,11.61,365.23
UZU_ALA_053,45,103,83,83,83,1,common,43,4.51,372.53
UZU_ALA_053,46,33,23,23,23,1,common,44,4.82,380.09
UZU_ALA_053,47,19,28,28,28,1,common,45,1.41,384.28
UZU_ALA_053,48,30,41,30,30,1,common,46,6.6,393.58
UZU_ALA_053,49,35,53,35,35,1,common,47,1.59,397.96
UZU_ALA_053,50,33,34,34,33,0,pro,47,6.86,407.56
UZU_ALA_053,51,86,81,86,81,0,pro,47,5.99,416.33
UZU_ALA_053,52,52,33,33,33,1,pro,48,6.23,425.29
UZU_ALA_053,53,30,44,30,30,1,pro,49,1.49,429.55
UZU_ALA_053,54,30,35,35,30,0,pro,49,2.56,434.85
UZU_ALA_053,55,52,20,52,52,1,pro,50,1.63,439.23
UZU_ALA_053,56,52,31,52,52,1,pro,51,4.36,446.33
UZU_ALA_053,57,24,32,24,24,1,pro,52,1.58,450.66
UZU_ALA_053,58,35,60,60,60,1,pro,53,1.83,455.27
UZU_ALA_053,59,32,27,27,32,0,pro,53,23.84,481.86
UZU_ALA_053,60,20,31,20,20,1,pro,54,1.29,485.86
UZU_ALA_053,61,23,29,23,23,1,pro,55,2.59,491.23
UZU_ALA_053,62,24,14,24,24,1,pro,56,2.63,496.6
UZU_ALA_053,63,32,51,32,32,1,pro,57,1.36,500.72
UZU_ALA_053,64,30,11,11,11,1,pro,58,1.67,505.14
UZU_ALA_053,65,53,72,53,53,1,pro,59,11.41,519.33
UZU_ALA_053,66,51,41,41,41,1,pro,60,1.39,523.48
UZU_ALA_053,67,26,42,26,26,1,pro,61,1.3,527.54
UZU_ALA_053,68,23,48,48,48,1,pro,62,3.05,533.31
UZU_ALA_053,69,56,30,30,56,0,pro,62,4.0,540.04
UZU_ALA_053,70,62,43,43,43,1,pro,63,2.44,545.26
UZU_ALA_053,71,44,50,44,44,1,pro,64,7.39,555.43
UZU_ALA_053,72,20,14,20,20,1,pro,65,2.94,561.13
UZU_ALA_053,73,26,32,26,26,1,pro,66,3.13,567.02
UZU_ALA_053,74,39,19,19,19,1,pro,67,4.13,573.91
UZU_ALA_053,75,14,24,24,24,1,pro,68,2.47,579.13
UZU_ALA_053,76,70,55,55,55,1,pro,69,2.08,583.97
UZU_ALA_053,77,6,15,6,6,1,pro,70,1.67,588.39
UZU_ALA_053,78,31,44,31,31,1,pro,71,3.76,594.92
UZU_ALA_053,79,60,28,60,60,1,pro,72,3.26,600.93
UZU_ALA_053,80,31,20,20,20,1,pro,73,3.98,607.67
UZU_ALA_053,81,36,23,36,36,1,pro,74,4.75,615.18
UZU_ALA_053,82,63,80,63,63,1,pro,75,5.53,623.5
UZU_ALA_053,83,8,28,8,8,1,pro,76,0.71,626.97
UZU_ALA_053,84,21,32,32,32,1,pro,77,2.68,632.41
UZU_ALA_053,85,41,29,29,29,1,pro,78,2.85,638.01
UZU_ALA_053,86,22,40,40,40,1,pro,79,1.46,642.23
UZU_ALA_053,87,14,27,27,14,0,pro,79,4.66,649.66
UZU_ALA_053,88,48,32,48,48,1,pro,80,4.5,656.92
UZU_ALA_053,89,29,42,29,29,1,pro,81,2.86,662.57
UZU_ALA_053,90,92,81,81,81,1,pro,82,6.69,672.03
UZU_ALA_053,91,22,20,22,20,0,pro,82,5.32,680.08
UZU_ALA_053,92,45,32,32,32,1,pro,83,1.81,684.63
UZU_ALA_053,93,33,49,49,33,0,pro,83,1.96,689.35
UZU_ALA_053,94,41,58,58,41,0,pro,83,5.29,697.41
UZU_ALA_053,95,22,36,36,36,1,pro,84,5.19,705.36
UZU_ALA_053,96,83,77,77,77,1,pro,85,5.05,713.19
UZU_ALA_053,97,62,68,62,62,1,pro,86,1.73,717.67
UZU_ALA_053,98,17,22,17,17,1,pro,87,3.17,723.58
UZU_ALA_053,99,18,29,18,18,1,pro,88,2.34,728.63
