id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
WEI_ALI_048,100,45,29,29,29,1,common,0,1.6,50.58
WEI_ALI_048,101,52,66,52,52,1,common,0,1.47,56.8
WEI_ALI_048,102,44,53,44,44,1,common,0,1.31,62.86
WEI_ALI_048,0,44,24,24,24,1,common,1,1.18,83.48
WEI_ALI_048,1,23,29,23,23,1,common,2,1.94,88.19
WEI_ALI_048,2,27,12,12,12,1,common,3,0.96,91.84
WEI_ALI_048,3,74,65,65,65,1,common,4,1.54,96.14
WEI_ALI_048,4,75,90,90,75,0,common,4,1.06,99.99
WEI_ALI_048,5,18,12,12,12,1,common,5,1.27,104.0
WEI_ALI_048,6,16,9,9,9,1,common,6,0.62,107.37
WEI_ALI_048,7,40,25,40,40,1,common,7,1.23,111.34
WEI_ALI_048,8,60,75,60,60,1,common,8,1.35,115.43
WEI_ALI_048,9,25,43,25,25,1,common,9,0.9,119.1
WEI_ALI_048,10,26,15,15,15,1,common,10,1.84,123.67
WEI_ALI_048,11,54,71,54,54,1,common,11,1.55,127.97
WEI_ALI_048,12,46,29,29,29,1,common,12,1.03,131.71
WEI_ALI_048,13,53,33,33,33,1,common,13,1.2,135.62
WEI_ALI_048,14,38,52,38,38,1,common,14,1.77,140.15
WEI_ALI_048,15,24,44,24,24,1,common,15,0.84,143.74
WEI_ALI_048,16,12,13,13,12,0,common,15,1.87,148.34
WEI_ALI_048,17,58,64,64,58,0,common,15,1.81,152.93
WEI_ALI_048,18,31,13,13,13,1,common,16,0.92,156.6
WEI_ALI_048,19,88,98,98,88,0,common,16,1.13,160.51
WEI_ALI_048,20,31,43,31,31,1,common,17,1.26,164.53
WEI_ALI_048,21,36,25,25,25,1,common,18,0.7,167.93
WEI_ALI_048,22,42,29,29,29,1,common,19,0.96,171.59
WEI_ALI_048,23,20,32,20,20,1,common,20,1.0,175.32
WEI_ALI_048,24,19,36,19,36,0,common,20,1.54,179.63
WEI_ALI_048,25,48,36,36,36,1,common,21,1.82,184.22
WEI_ALI_048,26,13,33,13,13,1,common,22,0.85,187.8
WEI_ALI_048,27,35,45,35,35,1,common,23,0.86,191.43
WEI_ALI_048,28,24,35,24,24,1,common,24,1.47,195.62
WEI_ALI_048,29,28,45,45,28,0,common,24,1.84,200.22
WEI_ALI_048,30,30,13,13,13,1,common,25,0.99,203.96
WEI_ALI_048,31,36,17,36,36,1,common,26,1.68,208.38
WEI_ALI_048,32,62,74,62,62,1,common,27,1.89,213.03
WEI_ALI_048,33,26,31,26,26,1,common,28,1.93,217.72
WEI_ALI_048,34,28,38,38,28,0,common,28,2.65,223.14
WEI_ALI_048,35,81,72,81,72,0,common,28,2.02,227.94
WEI_ALI_048,36,21,16,21,16,0,common,28,1.99,232.66
WEI_ALI_048,37,21,36,21,36,0,common,28,1.78,237.18
WEI_ALI_048,38,36,16,16,16,1,common,29,1.44,241.34
WEI_ALI_048,39,8,16,8,8,1,common,30,1.27,245.34
WEI_ALI_048,40,12,18,12,12,1,common,31,0.55,248.62
WEI_ALI_048,41,76,67,67,67,1,common,32,1.52,252.92
WEI_ALI_048,42,92,84,92,84,0,common,32,0.81,256.55
WEI_ALI_048,43,34,14,14,14,1,common,33,0.7,260.0
WEI_ALI_048,44,9,14,9,9,1,common,34,0.61,263.33
WEI_ALI_048,45,103,83,83,83,1,common,35,2.02,268.12
WEI_ALI_048,46,33,23,23,23,1,common,36,1.04,271.92
WEI_ALI_048,47,28,19,19,28,0,common,36,2.03,276.69
WEI_ALI_048,48,41,30,30,30,1,common,37,1.18,280.58
WEI_ALI_048,49,53,35,35,35,1,common,38,0.8,284.14
WEI_ALI_048,50,33,34,33,33,1,common,39,2.07,288.94
