id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
WEI_ALI_048,999,2,1,5,0,10.72,101.51
WEI_ALI_048,999,3,5,6,0,1.6,110.48
WEI_ALI_048,999,1,1,1,1,1.5,119.08
WEI_ALI_048,0,0,1,0,0,1.54,153.82
WEI_ALI_048,1,3,5,6,0,0.92,162.36
WEI_ALI_048,2,6,1,6,0,1.16,171.14
WEI_ALI_048,3,0,0,0,1,1.47,180.3
WEI_ALI_048,4,3,0,6,0,1.03,188.97
WEI_ALI_048,5,0,0,0,1,1.19,198.03
WEI_ALI_048,6,1,1,1,1,0.84,206.35
WEI_ALI_048,7,4,0,6,0,0.93,214.65
WEI_ALI_048,8,0,0,0,1,0.78,222.85
WEI_ALI_048,9,3,1,6,0,0.96,231.57
WEI_ALI_048,10,2,1,5,0,0.99,240.41
WEI_ALI_048,11,1,0,1,0,1.08,249.31
WEI_ALI_048,12,5,5,6,0,0.95,257.95
WEI_ALI_048,13,3,1,6,0,1.17,266.53
WEI_ALI_048,14,1,1,1,1,1.14,275.34
WEI_ALI_048,15,1,1,1,1,1.09,283.76
WEI_ALI_048,16,2,0,5,0,0.78,292.06
WEI_ALI_048,17,2,1,5,0,0.73,300.2
WEI_ALI_048,18,0,0,0,1,1.24,309.25
WEI_ALI_048,19,5,1,6,0,0.85,317.5
WEI_ALI_048,20,2,0,5,0,1.74,327.09
WEI_ALI_048,21,1,1,1,1,0.89,335.37
WEI_ALI_048,22,3,5,6,0,1.12,344.21
WEI_ALI_048,23,0,0,0,1,1.13,353.06
WEI_ALI_048,24,4,6,6,1,0.82,361.52
WEI_ALI_048,25,2,1,5,0,1.1,370.23
WEI_ALI_048,26,2,0,5,0,1.17,379.04
WEI_ALI_048,27,4,5,6,0,1.23,387.94
WEI_ALI_048,28,0,0,0,1,1.04,396.56
WEI_ALI_048,29,2,1,5,0,1.0,405.2
WEI_ALI_048,30,4,5,6,0,1.16,413.94
WEI_ALI_048,31,0,0,0,1,0.98,422.31
WEI_ALI_048,32,6,6,6,1,0.76,430.8
WEI_ALI_048,33,4,0,6,0,0.93,439.55
WEI_ALI_048,34,5,1,6,0,1.59,448.97
WEI_ALI_048,35,5,0,6,0,1.31,457.89
WEI_ALI_048,36,5,5,6,0,0.95,466.35
WEI_ALI_048,37,5,5,6,0,0.8,474.85
WEI_ALI_048,38,6,5,6,0,1.05,483.29
WEI_ALI_048,39,1,1,1,1,0.85,491.87
WEI_ALI_048,40,0,0,0,1,0.85,500.4
WEI_ALI_048,41,0,0,0,1,0.88,508.95
WEI_ALI_048,42,2,0,5,0,0.79,517.36
WEI_ALI_048,43,2,0,5,0,0.72,525.69
WEI_ALI_048,44,5,5,6,0,0.75,534.27
WEI_ALI_048,45,0,0,0,1,1.1,543.09
WEI_ALI_048,46,3,1,6,0,0.76,551.51
WEI_ALI_048,47,0,0,0,1,1.08,559.95
WEI_ALI_048,48,0,0,0,1,0.92,568.72
WEI_ALI_048,49,4,1,6,0,0.82,577.24
WEI_ALI_048,50,1,0,1,0,0.72,585.58
WEI_ALI_048,51,1,1,1,1,0.94,594.26
WEI_ALI_048,52,3,1,6,0,0.83,602.77
WEI_ALI_048,53,1,0,1,0,1.09,611.48
WEI_ALI_048,54,2,0,5,0,0.71,619.93
WEI_ALI_048,55,6,5,6,0,0.89,628.46
WEI_ALI_048,56,2,0,5,0,1.17,637.28
WEI_ALI_048,57,0,0,0,1,0.71,645.73
WEI_ALI_048,58,3,5,6,0,0.93,654.33
WEI_ALI_048,59,1,0,1,0,0.93,663.1
WEI_ALI_048,60,3,1,6,0,1.09,672.01
WEI_ALI_048,61,3,0,6,0,1.19,680.88
WEI_ALI_048,62,3,1,6,0,1.04,689.28
WEI_ALI_048,63,1,0,1,0,0.82,697.76
WEI_ALI_048,64,0,0,0,1,1.4,706.82
WEI_ALI_048,65,4,5,6,0,1.0,715.52
WEI_ALI_048,66,3,1,6,0,1.39,724.63
WEI_ALI_048,67,2,5,5,1,0.89,732.89
WEI_ALI_048,68,5,5,6,0,0.76,741.07
WEI_ALI_048,69,2,0,5,0,0.9,749.65
WEI_ALI_048,70,5,1,6,0,0.81,757.89
WEI_ALI_048,71,6,6,6,1,1.13,766.67
WEI_ALI_048,72,2,1,5,0,0.79,774.87
WEI_ALI_048,73,0,0,0,1,0.97,783.51
WEI_ALI_048,74,1,0,1,0,0.81,792.03
WEI_ALI_048,75,2,1,5,0,0.88,800.59
WEI_ALI_048,76,2,1,5,0,0.96,809.31
WEI_ALI_048,77,1,0,1,0,0.65,817.62
WEI_ALI_048,78,4,5,6,0,0.92,826.2
WEI_ALI_048,79,2,1,5,0,1.05,834.91
WEI_ALI_048,80,2,0,5,0,1.02,843.78
WEI_ALI_048,81,0,0,0,1,0.71,851.92
WEI_ALI_048,82,4,1,6,0,1.08,860.45
WEI_ALI_048,83,4,5,6,0,0.7,868.79
WEI_ALI_048,84,2,1,5,0,0.76,876.92
WEI_ALI_048,85,4,1,6,0,0.79,885.13
WEI_ALI_048,86,3,0,6,0,0.84,893.83
WEI_ALI_048,87,1,0,1,0,1.06,902.55
WEI_ALI_048,88,0,0,0,1,0.55,910.77
WEI_ALI_048,89,0,0,0,1,0.96,919.42
WEI_ALI_048,90,0,0,0,1,1.18,928.03
WEI_ALI_048,91,1,1,1,1,1.1,936.93
WEI_ALI_048,92,5,5,6,0,0.46,945.02
WEI_ALI_048,93,4,5,6,0,0.43,952.84
WEI_ALI_048,94,6,1,6,0,0.81,961.34
WEI_ALI_048,95,3,1,6,0,0.87,970.05
WEI_ALI_048,96,5,5,6,0,1.0,978.81
WEI_ALI_048,97,4,0,6,0,0.84,987.32
WEI_ALI_048,98,1,0,1,0,0.64,995.54
WEI_ALI_048,99,1,1,1,1,0.81,1003.76
WEI_ALI_048,100,0,0,0,1,0.86,1129.91
WEI_ALI_048,101,0,0,0,1,0.87,1136.05
WEI_ALI_048,102,2,5,5,1,0.62,1141.95
WEI_ALI_048,103,2,5,5,1,0.79,1148.02
WEI_ALI_048,104,3,6,6,1,0.5,1153.77
WEI_ALI_048,105,0,0,0,1,0.76,1159.83
WEI_ALI_048,106,4,6,6,1,0.78,1165.86
WEI_ALI_048,107,1,1,1,1,1.07,1172.22
WEI_ALI_048,108,1,1,1,1,1.16,1178.65
WEI_ALI_048,109,2,5,5,1,0.93,1184.86
WEI_ALI_048,110,0,1,0,0,1.03,1191.16
WEI_ALI_048,111,1,1,1,1,0.68,1197.1
WEI_ALI_048,112,3,1,6,0,1.32,1203.7
WEI_ALI_048,113,6,6,6,1,0.85,1209.82
WEI_ALI_048,114,6,6,6,1,0.26,1215.34
WEI_ALI_048,115,1,1,1,1,1.25,1221.83
WEI_ALI_048,116,2,1,5,0,0.67,1227.8
WEI_ALI_048,117,6,6,6,1,0.76,1233.85
WEI_ALI_048,118,5,6,6,1,0.32,1239.45
WEI_ALI_048,119,4,6,6,1,0.68,1245.38
WEI_ALI_048,120,3,6,6,1,0.44,1251.07
WEI_ALI_048,121,0,0,0,1,0.67,1256.99
WEI_ALI_048,122,4,5,6,0,0.76,1263.02
