id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
WEI_ALI_048,100,6,6,1,0,0.85,34.7
WEI_ALI_048,101,6,6,1,0,0.5,39.36
WEI_ALI_048,102,6,0,0,0,0.82,44.35
WEI_ALI_048,0,0,0,1,1,0.89,62.74
WEI_ALI_048,1,6,6,1,2,0.58,65.53
WEI_ALI_048,2,6,6,1,3,0.41,68.11
WEI_ALI_048,3,6,6,1,4,0.81,71.11
WEI_ALI_048,4,6,6,1,5,0.54,73.85
WEI_ALI_048,5,6,6,1,6,0.52,76.56
WEI_ALI_048,6,0,6,0,6,0.65,79.4
WEI_ALI_048,7,6,6,1,7,0.38,81.97
WEI_ALI_048,8,0,0,1,8,0.34,84.52
WEI_ALI_048,9,6,6,1,9,0.32,87.03
WEI_ALI_048,10,6,6,1,10,0.41,89.64
WEI_ALI_048,11,6,6,1,11,1.31,93.12
WEI_ALI_048,12,0,0,1,12,0.27,95.59
WEI_ALI_048,13,6,6,1,13,0.45,98.22
WEI_ALI_048,14,6,6,1,14,1.65,102.06
WEI_ALI_048,15,6,6,1,15,0.5,104.75
WEI_ALI_048,16,6,6,1,16,0.95,107.9
WEI_ALI_048,17,6,6,1,17,0.35,110.43
WEI_ALI_048,18,6,6,1,18,0.29,112.91
WEI_ALI_048,19,0,0,1,19,0.36,115.44
WEI_ALI_048,20,6,6,1,20,0.83,118.46
WEI_ALI_048,21,6,6,1,21,0.24,120.9
WEI_ALI_048,22,0,6,0,21,1.73,124.83
WEI_ALI_048,23,6,6,1,22,0.37,127.4
WEI_ALI_048,24,0,0,1,23,0.32,129.9
WEI_ALI_048,25,6,6,1,24,0.36,132.46
WEI_ALI_048,26,0,0,1,25,0.2,134.85
WEI_ALI_048,27,6,6,1,26,0.46,137.51
WEI_ALI_048,28,6,6,1,27,0.3,140.01
WEI_ALI_048,29,6,6,1,28,0.28,142.49
WEI_ALI_048,30,6,6,1,29,0.4,145.09
WEI_ALI_048,31,0,0,1,30,0.21,147.49
WEI_ALI_048,32,0,6,0,30,0.81,150.49
WEI_ALI_048,33,0,0,1,31,0.24,152.93
WEI_ALI_048,34,0,0,1,32,0.21,155.37
WEI_ALI_048,35,6,6,1,33,0.2,157.8
WEI_ALI_048,36,6,6,1,34,0.18,160.17
WEI_ALI_048,37,0,0,1,35,0.2,162.55
WEI_ALI_048,38,0,0,1,36,0.2,164.96
WEI_ALI_048,39,6,6,1,37,0.2,167.35
WEI_ALI_048,40,0,0,1,38,0.18,169.75
WEI_ALI_048,41,0,0,1,39,0.22,172.17
WEI_ALI_048,42,6,6,1,40,0.18,174.53
WEI_ALI_048,43,6,6,1,41,0.25,176.97
WEI_ALI_048,44,6,6,1,42,0.29,179.46
WEI_ALI_048,45,6,6,1,43,0.21,181.88
WEI_ALI_048,46,6,6,1,44,0.39,184.45
WEI_ALI_048,47,6,6,1,45,0.2,186.85
WEI_ALI_048,48,0,0,1,46,0.31,189.36
WEI_ALI_048,49,0,0,1,47,0.27,191.85
WEI_ALI_048,50,0,0,1,48,0.2,194.25
WEI_ALI_048,51,6,6,1,49,0.24,196.71
WEI_ALI_048,52,6,6,1,50,0.27,199.16
WEI_ALI_048,53,6,6,1,51,0.18,201.53
WEI_ALI_048,54,6,6,1,52,0.25,203.98
WEI_ALI_048,55,6,6,1,53,0.21,206.38
WEI_ALI_048,56,6,6,1,54,0.2,208.77
WEI_ALI_048,57,6,6,1,55,0.23,211.19
WEI_ALI_048,58,6,6,1,56,0.21,213.59
WEI_ALI_048,59,6,6,1,57,0.29,216.09
WEI_ALI_048,60,6,6,1,58,0.19,218.46
WEI_ALI_048,61,6,6,1,59,0.22,220.86
WEI_ALI_048,62,6,6,1,60,0.21,223.27
WEI_ALI_048,63,6,6,1,61,0.21,225.7
WEI_ALI_048,64,6,6,1,62,0.15,228.02
WEI_ALI_048,65,6,6,1,63,0.16,230.38
