id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
YOU_MOH_063,999,2,1,5,0,1.37,89.89
YOU_MOH_063,999,3,5,6,0,1.51,101.2
YOU_MOH_063,999,1,1,1,1,1.52,109.86
YOU_MOH_063,0,0,0,0,1,1.52,141.49
YOU_MOH_063,1,3,1,6,0,1.3,150.47
YOU_MOH_063,2,6,1,6,0,1.06,159.12
YOU_MOH_063,3,0,0,0,1,0.94,167.76
YOU_MOH_063,4,3,1,6,0,0.94,176.34
YOU_MOH_063,5,0,0,0,1,0.85,185.04
YOU_MOH_063,6,1,0,1,0,1.61,194.12
YOU_MOH_063,7,4,0,6,0,1.86,203.35
YOU_MOH_063,8,0,0,0,1,1.01,211.82
YOU_MOH_063,9,3,5,6,0,1.28,220.84
YOU_MOH_063,10,2,1,5,0,1.03,229.72
YOU_MOH_063,11,1,1,1,1,0.79,238.32
YOU_MOH_063,12,5,5,6,0,0.99,246.96
YOU_MOH_063,13,3,0,6,0,1.92,256.26
YOU_MOH_063,14,1,0,1,0,0.89,264.8
YOU_MOH_063,15,1,0,1,0,0.92,273.03
YOU_MOH_063,16,2,0,5,0,0.96,281.42
YOU_MOH_063,17,2,1,5,0,1.07,289.88
YOU_MOH_063,18,0,1,0,0,0.92,298.65
YOU_MOH_063,19,5,1,6,0,1.09,307.12
YOU_MOH_063,20,2,1,5,0,0.93,315.87
YOU_MOH_063,21,1,0,1,0,1.02,324.28
YOU_MOH_063,22,3,1,6,0,0.94,332.92
YOU_MOH_063,23,0,0,0,1,0.86,341.49
YOU_MOH_063,24,4,5,6,0,1.07,350.18
YOU_MOH_063,25,2,5,5,1,0.72,358.53
YOU_MOH_063,26,2,0,5,0,3.79,370.02
YOU_MOH_063,27,4,1,6,0,0.79,378.43
YOU_MOH_063,28,0,0,0,1,0.82,386.88
YOU_MOH_063,29,2,0,5,0,0.74,395.23
YOU_MOH_063,30,4,0,6,0,0.85,403.7
YOU_MOH_063,31,0,0,0,1,1.55,412.62
YOU_MOH_063,32,6,5,6,0,1.2,421.51
YOU_MOH_063,33,4,1,6,0,1.12,430.45
YOU_MOH_063,34,5,0,6,0,0.86,439.14
YOU_MOH_063,35,5,0,6,0,0.69,447.46
YOU_MOH_063,36,5,5,6,0,0.85,455.78
YOU_MOH_063,37,5,5,6,0,0.99,464.47
YOU_MOH_063,38,6,5,6,0,0.9,472.78
YOU_MOH_063,39,1,1,1,1,0.65,481.13
YOU_MOH_063,40,0,0,0,1,0.7,489.47
YOU_MOH_063,41,0,0,0,1,0.84,497.92
YOU_MOH_063,42,2,0,5,0,0.62,506.19
YOU_MOH_063,43,2,0,5,0,0.73,514.53
YOU_MOH_063,44,5,6,6,1,1.49,523.86
YOU_MOH_063,45,0,0,0,1,0.63,532.24
YOU_MOH_063,46,3,0,6,0,0.71,540.64
YOU_MOH_063,47,0,0,0,1,0.56,548.55
YOU_MOH_063,48,0,0,0,1,0.54,556.97
YOU_MOH_063,49,4,5,6,0,1.09,565.79
YOU_MOH_063,50,1,0,1,0,0.65,574.08
YOU_MOH_063,51,1,1,1,1,0.88,582.69
YOU_MOH_063,52,3,1,6,0,1.0,591.38
YOU_MOH_063,53,1,0,1,0,0.54,599.58
YOU_MOH_063,54,2,1,5,0,0.85,608.22
YOU_MOH_063,55,6,6,6,1,0.52,616.44
YOU_MOH_063,56,2,1,5,0,0.89,624.99
YOU_MOH_063,57,0,0,0,1,0.67,633.43
YOU_MOH_063,58,3,5,6,0,0.94,642.04
YOU_MOH_063,59,1,1,1,1,0.95,650.87
YOU_MOH_063,60,3,1,6,0,0.65,659.3
YOU_MOH_063,61,3,0,6,0,0.69,667.67
YOU_MOH_063,62,3,1,6,0,0.69,675.77
YOU_MOH_063,63,1,0,1,0,0.7,684.17
YOU_MOH_063,64,0,0,0,1,0.66,692.5
YOU_MOH_063,65,4,5,6,0,0.8,701.04
YOU_MOH_063,66,3,1,6,0,0.73,709.48
YOU_MOH_063,67,2,1,5,0,0.82,717.72
YOU_MOH_063,68,5,5,6,0,0.84,725.96
YOU_MOH_063,69,2,0,5,0,0.7,734.35
YOU_MOH_063,70,5,1,6,0,0.95,742.72
YOU_MOH_063,71,6,5,6,0,0.45,750.84
YOU_MOH_063,72,2,1,5,0,0.89,759.19
YOU_MOH_063,73,0,0,0,1,0.67,767.54
YOU_MOH_063,74,1,1,1,1,0.7,775.97
YOU_MOH_063,75,2,1,5,0,0.62,784.27
YOU_MOH_063,76,2,1,5,0,0.65,792.67
YOU_MOH_063,77,1,0,1,0,0.38,800.7
YOU_MOH_063,78,4,6,6,1,0.36,808.69
YOU_MOH_063,79,2,1,5,0,0.68,817.05
YOU_MOH_063,80,2,1,5,0,0.64,825.56
YOU_MOH_063,81,0,0,0,1,0.63,833.6
YOU_MOH_063,82,4,1,6,0,0.6,841.69
YOU_MOH_063,83,4,0,6,0,0.55,849.9
YOU_MOH_063,84,2,0,5,0,0.65,857.88
YOU_MOH_063,85,4,1,6,0,0.4,865.73
YOU_MOH_063,86,3,0,6,0,0.57,874.2
YOU_MOH_063,87,1,0,1,0,0.62,882.51
YOU_MOH_063,88,0,0,0,1,0.54,890.75
YOU_MOH_063,89,0,0,0,1,0.59,899.05
YOU_MOH_063,90,0,0,0,1,0.55,907.04
YOU_MOH_063,91,1,1,1,1,0.82,915.69
YOU_MOH_063,92,5,1,6,0,0.63,923.99
YOU_MOH_063,93,4,1,6,0,0.67,932.05
YOU_MOH_063,94,6,5,6,0,0.82,940.55
YOU_MOH_063,95,3,0,6,0,0.79,949.22
YOU_MOH_063,96,5,6,6,1,0.58,957.57
YOU_MOH_063,97,4,0,6,0,0.56,965.77
YOU_MOH_063,98,1,1,1,1,0.7,974.07
YOU_MOH_063,99,1,1,1,1,0.61,982.08
YOU_MOH_063,100,0,0,0,1,1.0,1150.84
YOU_MOH_063,101,0,0,0,1,0.64,1157.91
YOU_MOH_063,102,2,5,5,1,1.31,1165.26
YOU_MOH_063,103,2,5,5,1,0.78,1174.72
YOU_MOH_063,104,3,6,6,1,0.31,1181.61
YOU_MOH_063,105,0,0,0,1,1.63,1235.39
YOU_MOH_063,106,4,5,6,0,1.39,1244.16
YOU_MOH_063,107,1,1,1,1,1.1,1253.05
