id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
YOU_MOH_063,100,6,6,1,0,0.65,45.9
YOU_MOH_063,101,6,6,1,0,0.48,50.57
YOU_MOH_063,102,6,0,0,0,0.3,55.05
YOU_MOH_063,0,6,0,0,0,1.56,105.23
YOU_MOH_063,1,6,6,1,1,0.47,109.15
YOU_MOH_063,2,6,6,1,2,0.51,114.11
YOU_MOH_063,3,6,6,1,3,0.43,117.49
YOU_MOH_063,4,6,6,1,4,0.47,124.41
YOU_MOH_063,5,6,6,1,5,0.52,135.64
YOU_MOH_063,6,6,6,1,6,0.75,150.06
YOU_MOH_063,7,6,6,1,7,0.98,178.59
YOU_MOH_063,8,0,0,1,8,0.59,183.09
YOU_MOH_063,9,6,6,1,9,0.77,186.66
YOU_MOH_063,10,6,6,1,10,0.35,190.62
YOU_MOH_063,11,6,6,1,11,0.35,196.27
YOU_MOH_063,12,0,0,1,12,0.56,200.02
YOU_MOH_063,13,6,6,1,13,0.66,208.61
YOU_MOH_063,14,6,6,1,14,0.95,254.25
YOU_MOH_063,15,6,6,1,15,0.35,259.05
YOU_MOH_063,16,6,6,1,16,0.29,264.64
YOU_MOH_063,17,6,6,1,17,0.31,269.75
YOU_MOH_063,18,6,6,1,18,0.35,273.6
YOU_MOH_063,19,0,0,1,19,1.8,297.13
YOU_MOH_063,20,6,6,1,20,1.35,315.44
YOU_MOH_063,21,6,6,1,21,1.34,330.63
YOU_MOH_063,22,6,6,1,22,1.91,335.56
YOU_MOH_063,23,6,6,1,23,1.46,341.71
YOU_MOH_063,24,0,0,1,24,1.27,346.54
YOU_MOH_063,25,6,6,1,25,1.46,352.21
YOU_MOH_063,26,0,0,1,26,1.02,355.79
YOU_MOH_063,27,6,6,1,27,1.44,362.54
YOU_MOH_063,28,6,6,1,28,1.99,409.76
YOU_MOH_063,29,6,6,1,29,1.3,413.89
YOU_MOH_063,30,6,6,1,30,2.03,420.15
YOU_MOH_063,31,0,0,1,31,0.85,424.32
YOU_MOH_063,32,6,6,1,32,1.55,430.6
YOU_MOH_063,33,0,0,1,33,1.04,435.5
YOU_MOH_063,34,0,0,1,34,0.85,439.77
YOU_MOH_063,35,6,6,1,35,2.14,470.42
YOU_MOH_063,36,6,6,1,36,1.19,494.39
YOU_MOH_063,37,0,0,1,37,1.36,499.22
YOU_MOH_063,38,0,0,1,38,0.29,503.02
YOU_MOH_063,39,6,6,1,39,0.29,506.26
YOU_MOH_063,40,0,0,1,40,0.34,509.94
YOU_MOH_063,41,0,0,1,41,0.49,513.43
YOU_MOH_063,42,6,6,1,42,0.56,517.03
YOU_MOH_063,43,6,6,1,43,0.46,523.5
YOU_MOH_063,44,6,6,1,44,0.64,533.25
YOU_MOH_063,45,6,6,1,45,0.74,563.14
YOU_MOH_063,46,6,6,1,46,1.01,573.29
YOU_MOH_063,47,6,6,1,47,0.46,576.37
YOU_MOH_063,48,0,0,1,48,0.38,579.32
YOU_MOH_063,49,0,0,1,49,0.3,583.99
YOU_MOH_063,50,0,0,1,50,0.39,588.07
YOU_MOH_063,51,6,6,1,51,0.38,591.92
YOU_MOH_063,52,6,6,1,52,0.3,596.22
YOU_MOH_063,53,6,6,1,53,0.37,599.55
YOU_MOH_063,54,6,6,1,54,1.31,612.72
YOU_MOH_063,55,6,6,1,55,0.65,651.26
YOU_MOH_063,56,6,6,1,56,0.6,654.91
YOU_MOH_063,57,6,6,1,57,0.3,659.09
YOU_MOH_063,58,6,6,1,58,0.34,664.13
YOU_MOH_063,59,6,6,1,59,0.36,667.28
YOU_MOH_063,60,6,6,1,60,0.4,670.5
YOU_MOH_063,61,6,6,1,61,0.35,674.66
YOU_MOH_063,62,6,6,1,62,0.35,678.13
YOU_MOH_063,63,6,6,1,63,0.38,688.91
YOU_MOH_063,64,6,6,1,64,9.34,738.1
YOU_MOH_063,65,6,6,1,65,0.58,744.86
YOU_MOH_063,66,6,6,1,66,0.47,748.93
YOU_MOH_063,67,0,0,1,67,0.53,753.74
YOU_MOH_063,68,1,0,0,67,0.38,757.42
YOU_MOH_063,69,6,6,1,68,1.01,766.92
YOU_MOH_063,70,6,6,1,69,0.72,795.31
YOU_MOH_063,71,6,6,1,70,1.0,815.73
YOU_MOH_063,72,6,6,1,71,0.36,819.57
YOU_MOH_063,73,0,0,1,72,0.35,823.5
YOU_MOH_063,74,0,0,1,73,0.36,828.42
YOU_MOH_063,75,6,6,1,74,2.34,833.74
YOU_MOH_063,76,6,6,1,75,0.39,837.38
YOU_MOH_063,77,6,6,1,76,0.38,846.94
YOU_MOH_063,78,6,6,1,77,0.42,887.79
YOU_MOH_063,79,6,6,1,78,0.33,891.61
YOU_MOH_063,80,6,6,1,79,0.32,896.48
YOU_MOH_063,81,0,0,1,80,0.52,901.47
YOU_MOH_063,82,6,6,1,81,0.67,906.57
YOU_MOH_063,83,6,6,1,82,0.48,911.22
YOU_MOH_063,84,0,0,1,83,0.76,921.97
YOU_MOH_063,85,6,6,1,84,0.33,930.42
YOU_MOH_063,86,6,6,1,85,0.47,967.68
YOU_MOH_063,87,6,6,1,86,0.48,971.56
YOU_MOH_063,88,6,6,1,87,0.41,976.83
YOU_MOH_063,89,6,6,1,88,0.49,981.33
YOU_MOH_063,90,0,0,1,89,0.33,985.19
YOU_MOH_063,91,6,6,1,90,0.96,1002.61
YOU_MOH_063,92,6,6,1,91,0.6,1026.53
YOU_MOH_063,93,6,6,1,92,1.03,1039.1
YOU_MOH_063,94,6,6,1,93,0.61,1043.8
YOU_MOH_063,95,6,6,1,94,0.48,1047.65
YOU_MOH_063,96,6,6,1,95,0.34,1051.64
YOU_MOH_063,97,0,0,1,96,0.98,1054.93
YOU_MOH_063,98,0,0,1,97,0.46,1058.88
YOU_MOH_063,99,6,6,1,98,0.51,1062.51
