id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
ZIC_NAD_040,999,2,1,5,0,6.14,73.38
ZIC_NAD_040,999,3,1,6,0,2.61,83.35
ZIC_NAD_040,999,1,0,1,0,1.71,92.16
ZIC_NAD_040,0,0,0,0,1,2.7,121.38
ZIC_NAD_040,1,3,0,6,0,1.11,130.11
ZIC_NAD_040,2,6,1,6,0,2.55,140.27
ZIC_NAD_040,3,0,0,0,1,1.02,148.94
ZIC_NAD_040,4,3,0,6,0,1.09,157.68
ZIC_NAD_040,5,0,0,0,1,0.95,166.43
ZIC_NAD_040,6,1,0,1,0,0.67,174.55
ZIC_NAD_040,7,4,0,6,0,1.45,183.35
ZIC_NAD_040,8,0,0,0,1,0.68,191.52
ZIC_NAD_040,9,3,5,6,0,1.63,200.84
ZIC_NAD_040,10,2,1,5,0,1.31,210.03
ZIC_NAD_040,11,1,0,1,0,1.24,219.09
ZIC_NAD_040,12,5,1,6,0,1.43,228.16
ZIC_NAD_040,13,3,1,6,0,1.05,236.62
ZIC_NAD_040,14,1,0,1,0,0.78,245.04
ZIC_NAD_040,15,1,1,1,1,1.14,253.52
ZIC_NAD_040,16,2,0,5,0,1.03,262.02
ZIC_NAD_040,17,2,1,5,0,0.85,270.26
ZIC_NAD_040,18,0,0,0,1,0.83,278.88
ZIC_NAD_040,19,5,1,6,0,1.09,287.36
ZIC_NAD_040,20,2,1,5,0,0.74,295.94
ZIC_NAD_040,21,1,1,1,1,0.84,304.18
ZIC_NAD_040,22,3,0,6,0,0.95,312.9
ZIC_NAD_040,23,0,0,0,1,0.63,321.22
ZIC_NAD_040,24,4,5,6,0,1.29,330.14
ZIC_NAD_040,25,2,1,5,0,2.05,339.81
ZIC_NAD_040,26,2,1,5,0,1.12,348.6
ZIC_NAD_040,27,4,1,6,0,0.9,357.13
ZIC_NAD_040,28,0,0,0,1,0.79,365.49
ZIC_NAD_040,29,2,0,5,0,0.59,373.71
ZIC_NAD_040,30,4,0,6,0,0.84,382.14
ZIC_NAD_040,31,0,0,0,1,0.57,390.09
ZIC_NAD_040,32,6,5,6,0,1.04,398.84
ZIC_NAD_040,33,4,0,6,0,0.94,407.63
ZIC_NAD_040,34,5,0,6,0,0.77,416.19
ZIC_NAD_040,35,5,1,6,0,0.93,424.74
ZIC_NAD_040,36,5,1,6,0,0.72,432.99
ZIC_NAD_040,37,5,5,6,0,0.97,441.65
ZIC_NAD_040,38,6,6,6,1,1.09,450.17
