id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
ZIC_NAD_040,100,6,6,1,0,2.45,29.04
ZIC_NAD_040,101,6,6,1,0,0.58,33.77
ZIC_NAD_040,102,6,0,0,0,0.4,38.32
ZIC_NAD_040,0,0,0,1,1,8.32,71.39
ZIC_NAD_040,1,0,6,0,1,1.06,74.69
ZIC_NAD_040,2,0,6,0,1,0.84,77.72
ZIC_NAD_040,3,6,6,1,2,0.85,80.75
ZIC_NAD_040,4,6,6,1,3,0.48,83.42
ZIC_NAD_040,5,6,6,1,4,3.1,88.71
ZIC_NAD_040,6,6,6,1,5,4.26,95.17
ZIC_NAD_040,7,0,6,0,5,5.05,102.41
ZIC_NAD_040,8,0,0,1,6,20.66,125.25
ZIC_NAD_040,9,6,6,1,7,4.68,132.12
ZIC_NAD_040,10,6,6,1,8,12.9,147.21
ZIC_NAD_040,11,6,6,1,9,1.16,150.57
ZIC_NAD_040,12,0,0,1,10,0.51,153.29
ZIC_NAD_040,13,0,6,0,10,0.62,156.11
ZIC_NAD_040,14,0,6,0,10,0.78,159.07
ZIC_NAD_040,15,6,6,1,11,0.6,161.87
ZIC_NAD_040,16,0,6,0,11,0.65,164.72
ZIC_NAD_040,17,6,6,1,12,0.74,167.67
ZIC_NAD_040,18,0,6,0,12,0.44,170.28
ZIC_NAD_040,19,0,0,1,13,0.57,173.06
ZIC_NAD_040,20,0,6,0,13,1.02,176.28
ZIC_NAD_040,21,0,6,0,13,0.83,179.3
ZIC_NAD_040,22,0,6,0,13,0.55,182.04
ZIC_NAD_040,23,0,6,0,13,0.53,184.75
ZIC_NAD_040,24,0,0,1,14,3.64,190.6
ZIC_NAD_040,25,0,6,0,14,0.72,193.49
ZIC_NAD_040,26,0,0,1,15,0.47,196.16
ZIC_NAD_040,27,0,6,0,15,1.11,199.48
ZIC_NAD_040,28,6,6,1,16,5.0,206.69
ZIC_NAD_040,29,0,6,0,16,3.54,212.42
ZIC_NAD_040,30,0,6,0,16,1.82,216.43
ZIC_NAD_040,31,0,0,1,17,1.73,220.36
ZIC_NAD_040,32,6,6,1,18,1.18,223.74
ZIC_NAD_040,33,0,0,1,19,1.21,227.13
ZIC_NAD_040,34,0,0,1,20,1.52,230.86
ZIC_NAD_040,35,0,6,0,20,2.09,235.15
ZIC_NAD_040,36,0,6,0,20,1.48,238.81
ZIC_NAD_040,37,0,0,1,21,1.0,242.01
ZIC_NAD_040,38,0,0,1,22,0.83,245.04
ZIC_NAD_040,39,0,6,0,22,1.71,248.96
ZIC_NAD_040,40,0,0,1,23,1.9,253.06
ZIC_NAD_040,41,0,0,1,24,0.53,255.79
ZIC_NAD_040,42,6,6,1,25,0.47,258.43
ZIC_NAD_040,43,6,6,1,26,1.14,261.76
ZIC_NAD_040,44,6,6,1,27,1.02,264.94
ZIC_NAD_040,45,0,6,0,27,0.5,267.65
ZIC_NAD_040,46,0,6,0,27,0.86,270.7
ZIC_NAD_040,47,6,6,1,28,0.59,273.49
ZIC_NAD_040,48,0,0,1,29,0.82,276.52
ZIC_NAD_040,49,0,0,1,30,1.15,279.84
ZIC_NAD_040,50,0,0,1,31,1.21,283.24
ZIC_NAD_040,51,0,6,0,31,1.26,286.7
ZIC_NAD_040,52,6,6,1,32,0.84,289.73
ZIC_NAD_040,53,0,6,0,32,0.63,292.59
ZIC_NAD_040,54,6,6,1,33,0.71,295.48
ZIC_NAD_040,55,6,6,1,34,0.59,298.24
ZIC_NAD_040,56,0,6,0,34,0.77,301.2
ZIC_NAD_040,57,6,6,1,35,0.46,303.85
ZIC_NAD_040,58,0,6,0,35,0.69,306.72
ZIC_NAD_040,59,6,6,1,36,1.13,310.02
ZIC_NAD_040,60,0,6,0,36,0.54,312.75
ZIC_NAD_040,61,6,6,1,37,0.47,315.4
ZIC_NAD_040,62,0,6,0,37,0.55,318.11
ZIC_NAD_040,63,6,6,1,38,0.46,320.75
ZIC_NAD_040,64,6,6,1,39,0.7,323.62
ZIC_NAD_040,65,0,6,0,39,0.41,326.2
ZIC_NAD_040,66,0,6,0,39,1.14,329.52
