id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
ZIG_ALI_042,100,29,45,29,29,1,common,0,15.22,73.94
ZIG_ALI_042,101,52,66,52,52,1,common,0,2.88,81.58
ZIG_ALI_042,102,53,44,53,44,0,common,0,2.06,88.4
ZIG_ALI_042,0,24,44,24,24,1,common,1,1.24,106.98
ZIG_ALI_042,1,29,23,23,23,1,common,2,1.27,111.0
ZIG_ALI_042,2,27,12,12,12,1,common,3,1.63,115.34
ZIG_ALI_042,3,74,65,74,65,0,common,3,3.0,121.12
ZIG_ALI_042,4,90,75,75,75,1,common,4,2.18,126.09
ZIG_ALI_042,5,12,18,12,12,1,common,5,0.82,129.65
ZIG_ALI_042,6,16,9,9,9,1,common,6,2.21,134.56
ZIG_ALI_042,7,40,25,40,40,1,common,7,1.95,139.27
ZIG_ALI_042,8,75,60,60,60,1,common,8,2.31,144.35
ZIG_ALI_042,9,43,25,25,25,1,common,9,3.71,150.82
ZIG_ALI_042,10,26,15,26,15,0,common,9,4.39,157.9
ZIG_ALI_042,11,71,54,54,54,1,common,10,1.7,162.36
ZIG_ALI_042,12,29,46,29,29,1,common,11,2.11,167.21
ZIG_ALI_042,13,33,53,33,33,1,common,12,2.24,172.19
ZIG_ALI_042,14,52,38,52,38,0,common,12,1.82,176.78
ZIG_ALI_042,15,24,44,44,24,0,common,12,4.93,184.45
ZIG_ALI_042,16,12,13,13,12,0,common,12,4.29,191.47
ZIG_ALI_042,17,64,58,64,58,0,common,12,2.92,197.16
ZIG_ALI_042,18,13,31,13,13,1,common,13,4.42,204.33
ZIG_ALI_042,19,98,88,88,88,1,common,14,3.51,210.61
ZIG_ALI_042,20,43,31,43,31,0,common,14,6.46,219.85
ZIG_ALI_042,21,25,36,36,25,0,common,14,5.74,228.3
ZIG_ALI_042,22,42,29,42,29,0,common,14,1.52,232.55
ZIG_ALI_042,23,20,32,20,20,1,common,15,3.39,238.64
ZIG_ALI_042,24,36,19,36,36,1,common,16,5.05,246.44
ZIG_ALI_042,25,48,36,36,36,0,common,16,4.51,253.71
ZIG_ALI_042,26,13,33,33,13,0,common,16,2.64,259.05
ZIG_ALI_042,27,35,45,45,35,0,common,16,2.94,264.73
ZIG_ALI_042,28,35,24,24,24,1,common,17,2.7,270.14
ZIG_ALI_042,29,45,28,28,28,1,common,18,6.55,279.48
ZIG_ALI_042,30,30,13,13,13,0,common,18,3.28,285.52
ZIG_ALI_042,31,36,17,17,36,0,common,18,4.32,292.59
ZIG_ALI_042,32,62,74,62,62,1,common,19,2.43,297.81
ZIG_ALI_042,33,31,26,26,26,1,common,20,2.71,303.22
ZIG_ALI_042,34,28,38,28,28,1,common,21,2.57,308.51
ZIG_ALI_042,35,72,81,72,72,1,common,22,3.24,314.55
ZIG_ALI_042,36,21,16,16,16,1,common,23,4.16,321.42
ZIG_ALI_042,37,36,21,21,36,0,common,23,2.91,327.05
ZIG_ALI_042,38,36,16,16,16,1,common,24,2.02,331.81
ZIG_ALI_042,39,8,16,16,8,0,common,24,2.06,336.59
ZIG_ALI_042,40,18,12,12,12,1,common,25,2.96,342.26
ZIG_ALI_042,41,76,67,67,67,1,common,26,3.47,348.48
ZIG_ALI_042,42,84,92,84,84,1,common,27,3.15,354.41
ZIG_ALI_042,43,14,34,34,14,0,common,27,2.05,359.19
ZIG_ALI_042,44,14,9,9,9,1,common,28,2.32,364.19
ZIG_ALI_042,45,103,83,83,83,1,common,29,6.04,373.0
ZIG_ALI_042,46,33,23,23,23,0,common,29,1.76,377.47
ZIG_ALI_042,47,28,19,19,28,0,common,29,3.3,383.48
ZIG_ALI_042,48,30,41,41,30,0,common,29,2.77,388.95
ZIG_ALI_042,49,53,35,35,35,1,common,30,1.94,393.65
ZIG_ALI_042,50,34,33,33,33,1,common,31,3.88,400.27
ZIG_ALI_042,51,86,81,81,81,1,common,32,2.35,405.43
ZIG_ALI_042,52,52,33,33,33,1,common,33,3.34,411.49
ZIG_ALI_042,53,30,44,44,30,0,common,33,2.71,416.95
ZIG_ALI_042,54,30,35,35,30,0,common,33,2.79,422.45
ZIG_ALI_042,55,20,52,52,52,1,common,34,1.96,427.15
ZIG_ALI_042,56,52,31,31,52,0,common,34,3.04,432.93
ZIG_ALI_042,57,32,24,24,24,0,common,34,3.23,438.89
ZIG_ALI_042,58,35,60,35,60,0,common,34,6.02,447.67
ZIG_ALI_042,59,32,27,27,32,0,common,34,2.44,452.83
ZIG_ALI_042,60,20,31,31,20,0,common,34,2.1,457.65
ZIG_ALI_042,61,29,23,23,23,0,common,34,1.83,462.22
ZIG_ALI_042,62,14,24,24,24,1,common,35,2.27,467.24
ZIG_ALI_042,63,32,51,51,32,0,common,35,3.19,473.19
ZIG_ALI_042,64,30,11,11,11,1,common,36,2.58,478.49
ZIG_ALI_042,65,72,53,53,53,1,common,37,2.67,483.92
ZIG_ALI_042,66,51,41,41,41,1,common,38,2.07,488.75
ZIG_ALI_042,67,26,42,42,26,0,common,38,4.75,496.27
ZIG_ALI_042,68,48,23,23,48,0,common,38,1.23,500.24
ZIG_ALI_042,69,56,30,30,56,0,common,38,2.02,505.0
ZIG_ALI_042,70,43,62,62,43,0,common,38,0.96,508.74
ZIG_ALI_042,71,50,44,44,44,0,common,38,2.05,513.56
ZIG_ALI_042,72,14,20,20,20,1,common,39,1.58,517.89
ZIG_ALI_042,73,26,32,32,26,0,common,39,2.33,522.96
ZIG_ALI_042,74,19,39,39,19,0,common,39,2.33,528.04
ZIG_ALI_042,75,24,14,14,24,0,common,39,3.41,534.19
ZIG_ALI_042,76,55,70,70,55,0,common,39,2.54,539.48
ZIG_ALI_042,77,6,15,15,6,0,common,39,2.5,544.69
ZIG_ALI_042,78,44,31,31,31,1,common,40,1.99,549.42
ZIG_ALI_042,79,60,28,28,60,0,common,40,2.67,554.87
ZIG_ALI_042,80,20,31,31,20,0,common,40,1.88,559.46
ZIG_ALI_042,81,36,23,23,36,0,common,40,3.25,565.45
ZIG_ALI_042,82,80,63,63,63,1,common,41,1.66,569.86
ZIG_ALI_042,83,28,8,8,8,1,common,42,2.46,575.02
ZIG_ALI_042,84,21,32,32,32,0,common,42,1.77,579.53
ZIG_ALI_042,85,29,41,41,29,0,common,42,3.29,585.55
ZIG_ALI_042,86,22,40,40,40,1,common,43,3.0,591.3
ZIG_ALI_042,87,14,27,27,14,0,common,43,2.26,596.31
ZIG_ALI_042,88,48,32,32,48,0,common,43,3.13,602.21
ZIG_ALI_042,89,29,42,42,29,0,common,43,4.4,609.38
ZIG_ALI_042,90,92,81,81,81,0,common,43,2.64,614.8
ZIG_ALI_042,91,20,22,22,20,0,common,43,3.16,620.69
ZIG_ALI_042,92,45,32,32,32,1,common,44,3.27,626.7
ZIG_ALI_042,93,33,49,49,33,0,common,44,2.33,631.76
ZIG_ALI_042,94,41,58,58,41,0,common,44,2.76,637.31
ZIG_ALI_042,95,36,22,22,36,0,common,44,3.63,643.66
ZIG_ALI_042,96,77,83,83,77,0,common,44,1.97,648.4
ZIG_ALI_042,97,62,68,68,62,0,common,44,1.96,653.14
ZIG_ALI_042,98,22,17,17,17,0,common,44,1.55,657.42
ZIG_ALI_042,99,29,18,18,18,1,common,45,2.68,662.83
