id_candidate,no_trial,nb_diff,ans_candidate,good_ans,result,reaction_time,time_stamp
ZIG_ALI_042,999,2,1,5,0,17.73,148.74
ZIG_ALI_042,999,3,5,6,0,4.09,160.21
ZIG_ALI_042,999,1,1,1,1,0.99,168.32
ZIG_ALI_042,0,0,1,0,0,4.26,195.92
ZIG_ALI_042,1,3,5,6,0,1.83,205.39
ZIG_ALI_042,2,6,1,6,0,0.01,212.99
ZIG_ALI_042,3,0,5,0,0,0.69,221.34
ZIG_ALI_042,4,3,0,6,0,1.43,230.42
ZIG_ALI_042,5,0,5,0,0,1.62,239.86
ZIG_ALI_042,6,1,0,1,0,1.26,248.58
ZIG_ALI_042,7,4,5,6,0,0.76,256.69
ZIG_ALI_042,8,0,1,0,0,1.34,265.51
ZIG_ALI_042,9,3,5,6,0,2.35,275.58
ZIG_ALI_042,10,2,0,5,0,0.69,284.14
ZIG_ALI_042,11,1,5,1,0,0.97,292.96
ZIG_ALI_042,12,5,0,6,0,1.24,301.87
ZIG_ALI_042,13,3,5,6,0,1.06,310.31
ZIG_ALI_042,14,1,0,1,0,0.78,318.76
ZIG_ALI_042,15,1,5,1,0,1.25,327.35
ZIG_ALI_042,16,2,0,5,0,1.14,335.98
ZIG_ALI_042,17,2,1,5,0,3.08,346.47
ZIG_ALI_042,18,0,6,0,0,0.94,355.22
ZIG_ALI_042,19,5,0,6,0,2.72,365.34
ZIG_ALI_042,20,2,0,5,0,6.31,379.43
ZIG_ALI_042,21,1,6,1,0,0.86,387.69
ZIG_ALI_042,22,3,0,6,0,0.81,396.2
ZIG_ALI_042,23,0,6,0,0,0.79,404.71
ZIG_ALI_042,24,4,0,6,0,1.22,413.59
ZIG_ALI_042,25,2,1,5,0,0.8,422.0
ZIG_ALI_042,26,2,5,5,1,0.74,430.4
ZIG_ALI_042,27,4,1,6,0,0.55,438.58
ZIG_ALI_042,28,0,6,0,0,2.13,448.28
ZIG_ALI_042,29,2,0,5,0,6.44,462.36
ZIG_ALI_042,30,4,6,6,1,4.1,474.06
ZIG_ALI_042,31,0,0,0,1,21.58,503.03
ZIG_ALI_042,32,6,6,6,1,8.99,519.73
ZIG_ALI_042,33,4,0,6,0,22.23,549.8
ZIG_ALI_042,34,5,6,6,1,1.47,559.09
ZIG_ALI_042,35,5,1,6,0,0.85,567.57
ZIG_ALI_042,36,5,5,6,0,1.06,576.1
ZIG_ALI_042,37,5,1,6,0,3.76,587.55
ZIG_ALI_042,38,6,5,6,0,2.11,597.08
ZIG_ALI_042,39,1,0,1,0,6.59,611.39
ZIG_ALI_042,40,0,5,0,0,2.32,621.35
ZIG_ALI_042,41,0,1,0,0,2.25,631.24
ZIG_ALI_042,42,2,6,5,0,0.84,639.68
ZIG_ALI_042,43,2,6,5,0,2.88,650.21
ZIG_ALI_042,44,5,1,6,0,6.82,664.81
ZIG_ALI_042,45,0,0,0,1,1.07,673.54
ZIG_ALI_042,46,3,1,6,0,3.43,684.62
ZIG_ALI_042,47,0,5,0,0,3.4,695.38
ZIG_ALI_042,48,0,0,0,1,1.12,704.34
ZIG_ALI_042,49,4,0,6,0,0.27,712.31
ZIG_ALI_042,50,1,5,1,0,3.38,723.33
ZIG_ALI_042,51,1,0,1,0,1.66,732.7
ZIG_ALI_042,52,3,5,6,0,1.99,742.39
ZIG_ALI_042,53,1,0,1,0,1.04,751.1
ZIG_ALI_042,54,2,5,5,1,2.49,761.36
ZIG_ALI_042,55,6,0,6,0,0.51,769.55
ZIG_ALI_042,56,2,0,5,0,1.37,778.58
ZIG_ALI_042,57,0,5,0,0,1.73,788.02
ZIG_ALI_042,58,3,0,6,0,1.53,797.18
ZIG_ALI_042,59,1,5,1,0,2.62,807.66
ZIG_ALI_042,60,3,6,6,1,0.31,815.8
ZIG_ALI_042,61,3,0,6,0,2.17,825.64
ZIG_ALI_042,62,3,1,6,0,4.44,837.5
ZIG_ALI_042,63,1,6,1,0,1.94,847.1
ZIG_ALI_042,64,0,0,0,1,1.12,855.86
ZIG_ALI_042,65,4,6,6,1,1.33,864.89
ZIG_ALI_042,66,3,0,6,0,3.66,876.2
ZIG_ALI_042,67,2,5,5,1,2.19,885.78
ZIG_ALI_042,68,5,0,6,0,1.45,894.59
ZIG_ALI_042,69,2,0,5,0,0.57,902.83
ZIG_ALI_042,70,5,5,6,0,1.89,912.11
ZIG_ALI_042,71,6,5,6,0,1.43,921.19
ZIG_ALI_042,72,2,0,5,0,1.18,929.79
ZIG_ALI_042,73,0,6,0,0,2.15,939.56
ZIG_ALI_042,74,1,1,1,1,3.37,950.63
ZIG_ALI_042,75,2,0,5,0,2.45,960.75
ZIG_ALI_042,76,2,5,5,1,0.67,969.14
ZIG_ALI_042,77,1,5,1,0,1.5,978.29
ZIG_ALI_042,78,4,1,6,0,0.67,986.61
ZIG_ALI_042,79,2,5,5,1,1.58,995.82
ZIG_ALI_042,80,2,0,5,0,2.35,1006.01
ZIG_ALI_042,81,0,6,0,0,0.98,1014.38
ZIG_ALI_042,82,4,0,6,0,1.52,1023.36
ZIG_ALI_042,83,4,5,6,0,1.33,1032.32
ZIG_ALI_042,84,2,0,5,0,0.34,1040.04
ZIG_ALI_042,85,4,5,6,0,2.66,1050.08
ZIG_ALI_042,86,3,0,6,0,3.33,1061.28
ZIG_ALI_042,87,1,0,1,0,0.22,1069.16
ZIG_ALI_042,88,0,5,0,0,0.24,1077.03
ZIG_ALI_042,89,0,0,0,1,2.01,1086.72
ZIG_ALI_042,90,0,6,0,0,1.6,1095.76
ZIG_ALI_042,91,1,5,1,0,1.61,1105.18
ZIG_ALI_042,92,5,0,6,0,0.38,1113.2
ZIG_ALI_042,93,4,0,6,0,0.46,1121.05
ZIG_ALI_042,94,6,5,6,0,0.88,1129.61
ZIG_ALI_042,95,3,0,6,0,1.16,1138.57
ZIG_ALI_042,96,5,5,6,0,0.24,1146.54
ZIG_ALI_042,97,4,0,6,0,0.53,1154.7
ZIG_ALI_042,98,1,5,1,0,1.47,1163.8
ZIG_ALI_042,99,1,0,1,0,5.55,1176.75
ZIG_ALI_042,100,0,1,0,0,3.02,1305.04
ZIG_ALI_042,101,0,5,0,0,3.87,1314.13
ZIG_ALI_042,102,2,1,5,0,1.17,1320.55
ZIG_ALI_042,103,2,5,5,1,1.44,1327.26
ZIG_ALI_042,104,3,5,6,0,2.03,1334.51
ZIG_ALI_042,105,0,0,0,1,0.6,1340.35
ZIG_ALI_042,106,4,5,6,0,1.71,1347.34
ZIG_ALI_042,107,1,0,1,0,3.49,1356.09
ZIG_ALI_042,108,1,5,1,0,2.64,1363.99
ZIG_ALI_042,109,2,0,5,0,1.95,1371.18
ZIG_ALI_042,110,0,1,0,0,2.72,1379.19
ZIG_ALI_042,111,1,1,1,1,1.92,1386.37
ZIG_ALI_042,112,3,1,6,0,3.56,1395.17
ZIG_ALI_042,113,6,5,6,0,1.62,1402.06
ZIG_ALI_042,114,6,0,6,0,2.88,1410.2
ZIG_ALI_042,115,1,0,1,0,0.28,1415.73
ZIG_ALI_042,116,2,5,5,1,1.3,1422.32
ZIG_ALI_042,117,6,5,6,0,0.97,1428.52
ZIG_ALI_042,118,5,5,6,0,1.35,1435.12
ZIG_ALI_042,119,4,5,6,0,2.17,1442.57
ZIG_ALI_042,120,3,0,6,0,0.57,1448.39
ZIG_ALI_042,121,0,1,0,0,3.56,1457.16
ZIG_ALI_042,122,4,1,6,0,3.36,1465.82
ZIG_ALI_042,123,4,0,6,0,0.54,1471.61
ZIG_ALI_042,124,0,0,0,1,2.37,1479.24
ZIG_ALI_042,125,0,1,0,0,1.16,1485.67
ZIG_ALI_042,126,2,1,5,0,1.6,1492.52
ZIG_ALI_042,127,4,1,6,0,0.59,1498.38
ZIG_ALI_042,128,3,1,6,0,2.93,1506.56
ZIG_ALI_042,129,0,0,0,1,0.15,1511.95
ZIG_ALI_042,130,4,5,6,0,1.19,1518.38
ZIG_ALI_042,131,3,1,6,0,2.02,1525.67
ZIG_ALI_042,132,5,5,6,0,1.58,1532.52
ZIG_ALI_042,133,2,0,5,0,0.67,1538.42
ZIG_ALI_042,134,3,1,6,0,1.46,1545.16
ZIG_ALI_042,135,4,0,6,0,1.42,1551.84
ZIG_ALI_042,136,2,5,5,1,1.04,1558.15
ZIG_ALI_042,137,3,5,6,0,0.63,1564.02
ZIG_ALI_042,138,6,5,6,0,1.56,1570.85
ZIG_ALI_042,139,0,0,0,1,1.34,1577.44
ZIG_ALI_042,140,5,1,6,0,1.39,1584.1
ZIG_ALI_042,141,3,1,6,0,1.59,1590.96
ZIG_ALI_042,142,6,1,6,0,0.29,1596.51
ZIG_ALI_042,143,5,1,6,0,1.61,1603.42
ZIG_ALI_042,144,3,1,6,0,1.54,1610.21
ZIG_ALI_042,145,0,5,0,0,1.17,1616.62
ZIG_ALI_042,146,1,5,1,0,2.39,1624.31
ZIG_ALI_042,147,5,1,6,0,1.63,1631.22
ZIG_ALI_042,148,1,0,1,0,1.05,1637.53
ZIG_ALI_042,149,4,1,6,0,0.22,1642.99
ZIG_ALI_042,150,6,0,6,0,3.35,1771.48
ZIG_ALI_042,151,3,1,6,0,3.03,1779.65
ZIG_ALI_042,152,1,1,1,1,1.79,1786.58
ZIG_ALI_042,153,2,5,5,1,3.7,1795.46
ZIG_ALI_042,154,0,1,0,0,2.56,1803.15
ZIG_ALI_042,155,4,1,6,0,1.44,1809.73
ZIG_ALI_042,156,5,6,6,1,1.15,1816.06
ZIG_ALI_042,157,1,1,1,1,3.99,1825.18
ZIG_ALI_042,158,5,5,6,0,1.79,1832.12
ZIG_ALI_042,159,4,1,6,0,2.01,1839.3
ZIG_ALI_042,160,4,5,6,0,2.09,1846.56
ZIG_ALI_042,161,2,5,5,1,3.49,1855.19
ZIG_ALI_042,162,4,1,6,0,2.92,1863.28
ZIG_ALI_042,163,3,5,6,0,1.11,1869.53
ZIG_ALI_042,164,4,5,6,0,1.28,1875.97
ZIG_ALI_042,165,2,1,5,0,3.0,1884.13
ZIG_ALI_042,166,4,5,6,0,2.82,1892.11
ZIG_ALI_042,167,2,5,5,1,1.41,1898.69
ZIG_ALI_042,168,0,1,0,0,1.74,1905.59
ZIG_ALI_042,169,4,5,6,0,1.78,1912.53
ZIG_ALI_042,170,6,1,6,0,0.99,1918.7
ZIG_ALI_042,171,2,1,5,0,1.85,1925.73
ZIG_ALI_042,172,6,5,6,0,1.61,1932.5
ZIG_ALI_042,173,1,5,1,0,0.85,1938.5
ZIG_ALI_042,174,6,0,6,0,1.37,1945.01
ZIG_ALI_042,175,3,5,6,0,1.67,1951.83
ZIG_ALI_042,176,1,5,1,0,3.8,1960.78
ZIG_ALI_042,177,0,1,0,0,2.26,1968.19
ZIG_ALI_042,178,5,5,6,0,1.15,1974.51
ZIG_ALI_042,179,0,5,0,0,2.56,1982.23
ZIG_ALI_042,180,0,1,0,0,2.8,1990.2
ZIG_ALI_042,181,3,1,6,0,1.92,1997.28
ZIG_ALI_042,182,1,5,1,0,6.25,2008.67
ZIG_ALI_042,183,6,0,6,0,0.82,2014.66
ZIG_ALI_042,184,2,5,5,1,1.16,2020.99
ZIG_ALI_042,185,6,5,6,0,1.47,2027.63
ZIG_ALI_042,186,6,1,6,0,0.61,2033.41
ZIG_ALI_042,187,5,5,6,0,1.03,2039.61
ZIG_ALI_042,188,3,5,6,0,2.29,2047.05
ZIG_ALI_042,189,6,5,6,0,2.05,2054.28
ZIG_ALI_042,190,3,1,6,0,2.64,2062.06
ZIG_ALI_042,191,0,5,0,0,1.05,2068.3
ZIG_ALI_042,192,1,5,1,0,1.28,2074.76
ZIG_ALI_042,193,2,1,5,0,1.01,2080.92
ZIG_ALI_042,194,2,5,5,1,1.92,2088.03
ZIG_ALI_042,195,0,1,0,0,1.31,2094.49
ZIG_ALI_042,196,6,5,6,0,0.99,2100.65
ZIG_ALI_042,197,2,1,5,0,1.6,2107.39
ZIG_ALI_042,198,1,1,1,1,2.68,2115.22
ZIG_ALI_042,199,0,5,0,0,1.28,2121.65
