id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
ZIG_ALI_042,100,6,6,1,0,5.67,31.89
ZIG_ALI_042,101,0,6,0,0,6.08,42.14
ZIG_ALI_042,102,6,0,0,0,0.78,47.09
ZIG_ALI_042,0,0,0,1,1,1.6,65.72
ZIG_ALI_042,1,6,6,1,2,1.09,69.01
ZIG_ALI_042,2,6,6,1,3,2.88,74.09
ZIG_ALI_042,3,6,6,1,4,1.79,78.05
ZIG_ALI_042,4,6,6,1,5,1.17,81.4
ZIG_ALI_042,5,6,6,1,6,0.62,84.2
ZIG_ALI_042,6,6,6,1,7,0.09,86.48
ZIG_ALI_042,7,6,6,1,8,3.14,91.81
ZIG_ALI_042,8,0,0,1,9,0.97,94.97
ZIG_ALI_042,9,6,6,1,10,0.71,97.84
ZIG_ALI_042,10,6,6,1,11,1.39,101.42
ZIG_ALI_042,11,6,6,1,12,0.44,104.04
ZIG_ALI_042,12,0,0,1,13,0.72,106.93
ZIG_ALI_042,13,6,6,1,14,0.47,109.58
ZIG_ALI_042,14,6,6,1,15,1.33,113.11
ZIG_ALI_042,15,6,6,1,16,0.18,115.49
ZIG_ALI_042,16,0,6,0,16,0.9,118.57
ZIG_ALI_042,17,6,6,1,17,0.86,121.61
ZIG_ALI_042,18,6,6,1,18,1.83,125.61
ZIG_ALI_042,19,6,0,0,18,1.41,129.2
ZIG_ALI_042,20,0,6,0,18,0.3,131.68
ZIG_ALI_042,21,6,6,1,19,0.73,134.6
ZIG_ALI_042,22,6,6,1,20,1.58,138.36
ZIG_ALI_042,23,6,6,1,21,1.72,142.25
ZIG_ALI_042,24,0,0,1,22,0.7,145.15
ZIG_ALI_042,25,6,6,1,23,0.56,147.89
ZIG_ALI_042,26,6,0,0,23,0.42,150.48
ZIG_ALI_042,27,6,6,1,24,0.71,153.35
ZIG_ALI_042,28,6,6,1,25,0.5,156.04
ZIG_ALI_042,29,6,6,1,26,3.53,161.76
ZIG_ALI_042,30,6,6,1,27,1.13,165.09
ZIG_ALI_042,31,0,0,1,28,0.6,167.9
ZIG_ALI_042,32,6,6,1,29,0.34,170.44
ZIG_ALI_042,33,0,0,1,30,1.06,173.69
ZIG_ALI_042,34,0,0,1,31,0.34,176.24
ZIG_ALI_042,35,6,6,1,32,0.62,179.05
ZIG_ALI_042,36,6,6,1,33,0.45,181.68
ZIG_ALI_042,37,0,0,1,34,0.3,184.18
ZIG_ALI_042,38,0,0,1,35,0.41,186.78
ZIG_ALI_042,39,6,6,1,36,0.73,189.69
ZIG_ALI_042,40,6,0,0,36,0.56,192.45
ZIG_ALI_042,41,0,0,1,37,0.48,195.15
ZIG_ALI_042,42,6,6,1,38,1.52,198.85
ZIG_ALI_042,43,6,6,1,39,0.86,201.93
ZIG_ALI_042,44,6,6,1,40,0.52,204.63
ZIG_ALI_042,45,0,6,0,40,0.94,207.77
ZIG_ALI_042,46,6,6,1,41,0.37,210.34
ZIG_ALI_042,47,0,6,0,41,0.56,213.07
ZIG_ALI_042,48,0,0,1,42,1.66,216.92
ZIG_ALI_042,49,0,0,1,43,0.29,219.41
ZIG_ALI_042,50,0,0,1,44,0.84,222.45
ZIG_ALI_042,51,6,6,1,45,0.12,224.77
ZIG_ALI_042,52,6,6,1,46,1.4,228.35
ZIG_ALI_042,53,6,6,1,47,0.75,231.28
ZIG_ALI_042,54,6,6,1,48,4.29,237.77
ZIG_ALI_042,55,6,6,1,49,1.25,241.2
ZIG_ALI_042,56,0,6,0,49,0.35,243.74
ZIG_ALI_042,57,6,6,1,50,0.18,246.13
ZIG_ALI_042,58,6,6,1,51,0.87,249.2
ZIG_ALI_042,59,6,6,1,52,0.54,251.91
ZIG_ALI_042,60,0,6,0,52,0.57,254.68
ZIG_ALI_042,61,6,6,1,53,0.49,257.35
ZIG_ALI_042,62,0,6,0,53,0.55,260.09
ZIG_ALI_042,63,6,6,1,54,0.12,262.4
ZIG_ALI_042,64,6,6,1,55,0.39,264.99
ZIG_ALI_042,65,6,6,1,56,0.73,267.91
ZIG_ALI_042,66,6,6,1,57,0.71,270.79
ZIG_ALI_042,67,0,0,1,58,0.38,273.36
ZIG_ALI_042,68,0,0,1,59,0.31,275.86
ZIG_ALI_042,69,0,6,0,59,0.63,278.69
ZIG_ALI_042,70,0,6,0,59,1.03,281.93
ZIG_ALI_042,71,6,6,1,60,0.76,284.89
ZIG_ALI_042,72,0,6,0,60,0.1,287.18
ZIG_ALI_042,73,0,0,1,61,0.04,289.41
ZIG_ALI_042,74,0,0,1,62,0.74,292.32
ZIG_ALI_042,75,6,6,1,63,0.13,294.63
ZIG_ALI_042,76,6,6,1,64,1.37,298.17
ZIG_ALI_042,77,6,6,1,65,0.71,301.07
ZIG_ALI_042,78,6,6,1,66,0.05,303.3
ZIG_ALI_042,79,6,6,1,67,0.95,306.42
ZIG_ALI_042,80,6,6,1,68,0.04,308.63
ZIG_ALI_042,81,6,0,0,68,0.57,311.39
