id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
BAT_ELO_066,100,29,45,29,29,1,common,0,2.36,71.98
BAT_ELO_066,101,66,52,52,52,1,common,0,2.12,78.86
BAT_ELO_066,102,53,44,44,44,1,common,0,1.74,85.36
BAT_ELO_066,0,24,44,24,24,1,common,1,1.42,108.43
BAT_ELO_066,1,29,23,23,23,1,common,2,1.84,113.04
BAT_ELO_066,2,27,12,12,12,1,common,3,1.21,116.96
BAT_ELO_066,3,65,74,74,65,0,common,3,1.85,121.59
BAT_ELO_066,4,90,75,90,75,0,common,3,1.65,126.0
BAT_ELO_066,5,12,18,12,12,1,common,4,1.97,130.7
BAT_ELO_066,6,16,9,16,9,0,common,4,3.39,136.8
BAT_ELO_066,7,40,25,40,40,1,common,5,1.89,141.42
BAT_ELO_066,8,75,60,60,60,1,common,6,1.06,145.24
BAT_ELO_066,9,25,43,25,25,1,common,7,2.76,150.78
BAT_ELO_066,10,15,26,26,15,0,common,7,1.97,155.46
BAT_ELO_066,11,71,54,54,54,1,common,8,2.46,160.68
BAT_ELO_066,12,29,46,29,29,1,common,9,1.76,165.16
BAT_ELO_066,13,53,33,53,33,0,common,9,1.45,169.35
BAT_ELO_066,14,38,52,38,38,1,common,10,1.56,173.68
BAT_ELO_066,15,24,44,24,24,1,common,11,2.38,178.8
BAT_ELO_066,16,13,12,13,12,0,common,11,1.9,183.4
BAT_ELO_066,17,64,58,64,58,0,common,11,1.48,187.63
BAT_ELO_066,18,13,31,13,13,1,common,12,1.93,192.28
BAT_ELO_066,19,88,98,98,88,0,common,12,1.65,196.7
BAT_ELO_066,20,43,31,43,31,0,common,12,1.53,200.97
BAT_ELO_066,21,25,36,36,25,0,common,12,1.17,204.83
BAT_ELO_066,22,29,42,29,29,1,common,13,1.99,209.56
BAT_ELO_066,23,32,20,20,20,1,common,14,2.02,214.3
BAT_ELO_066,24,19,36,36,36,1,common,15,1.13,218.18
