id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
BEN_AMI_037,100,0,6,0,0,0.66,38.21
BEN_AMI_037,101,6,6,1,0,0.71,43.08
BEN_AMI_037,102,6,0,0,0,0.58,47.82
BEN_AMI_037,0,0,0,1,1,0.64,66.17
BEN_AMI_037,1,0,6,0,1,0.37,68.71
BEN_AMI_037,2,0,6,0,1,0.62,71.51
BEN_AMI_037,3,0,6,0,1,1.88,75.56
BEN_AMI_037,4,6,6,1,2,0.28,78.03
BEN_AMI_037,5,6,6,1,3,0.39,80.61
BEN_AMI_037,6,6,6,1,4,0.42,83.19
BEN_AMI_037,7,6,6,1,5,0.28,85.66
BEN_AMI_037,8,0,0,1,6,0.29,88.14
BEN_AMI_037,9,0,6,0,6,0.46,90.78
BEN_AMI_037,10,0,6,0,6,0.44,93.41
BEN_AMI_037,11,6,6,1,7,0.35,95.94
BEN_AMI_037,12,0,0,1,8,0.32,98.44
BEN_AMI_037,13,0,6,0,8,0.34,100.96
BEN_AMI_037,14,0,6,0,8,0.46,103.6
BEN_AMI_037,15,6,6,1,9,0.47,106.24
BEN_AMI_037,16,6,6,1,10,0.37,108.79
BEN_AMI_037,17,6,6,1,11,0.39,111.36
BEN_AMI_037,18,6,6,1,12,0.29,113.83
BEN_AMI_037,19,0,0,1,13,0.34,116.37
BEN_AMI_037,20,0,6,0,13,1.63,120.15
BEN_AMI_037,21,6,6,1,14,0.52,122.86
BEN_AMI_037,22,6,6,1,15,0.36,125.4
BEN_AMI_037,23,6,6,1,16,0.26,127.83
BEN_AMI_037,24,0,0,1,17,0.27,130.28
BEN_AMI_037,25,0,6,0,17,1.11,133.56
BEN_AMI_037,26,0,0,1,18,0.25,135.99
BEN_AMI_037,27,6,6,1,19,0.41,138.6
BEN_AMI_037,28,6,6,1,20,0.35,141.14
BEN_AMI_037,29,6,6,1,21,0.26,143.57
BEN_AMI_037,30,0,6,0,21,1.08,146.82
BEN_AMI_037,31,0,0,1,22,0.23,149.24
BEN_AMI_037,32,6,6,1,23,0.53,151.93
BEN_AMI_037,33,0,0,1,24,0.25,154.38
BEN_AMI_037,34,0,0,1,25,0.29,156.85
BEN_AMI_037,35,0,6,0,25,0.28,159.3
BEN_AMI_037,36,0,6,0,25,0.34,161.83
BEN_AMI_037,37,6,0,0,25,0.28,164.29
BEN_AMI_037,38,0,0,1,26,0.26,166.74
BEN_AMI_037,39,6,6,1,27,0.27,169.19
BEN_AMI_037,40,0,0,1,28,0.25,171.64
BEN_AMI_037,41,0,0,1,29,0.29,174.11
BEN_AMI_037,42,6,6,1,30,0.28,176.57
BEN_AMI_037,43,6,6,1,31,0.27,179.0
BEN_AMI_037,44,6,6,1,32,0.27,181.42
BEN_AMI_037,45,0,6,0,32,0.54,184.13
BEN_AMI_037,46,6,6,1,33,0.37,186.67
BEN_AMI_037,47,0,6,0,33,0.3,189.16
BEN_AMI_037,48,0,0,1,34,0.53,191.87
BEN_AMI_037,49,0,0,1,35,0.47,194.51
