id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
BOU_EMM_067,100,45,29,45,29,0,common,0,2.18,79.15
BOU_EMM_067,101,52,66,52,52,1,common,0,1.78,85.68
BOU_EMM_067,102,44,53,44,44,1,common,0,1.46,91.92
BOU_EMM_067,0,44,24,24,24,1,common,1,1.5,116.47
BOU_EMM_067,1,29,23,23,23,1,common,2,3.3,122.54
BOU_EMM_067,2,12,27,12,12,1,common,3,2.58,127.83
BOU_EMM_067,3,74,65,65,65,1,common,4,1.3,131.89
BOU_EMM_067,4,75,90,75,75,1,common,5,1.63,136.28
BOU_EMM_067,5,18,12,12,12,1,common,6,1.44,140.46
BOU_EMM_067,6,16,9,9,9,1,common,7,1.28,144.47
BOU_EMM_067,7,40,25,40,40,1,common,8,1.47,148.68
BOU_EMM_067,8,75,60,60,60,1,common,9,1.03,152.48
BOU_EMM_067,9,25,43,25,25,1,common,10,4.67,159.89
BOU_EMM_067,10,26,15,15,15,1,common,11,0.94,163.56
BOU_EMM_067,11,71,54,54,54,1,common,12,1.35,167.67
BOU_EMM_067,12,46,29,29,29,1,common,13,1.44,171.85
BOU_EMM_067,13,53,33,33,33,1,common,14,4.28,178.9
BOU_EMM_067,14,52,38,38,38,1,common,15,2.51,184.16
BOU_EMM_067,15,24,44,24,24,1,common,16,1.36,188.3
BOU_EMM_067,16,12,13,13,12,0,common,16,1.47,192.5
BOU_EMM_067,17,64,58,58,58,1,common,17,3.23,198.5
BOU_EMM_067,18,31,13,13,13,1,common,18,1.6,202.84
BOU_EMM_067,19,98,88,88,88,1,common,19,1.23,206.83
BOU_EMM_067,20,31,43,31,31,1,common,20,3.53,213.12
BOU_EMM_067,21,36,25,25,25,1,common,21,1.03,216.86
BOU_EMM_067,22,42,29,29,29,1,common,22,1.22,220.82
BOU_EMM_067,23,20,32,20,20,1,common,23,3.26,226.81
BOU_EMM_067,24,19,36,36,36,1,common,24,3.53,233.07
BOU_EMM_067,25,36,48,36,36,1,common,25,1.73,237.57
BOU_EMM_067,26,13,33,13,13,1,common,26,3.37,243.67
BOU_EMM_067,27,35,45,35,35,1,common,27,0.98,247.45
BOU_EMM_067,28,35,24,35,24,0,common,27,1.71,251.9
BOU_EMM_067,29,45,28,28,28,1,common,28,1.07,255.74
BOU_EMM_067,30,13,30,13,13,1,common,29,1.31,259.81
BOU_EMM_067,31,36,17,36,36,1,common,30,5.7,268.27
BOU_EMM_067,32,74,62,62,62,1,common,31,1.01,272.07
BOU_EMM_067,33,31,26,31,26,0,common,31,4.08,278.87
BOU_EMM_067,34,38,28,28,28,1,common,32,4.24,285.86
BOU_EMM_067,35,81,72,72,72,1,common,33,1.35,289.99
BOU_EMM_067,36,21,16,16,16,1,common,34,1.62,294.34
BOU_EMM_067,37,36,21,36,36,1,common,35,3.96,301.05
BOU_EMM_067,38,36,16,16,16,1,common,36,0.94,304.75
BOU_EMM_067,39,8,16,8,8,1,common,37,1.58,309.09
BOU_EMM_067,40,18,12,12,12,1,common,38,1.47,313.29
BOU_EMM_067,41,76,67,67,67,1,common,39,2.72,318.81
BOU_EMM_067,42,92,84,84,84,1,common,40,1.64,323.21
BOU_EMM_067,43,34,14,14,14,1,common,41,1.48,327.46
BOU_EMM_067,44,9,14,9,9,1,common,42,1.11,331.32
BOU_EMM_067,45,83,103,103,83,0,common,42,1.03,335.15
BOU_EMM_067,46,33,23,23,23,1,common,43,0.92,338.76
BOU_EMM_067,47,28,19,28,28,1,common,44,2.55,344.07
BOU_EMM_067,48,30,41,30,30,1,common,45,1.11,347.89
BOU_EMM_067,49,35,53,35,35,1,common,46,0.74,351.38
BOU_EMM_067,50,34,33,34,33,0,pro,46,8.22,362.3
BOU_EMM_067,51,86,81,86,81,0,pro,46,1.36,366.47
BOU_EMM_067,52,52,33,33,33,1,pro,47,4.9,374.13
BOU_EMM_067,53,44,30,30,30,1,pro,48,0.87,377.78
BOU_EMM_067,54,30,35,35,30,0,pro,48,1.46,381.97
BOU_EMM_067,55,20,52,52,52,1,pro,49,3.33,388.07
BOU_EMM_067,56,31,52,52,52,1,pro,50,2.22,393.05
BOU_EMM_067,57,32,24,24,24,1,pro,51,1.3,397.1
BOU_EMM_067,58,60,35,60,60,1,pro,52,1.69,401.55
BOU_EMM_067,59,32,27,32,32,1,pro,53,2.3,406.62
BOU_EMM_067,60,31,20,20,20,1,pro,54,1.52,410.86
BOU_EMM_067,61,23,29,29,23,0,pro,54,1.33,414.92
BOU_EMM_067,62,24,14,14,24,0,pro,54,1.49,419.17
BOU_EMM_067,63,32,51,51,32,0,pro,54,2.53,424.44
BOU_EMM_067,64,11,30,11,11,1,pro,55,1.29,428.44
BOU_EMM_067,65,72,53,53,53,1,pro,56,0.89,432.1
BOU_EMM_067,66,51,41,41,41,1,pro,57,0.76,435.63
BOU_EMM_067,67,42,26,26,26,1,pro,58,0.91,439.3
BOU_EMM_067,68,48,23,48,48,1,pro,59,0.83,442.89
BOU_EMM_067,69,56,30,56,56,1,pro,60,1.38,447.01
BOU_EMM_067,70,43,62,43,43,1,pro,61,1.08,450.89
BOU_EMM_067,71,50,44,44,44,1,pro,62,1.3,454.93
BOU_EMM_067,72,14,20,14,20,0,pro,62,0.66,458.3
BOU_EMM_067,73,32,26,26,26,1,pro,63,1.14,462.16
BOU_EMM_067,74,39,19,39,19,0,pro,63,1.14,466.03
BOU_EMM_067,75,14,24,24,24,1,pro,64,2.8,471.58
