id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
BOU_EMM_067,100,6,6,1,0,1.48,86.38
BOU_EMM_067,101,0,6,0,0,1.05,91.6
BOU_EMM_067,102,6,0,0,0,0.45,96.19
BOU_EMM_067,0,0,0,1,1,0.64,116.14
BOU_EMM_067,1,6,6,1,2,0.26,118.61
BOU_EMM_067,2,6,6,1,3,0.35,121.16
BOU_EMM_067,3,6,6,1,4,0.3,123.66
BOU_EMM_067,4,6,6,1,5,0.27,126.14
BOU_EMM_067,5,0,6,0,5,0.21,128.56
BOU_EMM_067,6,6,6,1,6,0.25,131.0
BOU_EMM_067,7,0,6,0,6,0.21,133.41
BOU_EMM_067,8,0,0,1,7,0.22,135.82
BOU_EMM_067,9,0,6,0,7,0.18,138.2
BOU_EMM_067,10,6,6,1,8,0.56,140.94
BOU_EMM_067,11,6,6,1,9,0.21,143.36
BOU_EMM_067,12,0,0,1,10,0.2,145.75
BOU_EMM_067,13,6,6,1,11,0.21,148.16
BOU_EMM_067,14,6,6,1,12,0.45,150.82
BOU_EMM_067,15,6,6,1,13,0.24,153.26
BOU_EMM_067,16,0,6,0,13,0.29,155.75
BOU_EMM_067,17,0,6,0,13,0.48,158.43
BOU_EMM_067,18,6,6,1,14,0.47,161.09
BOU_EMM_067,19,0,0,1,15,0.61,163.91
BOU_EMM_067,20,6,6,1,16,1.22,167.3
BOU_EMM_067,21,6,6,1,17,0.41,169.91
BOU_EMM_067,22,6,6,1,18,0.2,172.3
BOU_EMM_067,23,6,6,1,19,0.49,174.99
BOU_EMM_067,24,0,0,1,20,0.37,177.57
BOU_EMM_067,25,6,6,1,21,0.71,180.47
BOU_EMM_067,26,0,0,1,22,0.34,183.02
BOU_EMM_067,27,6,6,1,23,0.25,185.47
BOU_EMM_067,28,6,6,1,24,0.2,187.87
BOU_EMM_067,29,6,6,1,25,0.35,190.41
BOU_EMM_067,30,6,6,1,26,0.74,193.32
BOU_EMM_067,31,0,0,1,27,0.26,195.79
BOU_EMM_067,32,0,6,0,27,0.25,198.24
BOU_EMM_067,33,0,0,1,28,0.24,200.67
BOU_EMM_067,34,0,0,1,29,0.17,203.04
BOU_EMM_067,35,6,6,1,30,0.18,205.39
BOU_EMM_067,36,6,6,1,31,0.2,207.78
BOU_EMM_067,37,0,0,1,32,0.22,210.19
BOU_EMM_067,38,0,0,1,33,0.21,212.6
BOU_EMM_067,39,6,6,1,34,0.31,215.12
BOU_EMM_067,40,0,0,1,35,0.21,217.54
BOU_EMM_067,41,0,0,1,36,0.21,219.92
BOU_EMM_067,42,0,6,0,36,0.58,222.68
BOU_EMM_067,43,6,6,1,37,0.29,225.15
BOU_EMM_067,44,6,6,1,38,0.2,227.55
BOU_EMM_067,45,6,6,1,39,0.23,229.95
BOU_EMM_067,46,6,6,1,40,0.21,232.34
BOU_EMM_067,47,6,6,1,41,0.25,234.79
BOU_EMM_067,48,0,0,1,42,0.16,237.12
BOU_EMM_067,49,0,0,1,43,0.22,239.55
BOU_EMM_067,50,0,0,1,44,0.21,241.96
BOU_EMM_067,51,6,6,1,45,0.18,244.34
BOU_EMM_067,52,6,6,1,46,0.19,246.72
BOU_EMM_067,53,6,6,1,47,0.2,249.14
BOU_EMM_067,54,6,6,1,48,0.3,251.62
BOU_EMM_067,55,6,6,1,49,0.79,254.61
BOU_EMM_067,56,6,6,1,50,0.23,257.04
BOU_EMM_067,57,6,6,1,51,0.21,259.44
BOU_EMM_067,58,6,6,1,52,-0.0,261.63
BOU_EMM_067,59,6,6,1,53,0.32,264.14
BOU_EMM_067,60,0,6,0,53,0.22,266.54
BOU_EMM_067,61,6,6,1,54,0.15,268.87
BOU_EMM_067,62,0,6,0,54,0.25,271.3
BOU_EMM_067,63,6,6,1,55,0.19,273.69
BOU_EMM_067,64,6,6,1,56,0.36,276.24
BOU_EMM_067,65,0,6,0,56,0.24,278.7
BOU_EMM_067,66,6,6,1,57,0.24,281.14
BOU_EMM_067,67,0,0,1,58,0.21,283.54
BOU_EMM_067,68,0,0,1,59,0.22,285.97
BOU_EMM_067,69,6,6,1,60,0.24,288.4
BOU_EMM_067,70,6,6,1,61,0.23,290.83
BOU_EMM_067,71,6,6,1,62,0.2,293.22
BOU_EMM_067,72,6,6,1,63,0.22,295.6
BOU_EMM_067,73,0,0,1,64,0.23,298.02
BOU_EMM_067,74,0,0,1,65,0.13,300.33
BOU_EMM_067,75,6,6,1,66,0.31,302.79
BOU_EMM_067,76,6,6,1,67,0.28,305.26
BOU_EMM_067,77,0,6,0,67,0.21,307.66
BOU_EMM_067,78,6,6,1,68,0.19,310.04
BOU_EMM_067,79,6,6,1,69,0.23,312.45
BOU_EMM_067,80,6,6,1,70,0.16,314.78
BOU_EMM_067,81,0,0,1,71,0.23,317.2
BOU_EMM_067,82,6,6,1,72,0.26,319.64
BOU_EMM_067,83,6,6,1,73,0.24,322.06
BOU_EMM_067,84,0,0,1,74,0.23,324.48
BOU_EMM_067,85,6,6,1,75,0.24,326.89
BOU_EMM_067,86,6,6,1,76,0.29,329.34
BOU_EMM_067,87,6,6,1,77,0.2,331.72
BOU_EMM_067,88,0,6,0,77,0.22,334.13
BOU_EMM_067,89,0,6,0,77,0.22,336.54
BOU_EMM_067,90,0,0,1,78,0.17,338.89
BOU_EMM_067,91,6,6,1,79,0.56,341.63
BOU_EMM_067,92,6,6,1,80,0.16,343.96
BOU_EMM_067,93,6,6,1,81,0.18,346.33
BOU_EMM_067,94,6,6,1,82,0.2,348.73
BOU_EMM_067,95,6,6,1,83,0.19,351.11
BOU_EMM_067,96,6,6,1,84,0.26,353.56
