id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CAL_VIC_046,100,6,6,1,0,0.81,36.14
CAL_VIC_046,101,6,6,1,0,0.53,40.85
CAL_VIC_046,102,6,0,0,0,0.46,45.48
CAL_VIC_046,0,0,0,1,1,0.62,63.94
CAL_VIC_046,1,6,6,1,2,0.13,66.26
CAL_VIC_046,2,6,6,1,3,0.97,69.4
CAL_VIC_046,3,6,6,1,4,0.69,72.28
CAL_VIC_046,4,6,6,1,5,0.68,75.14
CAL_VIC_046,5,6,6,1,6,0.37,77.71
CAL_VIC_046,6,6,6,1,7,0.31,80.2
CAL_VIC_046,7,6,6,1,8,0.33,82.7
CAL_VIC_046,8,0,0,1,9,0.77,85.66
CAL_VIC_046,9,6,6,1,10,0.32,88.16
CAL_VIC_046,10,6,6,1,11,0.46,90.8
CAL_VIC_046,11,6,6,1,12,0.68,93.68
CAL_VIC_046,12,0,0,1,13,0.38,96.23
CAL_VIC_046,13,6,6,1,14,0.44,98.84
CAL_VIC_046,14,6,6,1,15,0.38,101.42
CAL_VIC_046,15,6,6,1,16,0.35,103.95
CAL_VIC_046,16,6,6,1,17,0.49,106.64
CAL_VIC_046,17,6,6,1,18,0.28,109.12
CAL_VIC_046,18,6,6,1,19,0.28,111.57
CAL_VIC_046,19,0,0,1,20,0.37,114.16
CAL_VIC_046,20,6,6,1,21,0.7,117.04
CAL_VIC_046,21,6,6,1,22,0.34,119.58
CAL_VIC_046,22,6,6,1,23,0.34,122.1
CAL_VIC_046,23,6,6,1,24,0.29,124.58
CAL_VIC_046,24,0,0,1,25,0.44,127.19
CAL_VIC_046,25,6,6,1,26,0.41,129.79
CAL_VIC_046,26,0,0,1,27,0.28,132.26
CAL_VIC_046,27,6,6,1,28,0.33,134.78
CAL_VIC_046,28,6,6,1,29,0.3,137.27
CAL_VIC_046,29,6,6,1,30,0.39,139.86
CAL_VIC_046,30,6,6,1,31,0.28,142.34
CAL_VIC_046,31,0,0,1,32,1.03,145.56
CAL_VIC_046,32,6,6,1,33,0.89,148.64
CAL_VIC_046,33,0,0,1,34,0.33,151.17
CAL_VIC_046,34,0,0,1,35,0.24,153.62
CAL_VIC_046,35,6,6,1,36,0.46,156.24
CAL_VIC_046,36,6,6,1,37,0.31,158.74
CAL_VIC_046,37,0,0,1,38,0.61,161.53
CAL_VIC_046,38,0,0,1,39,0.38,164.1
CAL_VIC_046,39,6,6,1,40,1.94,168.23
CAL_VIC_046,40,0,0,1,41,0.35,170.79
CAL_VIC_046,41,0,0,1,42,0.33,173.3
CAL_VIC_046,42,6,6,1,43,0.21,175.7
CAL_VIC_046,43,6,6,1,44,0.42,178.31
CAL_VIC_046,44,6,6,1,45,0.31,180.82
CAL_VIC_046,45,6,6,1,46,0.2,183.19
CAL_VIC_046,46,6,6,1,47,0.34,185.7
CAL_VIC_046,47,6,6,1,48,0.26,188.15
CAL_VIC_046,48,0,0,1,49,0.28,190.63
CAL_VIC_046,49,0,0,1,50,0.2,193.04
CAL_VIC_046,50,0,0,1,51,0.19,195.43
CAL_VIC_046,51,6,6,1,52,0.11,197.73
CAL_VIC_046,52,6,6,1,53,0.62,200.54
CAL_VIC_046,53,6,6,1,54,0.3,203.02
CAL_VIC_046,54,6,6,1,55,0.27,205.49
CAL_VIC_046,55,6,6,1,56,0.36,208.04
CAL_VIC_046,56,6,6,1,57,0.27,210.5
CAL_VIC_046,57,6,6,1,58,0.27,212.96
CAL_VIC_046,58,6,6,1,59,0.31,215.45
CAL_VIC_046,59,6,6,1,60,0.45,218.09
CAL_VIC_046,60,6,6,1,61,0.58,220.87
CAL_VIC_046,61,6,6,1,62,0.3,223.32
CAL_VIC_046,62,6,6,1,63,0.26,225.79
CAL_VIC_046,63,6,6,1,64,0.29,228.26
CAL_VIC_046,64,6,6,1,65,0.26,230.72
CAL_VIC_046,65,6,6,1,66,0.18,233.09
CAL_VIC_046,66,6,6,1,67,0.25,235.54
CAL_VIC_046,67,0,0,1,68,0.27,238.01
CAL_VIC_046,68,0,0,1,69,0.56,240.75
CAL_VIC_046,69,6,6,1,70,1.19,244.15
CAL_VIC_046,70,6,6,1,71,0.29,246.61
CAL_VIC_046,71,6,6,1,72,0.48,249.29
CAL_VIC_046,72,6,6,1,73,0.63,252.09
CAL_VIC_046,73,0,0,1,74,0.15,254.41
CAL_VIC_046,74,0,0,1,75,0.24,256.83
