id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CAR_PIE_016,100,29,45,29,29,1,common,0,1.37,41.84
CAR_PIE_016,101,52,66,66,52,0,common,0,0.94,47.5
CAR_PIE_016,102,53,44,44,44,1,common,0,2.43,54.68
CAR_PIE_016,0,44,24,24,24,1,common,1,4.23,78.82
CAR_PIE_016,1,23,29,29,23,0,common,1,0.1,81.66
CAR_PIE_016,2,12,27,12,12,1,common,2,1.61,85.99
CAR_PIE_016,3,65,74,65,65,1,common,3,1.69,90.41
CAR_PIE_016,4,75,90,75,75,1,common,4,1.45,94.62
CAR_PIE_016,5,18,12,12,12,1,common,5,1.67,99.01
CAR_PIE_016,6,9,16,9,9,1,common,6,0.89,102.6
CAR_PIE_016,7,25,40,25,40,0,common,6,0.97,106.29
CAR_PIE_016,8,75,60,60,60,1,common,7,1.16,110.22
CAR_PIE_016,9,25,43,25,25,1,common,8,0.93,113.87
CAR_PIE_016,10,15,26,15,15,1,common,9,0.94,117.49
CAR_PIE_016,11,71,54,54,54,1,common,10,1.0,121.24
CAR_PIE_016,12,29,46,29,29,1,common,11,0.56,124.54
CAR_PIE_016,13,53,33,33,33,1,common,12,0.89,128.15
CAR_PIE_016,14,38,52,38,38,1,common,13,0.89,131.8
CAR_PIE_016,15,44,24,24,24,1,common,14,0.79,135.33
CAR_PIE_016,16,12,13,12,12,1,common,15,0.75,138.79
CAR_PIE_016,17,58,64,58,58,1,common,16,1.08,142.62
CAR_PIE_016,18,31,13,13,13,1,common,17,0.96,146.32
CAR_PIE_016,19,98,88,88,88,1,common,18,0.8,149.89
CAR_PIE_016,20,31,43,31,31,1,common,19,0.74,153.36
CAR_PIE_016,21,36,25,25,25,1,common,20,0.98,157.07
CAR_PIE_016,22,29,42,29,29,1,common,21,0.99,160.76
CAR_PIE_016,23,32,20,20,20,1,common,22,0.76,164.24
CAR_PIE_016,24,19,36,36,36,1,common,23,4.84,171.78
CAR_PIE_016,25,48,36,36,36,1,common,24,1.06,175.57
CAR_PIE_016,26,13,33,13,13,1,common,25,0.55,178.82
CAR_PIE_016,27,45,35,35,35,1,common,26,0.81,182.39
CAR_PIE_016,28,35,24,24,24,1,common,27,0.71,185.78
CAR_PIE_016,29,28,45,28,28,1,common,28,0.61,189.11
CAR_PIE_016,30,13,30,13,13,1,common,29,0.58,192.4
CAR_PIE_016,31,17,36,17,36,0,common,29,0.59,195.72
CAR_PIE_016,32,74,62,62,62,1,common,30,1.83,200.3
CAR_PIE_016,33,31,26,31,26,0,common,30,1.2,204.24
CAR_PIE_016,34,38,28,28,28,1,common,31,1.94,208.91
CAR_PIE_016,35,81,72,72,72,1,common,32,0.83,212.5
CAR_PIE_016,36,21,16,21,16,0,common,32,2.06,217.26
CAR_PIE_016,37,36,21,36,36,1,common,33,1.14,221.13
CAR_PIE_016,38,16,36,16,16,1,common,34,0.88,224.71
CAR_PIE_016,39,16,8,16,8,0,common,34,1.35,228.76
CAR_PIE_016,40,18,12,12,12,1,common,35,5.41,236.9
CAR_PIE_016,41,67,76,67,67,1,common,36,2.19,241.83
CAR_PIE_016,42,92,84,84,84,1,common,37,1.11,245.69
CAR_PIE_016,43,34,14,14,14,1,common,38,0.72,249.13
CAR_PIE_016,44,9,14,9,9,1,common,39,1.39,253.22
CAR_PIE_016,45,103,83,83,83,1,common,40,1.08,257.04
CAR_PIE_016,46,33,23,23,23,1,common,41,1.01,260.74
CAR_PIE_016,47,28,19,19,28,0,common,41,0.83,264.29
CAR_PIE_016,48,30,41,30,30,1,common,42,0.91,267.9
