id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CHA_BRU_018,100,45,29,29,29,1,common,0,8.78,93.22
CHA_BRU_018,101,52,66,66,52,0,common,0,2.26,100.21
CHA_BRU_018,102,44,53,44,44,1,common,0,1.55,106.51
CHA_BRU_018,0,24,44,24,24,1,common,1,1.84,127.57
CHA_BRU_018,1,23,29,23,23,1,common,2,1.24,131.56
CHA_BRU_018,2,12,27,27,12,0,common,2,2.29,136.56
CHA_BRU_018,3,65,74,74,65,0,common,2,1.84,141.16
CHA_BRU_018,4,75,90,75,75,1,common,3,1.22,145.16
CHA_BRU_018,5,18,12,18,12,0,common,3,1.65,149.54
CHA_BRU_018,6,16,9,16,9,0,common,3,1.68,153.91
CHA_BRU_018,7,25,40,40,40,1,common,4,1.43,158.06
CHA_BRU_018,8,60,75,75,60,0,common,4,1.13,161.93
CHA_BRU_018,9,43,25,25,25,1,common,5,1.64,166.29
CHA_BRU_018,10,26,15,26,15,0,common,5,2.08,171.06
CHA_BRU_018,11,71,54,54,54,1,common,6,1.26,175.07
CHA_BRU_018,12,46,29,46,29,0,common,6,1.82,179.61
CHA_BRU_018,13,33,53,53,33,0,common,6,1.16,183.5
CHA_BRU_018,14,38,52,38,38,1,common,7,1.21,187.46
CHA_BRU_018,15,44,24,24,24,1,common,8,1.26,191.43
CHA_BRU_018,16,12,13,13,12,0,common,8,1.49,195.65
CHA_BRU_018,17,58,64,58,58,1,common,9,1.26,199.68
CHA_BRU_018,18,31,13,13,13,1,common,10,1.5,203.9
CHA_BRU_018,19,98,88,88,88,1,common,11,1.32,207.99
CHA_BRU_018,20,31,43,43,31,0,common,11,1.82,212.56
CHA_BRU_018,21,25,36,25,25,1,common,12,1.02,216.29
CHA_BRU_018,22,29,42,29,29,1,common,13,1.49,220.49
CHA_BRU_018,23,20,32,32,20,0,common,13,1.11,224.29
CHA_BRU_018,24,19,36,36,36,1,common,14,1.09,228.1
CHA_BRU_018,25,36,48,36,36,1,common,15,1.5,232.33
CHA_BRU_018,26,33,13,13,13,1,common,16,1.44,236.44
CHA_BRU_018,27,45,35,45,35,0,common,16,1.42,240.59
CHA_BRU_018,28,24,35,35,24,0,common,16,0.97,244.27
CHA_BRU_018,29,28,45,28,28,1,common,17,0.93,247.95
CHA_BRU_018,30,30,13,13,13,1,common,18,0.88,251.55
CHA_BRU_018,31,17,36,36,36,1,common,19,1.01,255.29
CHA_BRU_018,32,62,74,62,62,1,common,20,1.16,259.2
CHA_BRU_018,33,26,31,31,26,0,common,20,1.07,262.98
CHA_BRU_018,34,38,28,38,28,0,common,20,1.36,267.06
CHA_BRU_018,35,72,81,81,72,0,common,20,1.1,270.92
CHA_BRU_018,36,21,16,21,16,0,common,20,1.44,275.09
CHA_BRU_018,37,36,21,36,36,1,common,21,1.48,279.28
CHA_BRU_018,38,36,16,16,16,1,common,22,0.98,282.96
CHA_BRU_018,39,8,16,8,8,1,common,23,1.03,286.68
CHA_BRU_018,40,18,12,12,12,1,common,24,1.11,290.51
CHA_BRU_018,41,76,67,67,67,1,common,25,1.91,295.19
CHA_BRU_018,42,92,84,92,84,0,common,25,1.04,298.99
CHA_BRU_018,43,14,34,14,14,1,common,26,2.15,303.87
CHA_BRU_018,44,14,9,9,9,1,common,27,1.0,307.61
CHA_BRU_018,45,83,103,83,83,1,common,28,1.26,311.6
CHA_BRU_018,46,23,33,23,23,1,common,29,1.8,316.11
CHA_BRU_018,47,28,19,28,28,1,common,30,1.59,320.41
CHA_BRU_018,48,30,41,41,30,0,common,30,0.99,324.13
CHA_BRU_018,49,53,35,53,35,0,common,30,1.6,328.45
CHA_BRU_018,50,33,34,34,33,0,common,30,1.21,332.37
CHA_BRU_018,51,86,81,86,81,0,common,30,1.4,336.52
CHA_BRU_018,52,33,52,52,33,0,common,30,1.43,340.65
CHA_BRU_018,53,44,30,44,30,0,common,30,1.77,345.18
CHA_BRU_018,54,30,35,35,30,0,common,30,1.2,349.1
CHA_BRU_018,55,52,20,52,52,1,common,31,1.0,352.83
CHA_BRU_018,56,31,52,52,52,1,common,32,1.14,356.69
CHA_BRU_018,57,24,32,32,24,0,common,32,1.18,360.6
CHA_BRU_018,58,60,35,60,60,1,common,33,1.23,364.57
CHA_BRU_018,59,32,27,27,32,0,common,33,0.95,368.25
CHA_BRU_018,60,31,20,31,20,0,common,33,1.43,372.39
CHA_BRU_018,61,29,23,23,23,1,common,34,1.63,376.76
CHA_BRU_018,62,24,14,24,24,1,common,35,1.07,380.56
CHA_BRU_018,63,32,51,51,32,0,common,35,1.28,384.57
CHA_BRU_018,64,30,11,11,11,1,common,36,1.16,388.43
CHA_BRU_018,65,72,53,72,53,0,common,36,1.29,392.46
CHA_BRU_018,66,41,51,41,41,1,common,37,1.19,396.41
CHA_BRU_018,67,26,42,26,26,1,common,38,1.65,400.8
CHA_BRU_018,68,23,48,48,48,1,common,39,1.11,404.63
CHA_BRU_018,69,56,30,56,56,1,common,40,1.47,408.82
CHA_BRU_018,70,43,62,62,43,0,common,40,1.74,413.31
CHA_BRU_018,71,44,50,44,44,1,common,41,1.01,417.06
CHA_BRU_018,72,20,14,20,20,1,common,42,1.75,421.54
CHA_BRU_018,73,32,26,26,26,1,common,43,1.3,425.53
CHA_BRU_018,74,19,39,19,19,1,common,44,0.78,429.04
CHA_BRU_018,75,14,24,24,24,1,common,45,1.45,433.2
CHA_BRU_018,76,55,70,55,55,1,common,46,1.4,437.34
CHA_BRU_018,77,15,6,6,6,1,common,47,0.7,440.75
CHA_BRU_018,78,31,44,31,31,1,common,48,1.31,444.8
CHA_BRU_018,79,60,28,60,60,1,common,49,1.32,448.86
CHA_BRU_018,80,31,20,20,20,1,common,50,0.75,452.32
CHA_BRU_018,81,36,23,36,36,1,common,51,1.37,456.4
CHA_BRU_018,82,63,80,63,63,1,common,52,1.39,460.54
CHA_BRU_018,83,8,28,8,8,1,common,53,0.97,464.19
CHA_BRU_018,84,21,32,32,32,1,common,54,1.13,468.05
CHA_BRU_018,85,41,29,29,29,1,common,55,1.01,471.76
CHA_BRU_018,86,40,22,40,40,1,common,56,0.9,475.41
CHA_BRU_018,87,14,27,14,14,1,common,57,1.04,479.16
CHA_BRU_018,88,48,32,48,48,1,common,58,1.31,483.18
CHA_BRU_018,89,42,29,29,29,1,common,59,1.42,487.36
CHA_BRU_018,90,81,92,92,81,0,common,59,0.93,491.06
CHA_BRU_018,91,22,20,22,20,0,common,59,0.88,494.64
CHA_BRU_018,92,32,45,45,32,0,common,59,1.14,498.52
CHA_BRU_018,93,49,33,49,33,0,common,59,0.99,502.23
CHA_BRU_018,94,41,58,58,41,0,common,59,1.35,506.37
CHA_BRU_018,95,22,36,36,36,1,common,60,1.29,510.38
CHA_BRU_018,96,77,83,77,77,1,common,61,1.25,514.39
CHA_BRU_018,97,62,68,68,62,0,common,61,1.29,518.43
CHA_BRU_018,98,22,17,22,17,0,common,61,1.43,522.6
CHA_BRU_018,99,29,18,18,18,1,common,62,1.25,526.56
