id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
CHA_CLA_051,100,29,45,29,29,1,common,0,15.87,61.83
CHA_CLA_051,101,52,66,52,52,1,common,0,2.04,68.6
CHA_CLA_051,102,53,44,44,44,1,common,0,1.77,75.13
CHA_CLA_051,0,44,24,24,24,1,common,1,1.57,94.91
CHA_CLA_051,1,29,23,29,23,0,common,1,2.93,100.61
CHA_CLA_051,2,27,12,12,12,1,common,2,1.14,104.44
CHA_CLA_051,3,65,74,65,65,1,common,3,2.05,109.27
CHA_CLA_051,4,90,75,90,75,0,common,3,2.64,114.66
CHA_CLA_051,5,12,18,12,12,1,common,4,1.5,118.87
CHA_CLA_051,6,9,16,9,9,1,common,5,1.21,122.8
CHA_CLA_051,7,40,25,25,40,0,common,5,1.62,127.16
CHA_CLA_051,8,75,60,60,60,1,common,6,1.17,131.09
CHA_CLA_051,9,25,43,25,25,1,common,7,1.15,135.01
CHA_CLA_051,10,26,15,15,15,1,common,8,1.63,139.36
CHA_CLA_051,11,71,54,54,54,1,common,9,1.29,143.38
CHA_CLA_051,12,29,46,29,29,1,common,10,1.08,147.18
CHA_CLA_051,13,53,33,33,33,1,common,11,2.23,152.16
CHA_CLA_051,14,52,38,38,38,1,common,12,1.33,156.25
CHA_CLA_051,15,44,24,24,24,1,common,13,1.12,160.1
CHA_CLA_051,16,12,13,12,12,1,common,14,2.59,165.4
CHA_CLA_051,17,58,64,58,58,1,common,15,3.14,171.3
CHA_CLA_051,18,31,13,13,13,1,common,16,0.84,174.9
CHA_CLA_051,19,88,98,88,88,1,common,17,1.39,179.03
CHA_CLA_051,20,43,31,31,31,1,common,18,1.06,182.82
CHA_CLA_051,21,25,36,25,25,1,common,19,0.91,186.45
CHA_CLA_051,22,42,29,29,29,1,common,20,0.73,189.91
CHA_CLA_051,23,32,20,20,20,1,common,21,1.16,193.78
CHA_CLA_051,24,36,19,19,36,0,common,21,1.34,197.86
CHA_CLA_051,25,48,36,36,36,1,common,22,1.15,201.76
CHA_CLA_051,26,13,33,13,13,1,common,23,0.9,205.38
CHA_CLA_051,27,35,45,35,35,1,common,24,1.95,210.08
CHA_CLA_051,28,24,35,24,24,1,common,25,0.99,213.78
CHA_CLA_051,29,45,28,28,28,1,common,26,1.06,217.6
CHA_CLA_051,30,30,13,13,13,1,common,27,0.86,221.17
CHA_CLA_051,31,36,17,17,36,0,common,27,1.3,225.21
CHA_CLA_051,32,62,74,62,62,1,common,28,1.64,229.63
CHA_CLA_051,33,26,31,26,26,1,common,29,2.53,234.9
CHA_CLA_051,34,38,28,28,28,1,common,30,0.99,238.63
CHA_CLA_051,35,72,81,72,72,1,common,31,1.56,242.96
CHA_CLA_051,36,21,16,16,16,1,common,32,0.85,246.55
CHA_CLA_051,37,36,21,21,36,0,common,32,2.34,251.63
CHA_CLA_051,38,16,36,16,16,1,common,33,0.65,255.01
CHA_CLA_051,39,8,16,8,8,1,common,34,0.96,258.69
CHA_CLA_051,40,12,18,12,12,1,common,35,1.06,262.46
CHA_CLA_051,41,67,76,67,67,1,common,36,1.78,266.99
CHA_CLA_051,42,92,84,84,84,1,common,37,1.68,271.45
CHA_CLA_051,43,14,34,14,14,1,common,38,0.82,275.0
CHA_CLA_051,44,9,14,9,9,1,common,39,0.87,278.58
CHA_CLA_051,45,103,83,83,83,1,common,40,2.47,283.82
CHA_CLA_051,46,33,23,23,23,1,common,41,1.29,287.81
CHA_CLA_051,47,19,28,19,28,0,common,41,1.55,292.08
CHA_CLA_051,48,30,41,30,30,1,common,42,1.34,296.17
CHA_CLA_051,49,35,53,35,35,1,common,43,2.11,301.04
CHA_CLA_051,50,33,34,33,33,1,pro,44,2.38,306.13
CHA_CLA_051,51,86,81,81,81,1,pro,45,2.76,311.64
CHA_CLA_051,52,33,52,33,33,1,pro,46,1.17,315.52
CHA_CLA_051,53,44,30,30,30,1,pro,47,0.8,319.06
CHA_CLA_051,54,35,30,35,30,0,pro,47,1.64,323.41
CHA_CLA_051,55,20,52,20,52,0,pro,47,1.57,327.74
CHA_CLA_051,56,52,31,31,52,0,pro,47,1.29,331.78
CHA_CLA_051,57,32,24,24,24,1,pro,48,2.79,337.31
CHA_CLA_051,58,60,35,35,60,0,pro,48,1.76,341.82
CHA_CLA_051,59,27,32,27,32,0,pro,48,1.18,345.74
CHA_CLA_051,60,20,31,20,20,1,pro,49,8.47,356.93
CHA_CLA_051,61,23,29,23,23,1,pro,50,1.97,361.67
CHA_CLA_051,62,14,24,14,24,0,pro,50,3.12,367.53
CHA_CLA_051,63,51,32,32,32,1,pro,51,1.09,371.38
CHA_CLA_051,64,30,11,11,11,1,pro,52,1.02,375.13
CHA_CLA_051,65,53,72,53,53,1,pro,53,1.77,379.65
CHA_CLA_051,66,51,41,41,41,1,pro,54,1.28,383.66
CHA_CLA_051,67,42,26,42,26,0,pro,54,1.03,387.44
CHA_CLA_051,68,23,48,23,48,0,pro,54,2.32,392.52
CHA_CLA_051,69,56,30,30,56,0,pro,54,1.11,396.39
CHA_CLA_051,70,43,62,43,43,1,pro,55,1.85,400.99
CHA_CLA_051,71,50,44,44,44,1,pro,56,1.39,405.15
CHA_CLA_051,72,14,20,14,20,0,pro,56,0.79,408.65
CHA_CLA_051,73,26,32,26,26,1,pro,57,1.34,412.7
CHA_CLA_051,74,39,19,19,19,1,pro,58,0.78,416.21
CHA_CLA_051,75,24,14,14,24,0,pro,58,1.01,419.94
CHA_CLA_051,76,55,70,55,55,1,pro,59,1.44,424.16
CHA_CLA_051,77,6,15,6,6,1,pro,60,0.94,427.8
CHA_CLA_051,78,31,44,31,31,1,pro,61,1.34,431.87
CHA_CLA_051,79,60,28,28,60,0,pro,61,2.08,436.68
CHA_CLA_051,80,31,20,20,20,1,pro,62,0.97,440.38
CHA_CLA_051,81,23,36,23,36,0,pro,62,1.16,444.31
CHA_CLA_051,82,63,80,63,63,1,pro,63,1.44,448.52
CHA_CLA_051,83,28,8,8,8,1,pro,64,1.1,452.37
CHA_CLA_051,84,32,21,21,32,0,pro,64,1.81,456.91
CHA_CLA_051,85,41,29,29,29,1,pro,65,1.01,460.64
CHA_CLA_051,86,22,40,22,40,0,pro,65,1.11,464.49
CHA_CLA_051,87,27,14,14,14,1,pro,66,3.37,470.62
CHA_CLA_051,88,48,32,32,48,0,pro,66,1.63,475.0
CHA_CLA_051,89,42,29,29,29,1,pro,67,1.96,479.7
CHA_CLA_051,90,92,81,81,81,1,pro,68,3.59,486.09
CHA_CLA_051,91,20,22,22,20,0,pro,68,0.86,489.67
CHA_CLA_051,92,45,32,32,32,1,pro,69,1.1,493.54
CHA_CLA_051,93,49,33,33,33,1,pro,70,3.88,500.14
CHA_CLA_051,94,41,58,41,41,1,pro,71,1.27,504.19
CHA_CLA_051,95,22,36,22,36,0,pro,71,0.98,507.91
CHA_CLA_051,96,83,77,77,77,1,pro,72,1.44,512.13
CHA_CLA_051,97,62,68,62,62,1,pro,73,2.59,517.49
CHA_CLA_051,98,17,22,17,17,1,pro,74,0.89,521.11
CHA_CLA_051,99,29,18,18,18,1,pro,75,2.61,526.45
