id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CHA_CLA_051,100,6,6,1,0,1.97,36.08
CHA_CLA_051,101,6,6,1,0,0.8,41.05
CHA_CLA_051,102,6,0,0,0,1.14,46.37
CHA_CLA_051,0,0,0,1,1,2.45,65.71
CHA_CLA_051,1,6,6,1,2,0.86,68.76
CHA_CLA_051,2,6,6,1,3,1.07,72.05
CHA_CLA_051,3,6,6,1,4,0.96,75.21
CHA_CLA_051,4,6,6,1,5,0.63,78.02
CHA_CLA_051,5,6,6,1,6,1.45,81.66
CHA_CLA_051,6,6,6,1,7,0.91,84.75
CHA_CLA_051,7,6,6,1,8,0.79,87.73
CHA_CLA_051,8,0,0,1,9,2.26,92.17
CHA_CLA_051,9,6,6,1,10,1.06,95.42
CHA_CLA_051,10,6,6,1,11,0.7,98.33
CHA_CLA_051,11,6,6,1,12,0.64,101.15
CHA_CLA_051,12,0,0,1,13,0.59,103.92
CHA_CLA_051,13,6,6,1,14,0.53,106.66
CHA_CLA_051,14,6,6,1,15,1.64,110.46
CHA_CLA_051,15,6,6,1,16,0.9,113.56
CHA_CLA_051,16,0,6,0,16,2.46,118.22
CHA_CLA_051,17,6,6,1,17,0.6,121.0
CHA_CLA_051,18,6,6,1,18,0.74,123.9
CHA_CLA_051,19,0,0,1,19,0.83,126.92
CHA_CLA_051,20,6,6,1,20,0.6,129.72
CHA_CLA_051,21,6,6,1,21,3.94,135.85
CHA_CLA_051,22,6,6,1,22,1.19,139.2
CHA_CLA_051,23,6,6,1,23,3.37,144.75
CHA_CLA_051,24,0,0,1,24,0.62,147.56
CHA_CLA_051,25,6,6,1,25,1.29,151.05
CHA_CLA_051,26,0,0,1,26,0.63,153.86
CHA_CLA_051,27,0,6,0,26,2.87,158.91
CHA_CLA_051,28,6,6,1,27,0.74,161.84
CHA_CLA_051,29,6,6,1,28,1.86,165.88
CHA_CLA_051,30,6,6,1,29,0.75,168.83
CHA_CLA_051,31,0,0,1,30,0.65,171.68
CHA_CLA_051,32,6,6,1,31,0.64,174.5
CHA_CLA_051,33,0,0,1,32,0.67,177.38
CHA_CLA_051,34,0,0,1,33,3.82,183.4
CHA_CLA_051,35,6,6,1,34,1.53,187.11
CHA_CLA_051,36,6,6,1,35,1.82,191.15
CHA_CLA_051,37,0,0,1,36,0.76,194.08
CHA_CLA_051,38,0,0,1,37,0.53,196.79
CHA_CLA_051,39,0,6,0,37,0.68,199.66
CHA_CLA_051,40,0,0,1,38,0.61,202.48
CHA_CLA_051,41,0,0,1,39,0.17,204.85
CHA_CLA_051,42,6,6,1,40,0.4,207.43
CHA_CLA_051,43,0,6,0,40,0.79,210.4
CHA_CLA_051,44,6,6,1,41,0.98,213.58
CHA_CLA_051,45,6,6,1,42,0.58,216.36
CHA_CLA_051,46,6,6,1,43,0.76,219.29
CHA_CLA_051,47,6,6,1,44,1.76,223.24
CHA_CLA_051,48,0,0,1,45,0.49,225.92
CHA_CLA_051,49,0,0,1,46,0.58,228.69
CHA_CLA_051,50,0,0,1,47,0.81,231.73
CHA_CLA_051,51,0,6,0,47,1.23,235.15
CHA_CLA_051,52,6,6,1,48,0.66,237.99
CHA_CLA_051,53,6,6,1,49,0.48,240.66
CHA_CLA_051,54,6,6,1,50,1.66,244.51
CHA_CLA_051,55,6,6,1,51,1.44,248.15
CHA_CLA_051,56,0,6,0,51,0.62,250.95
CHA_CLA_051,57,6,6,1,52,0.61,253.75
CHA_CLA_051,58,6,6,1,53,0.68,256.61
CHA_CLA_051,59,6,6,1,54,1.98,260.8
CHA_CLA_051,60,6,6,1,55,1.63,264.63
CHA_CLA_051,61,6,6,1,56,0.6,267.41
CHA_CLA_051,62,6,6,1,57,2.03,271.62
CHA_CLA_051,63,6,6,1,58,0.87,274.68
CHA_CLA_051,64,6,6,1,59,0.6,277.48
CHA_CLA_051,65,6,6,1,60,1.18,280.86
CHA_CLA_051,66,6,6,1,61,0.69,283.74
CHA_CLA_051,67,0,0,1,62,0.63,286.54
CHA_CLA_051,68,0,0,1,63,4.04,292.76
CHA_CLA_051,69,6,6,1,64,4.08,299.01
CHA_CLA_051,70,6,6,1,65,1.51,302.73
CHA_CLA_051,71,0,6,0,65,1.31,306.22
CHA_CLA_051,72,6,6,1,66,1.1,309.53
CHA_CLA_051,73,0,0,1,67,1.05,312.77
CHA_CLA_051,74,0,0,1,68,0.62,315.59
CHA_CLA_051,75,6,6,1,69,0.43,318.21
CHA_CLA_051,76,0,6,0,69,1.38,321.77
CHA_CLA_051,77,6,6,1,70,0.63,324.58
CHA_CLA_051,78,6,6,1,71,0.82,327.56
CHA_CLA_051,79,6,6,1,72,1.48,331.25
CHA_CLA_051,80,6,6,1,73,0.9,334.33
CHA_CLA_051,81,0,0,1,74,0.42,336.94
CHA_CLA_051,82,0,6,0,74,1.92,341.04
CHA_CLA_051,83,6,6,1,75,0.53,343.75
CHA_CLA_051,84,0,0,1,76,1.14,347.07
CHA_CLA_051,85,6,6,1,77,0.84,350.11
CHA_CLA_051,86,0,6,0,77,0.63,352.93
CHA_CLA_051,87,6,6,1,78,0.76,355.89
CHA_CLA_051,88,6,6,1,79,3.51,361.6
CHA_CLA_051,89,6,6,1,80,0.07,363.87
CHA_CLA_051,90,0,0,1,81,0.06,366.09
CHA_CLA_051,91,6,6,1,82,3.13,371.39
CHA_CLA_051,92,6,6,1,83,0.54,374.13
CHA_CLA_051,93,6,6,1,84,1.1,377.43
CHA_CLA_051,94,6,6,1,85,0.7,380.3
CHA_CLA_051,95,6,6,1,86,2.05,384.55
CHA_CLA_051,96,6,6,1,87,2.44,389.19
CHA_CLA_051,97,0,0,1,88,0.73,392.12
CHA_CLA_051,98,0,0,1,89,1.04,395.35
CHA_CLA_051,99,6,6,1,90,1.52,399.05
