id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
CIS_MAN_009,100,6,6,1,0,2.07,35.71
CIS_MAN_009,101,6,6,1,0,1.27,41.15
CIS_MAN_009,102,6,0,0,0,1.01,46.32
CIS_MAN_009,0,0,0,1,1,1.09,66.72
CIS_MAN_009,1,6,6,1,2,0.72,69.63
CIS_MAN_009,2,0,6,0,2,0.86,72.72
CIS_MAN_009,3,6,6,1,3,0.63,75.52
CIS_MAN_009,4,6,6,1,4,0.45,78.17
CIS_MAN_009,5,6,6,1,5,0.41,80.78
CIS_MAN_009,6,0,6,0,5,0.37,83.35
CIS_MAN_009,7,0,6,0,5,0.43,85.98
CIS_MAN_009,8,0,0,1,6,0.32,88.51
CIS_MAN_009,9,6,6,1,7,0.25,90.95
CIS_MAN_009,10,0,6,0,7,0.53,93.67
CIS_MAN_009,11,6,6,1,8,0.45,96.33
CIS_MAN_009,12,0,0,1,9,0.45,99.0
CIS_MAN_009,13,6,6,1,10,0.67,101.86
CIS_MAN_009,14,6,6,1,11,0.45,104.51
CIS_MAN_009,15,0,6,0,11,0.34,107.05
CIS_MAN_009,16,0,6,0,11,0.64,109.88
CIS_MAN_009,17,6,6,1,12,0.5,112.56
CIS_MAN_009,18,6,6,1,13,1.6,116.34
CIS_MAN_009,19,0,0,1,14,0.39,118.93
CIS_MAN_009,20,6,6,1,15,0.47,121.59
CIS_MAN_009,21,6,6,1,16,0.4,124.2
CIS_MAN_009,22,6,6,1,17,0.47,126.88
CIS_MAN_009,23,0,6,0,17,0.36,129.44
CIS_MAN_009,24,0,0,1,18,0.49,132.13
CIS_MAN_009,25,6,6,1,19,0.42,134.74
CIS_MAN_009,26,0,0,1,20,0.35,137.25
CIS_MAN_009,27,0,6,0,20,1.76,141.22
CIS_MAN_009,28,6,6,1,21,0.32,143.71
CIS_MAN_009,29,6,6,1,22,0.32,146.23
CIS_MAN_009,30,0,6,0,22,0.46,148.89
CIS_MAN_009,31,0,0,1,23,0.35,151.46
CIS_MAN_009,32,6,6,1,24,0.27,153.91
CIS_MAN_009,33,0,0,1,25,0.23,156.36
CIS_MAN_009,34,0,0,1,26,0.26,158.82
CIS_MAN_009,35,6,6,1,27,0.32,161.33
CIS_MAN_009,36,6,6,1,28,0.31,163.84
CIS_MAN_009,37,0,0,1,29,0.25,166.28
CIS_MAN_009,38,0,0,1,30,0.28,168.76
CIS_MAN_009,39,6,6,1,31,0.36,171.33
CIS_MAN_009,40,0,0,1,32,0.38,173.91
