id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
DAU_LEA_039,100,6,6,1,0,1.84,34.84
DAU_LEA_039,101,6,6,1,0,1.51,40.51
DAU_LEA_039,102,6,0,0,0,1.62,46.3
DAU_LEA_039,0,6,0,0,0,1.03,65.27
DAU_LEA_039,1,6,6,1,1,1.18,68.63
DAU_LEA_039,2,6,6,1,2,0.55,71.4
DAU_LEA_039,3,6,6,1,3,0.59,74.19
DAU_LEA_039,4,6,6,1,4,0.74,77.13
DAU_LEA_039,5,6,6,1,5,0.68,79.98
DAU_LEA_039,6,6,6,1,6,0.44,82.61
DAU_LEA_039,7,6,6,1,7,0.58,85.38
DAU_LEA_039,8,0,0,1,8,1.04,88.62
DAU_LEA_039,9,6,6,1,9,0.37,91.19
DAU_LEA_039,10,6,6,1,10,0.59,93.97
DAU_LEA_039,11,6,6,1,11,0.65,96.81
DAU_LEA_039,12,0,0,1,12,0.72,99.72
DAU_LEA_039,13,6,6,1,13,0.57,102.48
DAU_LEA_039,14,6,6,1,14,0.4,105.09
DAU_LEA_039,15,6,6,1,15,0.62,107.89
DAU_LEA_039,16,6,6,1,16,0.47,110.55
DAU_LEA_039,17,6,6,1,17,0.47,113.22
DAU_LEA_039,18,6,6,1,18,0.66,116.08
DAU_LEA_039,19,0,0,1,19,0.53,118.81
DAU_LEA_039,20,6,6,1,20,0.45,121.45
DAU_LEA_039,21,6,6,1,21,0.45,124.1
DAU_LEA_039,22,6,6,1,22,0.64,126.91
DAU_LEA_039,23,6,6,1,23,0.88,130.0
DAU_LEA_039,24,0,0,1,24,0.41,132.61
DAU_LEA_039,25,6,6,1,25,0.45,135.27
DAU_LEA_039,26,0,0,1,26,0.53,138.0
DAU_LEA_039,27,6,6,1,27,0.46,140.65
DAU_LEA_039,28,6,6,1,28,0.62,143.47
DAU_LEA_039,29,6,6,1,29,0.44,146.09
DAU_LEA_039,30,6,6,1,30,0.36,148.65
DAU_LEA_039,31,0,0,1,31,0.57,151.43
DAU_LEA_039,32,6,6,1,32,0.5,154.13
DAU_LEA_039,33,0,0,1,33,0.66,156.96
DAU_LEA_039,34,0,0,1,34,0.53,159.7
DAU_LEA_039,35,6,6,1,35,0.63,162.53
DAU_LEA_039,36,6,6,1,36,0.69,165.42
DAU_LEA_039,37,0,0,1,37,0.41,168.04
DAU_LEA_039,38,0,0,1,38,0.36,170.6
DAU_LEA_039,39,6,6,1,39,0.46,173.23
DAU_LEA_039,40,0,0,1,40,0.47,175.89
DAU_LEA_039,41,0,0,1,41,0.56,178.68
DAU_LEA_039,42,6,6,1,42,0.48,181.34
DAU_LEA_039,43,6,6,1,43,0.39,183.91
DAU_LEA_039,44,6,6,1,44,0.3,186.41
DAU_LEA_039,45,6,6,1,45,0.45,189.05
DAU_LEA_039,46,6,6,1,46,0.1,191.35
DAU_LEA_039,47,6,6,1,47,0.49,194.01
DAU_LEA_039,48,0,0,1,48,0.51,196.73
DAU_LEA_039,49,0,0,1,49,0.47,199.41
DAU_LEA_039,50,0,0,1,50,0.49,202.1
DAU_LEA_039,51,6,6,1,51,0.46,204.74
DAU_LEA_039,52,6,6,1,52,0.6,207.53
DAU_LEA_039,53,6,6,1,53,0.77,210.51
DAU_LEA_039,54,6,6,1,54,0.52,213.22
DAU_LEA_039,55,6,6,1,55,0.41,215.83
DAU_LEA_039,56,6,6,1,56,0.43,218.47
DAU_LEA_039,57,6,6,1,57,0.47,221.12
DAU_LEA_039,58,6,6,1,58,0.44,223.74
DAU_LEA_039,59,6,6,1,59,0.36,226.3
DAU_LEA_039,60,6,6,1,60,0.51,229.0
DAU_LEA_039,61,6,6,1,61,0.49,231.67
DAU_LEA_039,62,6,6,1,62,0.5,234.37
DAU_LEA_039,63,6,6,1,63,0.37,236.94
DAU_LEA_039,64,6,6,1,64,0.54,239.7
DAU_LEA_039,65,6,6,1,65,0.72,242.61
DAU_LEA_039,66,6,6,1,66,0.56,245.37
DAU_LEA_039,67,0,0,1,67,0.48,248.05
DAU_LEA_039,68,0,0,1,68,0.64,250.87
DAU_LEA_039,69,6,6,1,69,0.58,253.66
DAU_LEA_039,70,6,6,1,70,0.47,256.31
DAU_LEA_039,71,6,6,1,71,0.58,259.08
DAU_LEA_039,72,6,6,1,72,0.52,261.79
DAU_LEA_039,73,0,0,1,73,0.66,264.66
DAU_LEA_039,74,0,0,1,74,0.46,267.33
DAU_LEA_039,75,6,6,1,75,0.44,269.95
DAU_LEA_039,76,6,6,1,76,0.62,272.76
DAU_LEA_039,77,6,6,1,77,0.6,275.56
DAU_LEA_039,78,6,6,1,78,0.5,278.24
DAU_LEA_039,79,6,6,1,79,0.47,280.91
DAU_LEA_039,80,6,6,1,80,0.44,283.54
DAU_LEA_039,81,0,0,1,81,0.41,286.17
DAU_LEA_039,82,6,6,1,82,0.74,289.1
DAU_LEA_039,83,6,6,1,83,0.96,292.25
DAU_LEA_039,84,0,0,1,84,0.42,294.87
DAU_LEA_039,85,6,6,1,85,0.44,297.51
DAU_LEA_039,86,6,6,1,86,0.55,300.27
DAU_LEA_039,87,6,6,1,87,0.63,303.06
DAU_LEA_039,88,6,6,1,88,0.58,305.85
DAU_LEA_039,89,6,6,1,89,0.46,308.52
DAU_LEA_039,90,0,0,1,90,0.44,311.16
DAU_LEA_039,91,6,6,1,91,0.44,313.77
DAU_LEA_039,92,6,6,1,92,0.52,316.51
DAU_LEA_039,93,6,6,1,93,0.51,319.2
DAU_LEA_039,94,6,6,1,94,0.66,322.05
DAU_LEA_039,95,6,6,1,95,0.32,324.54
DAU_LEA_039,96,6,6,1,96,0.4,327.12
DAU_LEA_039,97,0,0,1,97,0.4,329.73
DAU_LEA_039,98,0,0,1,98,0.5,332.44
DAU_LEA_039,99,6,6,1,99,0.42,335.06
