id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
DOM_ANT_003,100,29,45,29,29,1,common,0,1.73,70.88
DOM_ANT_003,101,52,66,52,52,1,common,0,1.42,77.03
DOM_ANT_003,102,53,44,44,44,1,common,0,1.38,83.17
DOM_ANT_003,0,24,44,24,24,1,common,1,3.1,105.86
DOM_ANT_003,1,23,29,23,23,1,common,2,1.21,109.82
DOM_ANT_003,2,12,27,12,12,1,common,3,0.98,113.53
DOM_ANT_003,3,65,74,65,65,1,common,4,1.68,117.98
DOM_ANT_003,4,75,90,90,75,0,common,4,1.07,121.81
DOM_ANT_003,5,18,12,18,12,0,common,4,1.52,126.08
DOM_ANT_003,6,16,9,9,9,1,common,5,1.07,129.88
DOM_ANT_003,7,40,25,40,40,1,common,6,1.4,134.03
DOM_ANT_003,8,75,60,60,60,1,common,7,1.62,138.41
DOM_ANT_003,9,43,25,25,25,1,common,8,1.3,142.46
DOM_ANT_003,10,26,15,26,15,0,common,8,3.03,148.24
DOM_ANT_003,11,54,71,54,54,1,common,9,1.46,152.47
DOM_ANT_003,12,29,46,29,29,1,common,10,1.58,156.79
DOM_ANT_003,13,53,33,33,33,1,common,11,1.13,160.68
DOM_ANT_003,14,38,52,38,38,1,common,12,1.5,164.96
DOM_ANT_003,15,44,24,24,24,1,common,13,1.03,168.73
DOM_ANT_003,16,12,13,12,12,1,common,14,1.51,172.97
DOM_ANT_003,17,58,64,58,58,1,common,15,1.38,177.13
DOM_ANT_003,18,13,31,13,13,1,common,16,1.03,180.9
DOM_ANT_003,19,88,98,88,88,1,common,17,2.0,185.71
DOM_ANT_003,20,31,43,31,31,1,common,18,1.29,189.76
DOM_ANT_003,21,36,25,25,25,1,common,19,2.04,194.52
DOM_ANT_003,22,42,29,29,29,1,common,20,2.2,199.43
DOM_ANT_003,23,20,32,20,20,1,common,21,1.38,203.55
DOM_ANT_003,24,36,19,36,36,1,common,22,1.15,207.43
DOM_ANT_003,25,48,36,36,36,1,common,23,1.1,211.3
DOM_ANT_003,26,33,13,13,13,1,common,24,1.02,215.08
DOM_ANT_003,27,35,45,35,35,1,common,25,1.15,218.99
DOM_ANT_003,28,35,24,24,24,1,common,26,1.62,223.36
DOM_ANT_003,29,28,45,28,28,1,common,27,1.17,227.3
DOM_ANT_003,30,30,13,13,13,1,common,28,1.37,231.4
DOM_ANT_003,31,17,36,36,36,1,common,29,1.29,235.44
DOM_ANT_003,32,74,62,62,62,1,common,30,0.95,239.18
DOM_ANT_003,33,26,31,26,26,1,common,31,1.91,243.84
DOM_ANT_003,34,28,38,28,28,1,common,32,1.46,248.07
DOM_ANT_003,35,81,72,81,72,0,common,32,1.31,252.14
DOM_ANT_003,36,21,16,16,16,1,common,33,2.62,257.52
DOM_ANT_003,37,36,21,36,36,1,common,34,1.3,261.56
DOM_ANT_003,38,36,16,16,16,1,common,35,1.38,265.69
DOM_ANT_003,39,8,16,8,8,1,common,36,0.91,269.33
DOM_ANT_003,40,18,12,12,12,1,common,37,0.7,272.73
DOM_ANT_003,41,76,67,67,67,1,common,38,1.46,276.94
DOM_ANT_003,42,92,84,92,84,0,common,38,1.92,281.66
DOM_ANT_003,43,14,34,14,14,1,common,39,0.93,285.36
DOM_ANT_003,44,14,9,9,9,1,common,40,0.8,288.89
DOM_ANT_003,45,83,103,103,83,0,common,40,3.19,294.83
DOM_ANT_003,46,33,23,33,23,0,common,40,2.16,299.68
DOM_ANT_003,47,28,19,28,28,1,common,41,3.28,305.72
DOM_ANT_003,48,30,41,41,30,0,common,41,1.91,310.35
DOM_ANT_003,49,53,35,35,35,1,common,42,1.29,314.38
DOM_ANT_003,50,33,34,33,33,1,pro,43,3.11,320.19
DOM_ANT_003,51,86,81,86,81,0,pro,43,1.0,323.96
DOM_ANT_003,52,33,52,52,33,0,pro,43,1.4,328.07
DOM_ANT_003,53,30,44,30,30,1,pro,44,4.23,335.06
DOM_ANT_003,54,35,30,35,30,0,pro,44,0.96,338.74
DOM_ANT_003,55,20,52,52,52,1,pro,45,0.89,342.39
DOM_ANT_003,56,31,52,52,52,1,pro,46,1.08,346.2
DOM_ANT_003,57,32,24,32,24,0,pro,46,1.79,350.74
DOM_ANT_003,58,35,60,60,60,1,pro,47,1.27,354.77
DOM_ANT_003,59,27,32,32,32,1,pro,48,1.56,359.07
DOM_ANT_003,60,20,31,20,20,1,pro,49,1.52,363.3
DOM_ANT_003,61,29,23,29,23,0,pro,49,1.3,367.33
DOM_ANT_003,62,24,14,24,24,1,pro,50,1.17,371.27
DOM_ANT_003,63,32,51,51,32,0,pro,50,1.0,375.03
DOM_ANT_003,64,30,11,30,11,0,pro,50,1.17,378.94
DOM_ANT_003,65,72,53,72,53,0,pro,50,1.07,382.8
DOM_ANT_003,66,41,51,41,41,1,pro,51,4.82,390.42
DOM_ANT_003,67,42,26,42,26,0,pro,51,0.83,394.0
DOM_ANT_003,68,23,48,48,48,1,pro,52,1.01,397.79
DOM_ANT_003,69,30,56,56,56,1,pro,53,1.18,401.74
DOM_ANT_003,70,62,43,43,43,1,pro,54,2.1,406.62
DOM_ANT_003,71,50,44,44,44,1,pro,55,3.29,412.65
DOM_ANT_003,72,14,20,20,20,1,pro,56,1.02,416.41
DOM_ANT_003,73,26,32,26,26,1,pro,57,2.61,421.74
DOM_ANT_003,74,19,39,39,19,0,pro,57,5.6,430.06
DOM_ANT_003,75,24,14,24,24,1,pro,58,2.48,435.31
DOM_ANT_003,76,55,70,55,55,1,pro,59,1.86,439.93
DOM_ANT_003,77,6,15,6,6,1,pro,60,0.58,443.25
DOM_ANT_003,78,31,44,31,31,1,pro,61,1.02,447.03
DOM_ANT_003,79,60,28,60,60,1,pro,62,0.89,450.7
DOM_ANT_003,80,31,20,20,20,1,pro,63,1.92,455.33
DOM_ANT_003,81,36,23,36,36,1,pro,64,1.72,459.84
DOM_ANT_003,82,63,80,63,63,1,pro,65,1.29,463.89
DOM_ANT_003,83,8,28,8,8,1,pro,66,0.65,467.27
DOM_ANT_003,84,32,21,32,32,1,pro,67,1.45,471.45
DOM_ANT_003,85,29,41,29,29,1,pro,68,1.53,475.72
DOM_ANT_003,86,40,22,40,40,1,pro,69,1.3,479.77
DOM_ANT_003,87,14,27,14,14,1,pro,70,0.91,483.43
DOM_ANT_003,88,48,32,48,48,1,pro,71,1.16,487.37
DOM_ANT_003,89,42,29,29,29,1,pro,72,1.07,491.23
DOM_ANT_003,90,92,81,81,81,1,pro,73,1.51,495.51
DOM_ANT_003,91,22,20,20,20,1,pro,74,1.07,499.33
DOM_ANT_003,92,45,32,45,32,0,pro,74,0.99,503.08
DOM_ANT_003,93,33,49,33,33,1,pro,75,1.4,507.22
DOM_ANT_003,94,58,41,41,41,1,pro,76,1.18,511.19
DOM_ANT_003,95,22,36,36,36,1,pro,77,1.7,515.65
DOM_ANT_003,96,77,83,77,77,1,pro,78,1.13,519.55
DOM_ANT_003,97,62,68,62,62,1,pro,79,0.68,522.97
DOM_ANT_003,98,22,17,22,17,0,pro,79,1.54,527.24
DOM_ANT_003,99,18,29,18,18,1,pro,80,1.54,531.49
