id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
ELA_ABD_005,100,29,45,29,29,1,common,0,2.0,57.81
ELA_ABD_005,101,52,66,66,52,0,common,0,0.26,62.84
ELA_ABD_005,102,53,44,53,44,0,common,0,0.24,67.83
ELA_ABD_005,0,44,24,24,24,1,common,1,3.05,104.51
ELA_ABD_005,1,23,29,23,23,1,common,2,2.23,109.47
ELA_ABD_005,2,12,27,12,12,1,common,3,0.75,112.92
ELA_ABD_005,3,74,65,65,65,1,common,4,0.56,116.25
ELA_ABD_005,4,90,75,75,75,1,common,5,0.99,120.0
ELA_ABD_005,5,18,12,12,12,1,common,6,1.38,124.1
ELA_ABD_005,6,16,9,9,9,1,common,7,1.38,128.17
ELA_ABD_005,7,25,40,25,40,0,common,7,1.47,132.37
ELA_ABD_005,8,75,60,60,60,1,common,8,1.87,137.0
ELA_ABD_005,9,43,25,25,25,1,common,9,1.4,141.15
ELA_ABD_005,10,15,26,15,15,1,common,10,1.29,145.15
ELA_ABD_005,11,54,71,54,54,1,common,11,1.22,149.13
ELA_ABD_005,12,46,29,46,29,0,common,11,1.26,153.07
ELA_ABD_005,13,33,53,33,33,1,common,12,1.31,157.12
ELA_ABD_005,14,38,52,38,38,1,common,13,1.55,161.43
ELA_ABD_005,15,44,24,24,24,1,common,14,1.24,165.42
ELA_ABD_005,16,13,12,12,12,1,common,15,2.25,170.4
ELA_ABD_005,17,58,64,58,58,1,common,16,1.21,174.37
ELA_ABD_005,18,31,13,13,13,1,common,17,1.58,178.72
ELA_ABD_005,19,98,88,88,88,1,common,18,1.56,183.12
ELA_ABD_005,20,31,43,31,31,1,common,19,1.42,187.29
ELA_ABD_005,21,36,25,25,25,1,common,20,1.67,191.66
ELA_ABD_005,22,29,42,29,29,1,common,21,1.57,195.95
ELA_ABD_005,23,32,20,20,20,1,common,22,1.17,199.84
ELA_ABD_005,24,36,19,36,36,1,common,23,1.36,203.93
ELA_ABD_005,25,36,48,36,36,1,common,24,1.15,207.81
ELA_ABD_005,26,33,13,13,13,1,common,25,1.24,211.77
ELA_ABD_005,27,45,35,35,35,1,common,26,1.43,215.96
ELA_ABD_005,28,24,35,24,24,1,common,27,1.14,219.8
ELA_ABD_005,29,28,45,28,28,1,common,28,1.47,224.01
ELA_ABD_005,30,30,13,13,13,1,common,29,1.32,228.08
ELA_ABD_005,31,36,17,36,36,1,common,30,1.44,232.26
ELA_ABD_005,32,62,74,62,62,1,common,31,1.32,236.33
ELA_ABD_005,33,31,26,26,26,1,common,32,1.88,240.94
ELA_ABD_005,34,28,38,28,28,1,common,33,1.12,244.8
ELA_ABD_005,35,72,81,72,72,1,common,34,1.59,249.14
ELA_ABD_005,36,21,16,16,16,1,common,35,1.65,253.52
ELA_ABD_005,37,36,21,21,36,0,common,35,1.39,257.63
ELA_ABD_005,38,16,36,16,16,1,common,36,1.1,261.47
ELA_ABD_005,39,8,16,8,8,1,common,37,0.93,265.11
ELA_ABD_005,40,12,18,12,12,1,common,38,1.16,269.0
ELA_ABD_005,41,67,76,67,67,1,common,39,1.4,273.16
ELA_ABD_005,42,92,84,84,84,1,common,40,1.75,277.68
ELA_ABD_005,43,14,34,14,14,1,common,41,0.98,281.41
ELA_ABD_005,44,14,9,9,9,1,common,42,1.07,285.2
ELA_ABD_005,45,83,103,103,83,0,common,42,1.7,289.69
ELA_ABD_005,46,23,33,23,23,1,common,43,1.31,293.69
ELA_ABD_005,47,28,19,28,28,1,common,44,1.45,297.87
ELA_ABD_005,48,41,30,30,30,1,common,45,1.31,301.9
ELA_ABD_005,49,53,35,35,35,1,common,46,1.39,306.04
