id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
FLU_LUD_045,100,6,6,1,0,1.19,74.51
FLU_LUD_045,101,6,6,1,0,1.57,80.28
FLU_LUD_045,102,6,0,0,0,1.0,85.45
FLU_LUD_045,0,0,0,1,1,1.63,105.53
FLU_LUD_045,1,6,6,1,2,1.09,108.8
FLU_LUD_045,2,0,6,0,2,0.92,111.92
FLU_LUD_045,3,6,6,1,3,1.69,115.77
FLU_LUD_045,4,6,6,1,4,0.92,118.88
FLU_LUD_045,5,6,6,1,5,1.57,122.65
FLU_LUD_045,6,0,6,0,5,1.45,126.27
FLU_LUD_045,7,0,6,0,5,1.06,129.49
FLU_LUD_045,8,0,0,1,6,0.58,132.24
FLU_LUD_045,9,6,6,1,7,0.84,135.28
FLU_LUD_045,10,6,6,1,8,0.75,138.2
FLU_LUD_045,11,6,6,1,9,0.7,141.08
FLU_LUD_045,12,0,0,1,10,0.53,143.81
FLU_LUD_045,13,0,6,0,10,0.59,146.58
FLU_LUD_045,14,0,6,0,10,0.54,149.28
FLU_LUD_045,15,6,6,1,11,0.77,152.23
FLU_LUD_045,16,0,6,0,11,0.51,154.94
FLU_LUD_045,17,6,6,1,12,4.53,161.63
FLU_LUD_045,18,0,6,0,12,0.98,164.78
FLU_LUD_045,19,0,0,1,13,0.6,167.57
FLU_LUD_045,20,0,6,0,13,0.65,170.4
FLU_LUD_045,21,6,6,1,14,0.85,173.43
FLU_LUD_045,22,6,6,1,15,0.87,176.47
FLU_LUD_045,23,6,6,1,16,0.67,179.32
FLU_LUD_045,24,0,0,1,17,0.47,181.97
FLU_LUD_045,25,0,6,0,17,0.39,184.55
FLU_LUD_045,26,0,0,1,18,0.39,187.14
FLU_LUD_045,27,6,6,1,19,0.81,190.14
FLU_LUD_045,28,6,6,1,20,0.97,193.29
FLU_LUD_045,29,0,6,0,20,0.87,196.33
FLU_LUD_045,30,0,6,0,20,1.77,200.31
FLU_LUD_045,31,0,0,1,21,0.42,202.91
FLU_LUD_045,32,0,6,0,21,0.55,205.65
FLU_LUD_045,33,0,0,1,22,0.8,208.63
FLU_LUD_045,34,0,0,1,23,0.43,211.28
FLU_LUD_045,35,6,6,1,24,2.27,215.72
FLU_LUD_045,36,0,6,0,24,1.25,219.15
FLU_LUD_045,37,0,0,1,25,0.7,222.04
FLU_LUD_045,38,0,0,1,26,0.52,224.75
FLU_LUD_045,39,6,6,1,27,0.62,227.56
FLU_LUD_045,40,0,0,1,28,0.34,230.09
FLU_LUD_045,41,0,0,1,29,0.54,232.82
FLU_LUD_045,42,6,6,1,30,1.1,236.12
FLU_LUD_045,43,0,6,0,30,0.99,239.29
FLU_LUD_045,44,6,6,1,31,0.68,242.18
FLU_LUD_045,45,6,6,1,32,10.16,254.51
FLU_LUD_045,46,6,6,1,33,0.83,257.53
FLU_LUD_045,47,0,6,0,33,6.36,266.09
FLU_LUD_045,48,0,0,1,34,0.57,268.85
FLU_LUD_045,49,0,0,1,35,0.55,271.6
FLU_LUD_045,50,0,0,1,36,0.91,274.71
FLU_LUD_045,51,0,6,0,36,2.33,279.23
FLU_LUD_045,52,6,6,1,37,0.7,282.13
FLU_LUD_045,53,6,6,1,38,0.36,284.68
FLU_LUD_045,54,6,6,1,39,0.94,287.81
FLU_LUD_045,55,6,6,1,40,0.45,290.47
FLU_LUD_045,56,6,6,1,41,2.29,294.96
FLU_LUD_045,57,6,6,1,42,1.4,298.56
FLU_LUD_045,58,0,6,0,42,0.87,301.62
FLU_LUD_045,59,6,6,1,43,0.8,304.59
FLU_LUD_045,60,0,6,0,43,0.73,307.5
FLU_LUD_045,61,6,6,1,44,3.75,313.45
FLU_LUD_045,62,0,6,0,44,0.66,316.31
FLU_LUD_045,63,6,6,1,45,1.14,319.64
FLU_LUD_045,64,6,6,1,46,0.81,322.63
FLU_LUD_045,65,0,6,0,46,0.59,325.41
FLU_LUD_045,66,6,6,1,47,0.79,328.41
FLU_LUD_045,67,0,0,1,48,0.48,331.08
FLU_LUD_045,68,0,0,1,49,0.46,333.73
FLU_LUD_045,69,6,6,1,50,0.61,336.55
FLU_LUD_045,70,6,6,1,51,1.24,339.98
FLU_LUD_045,71,0,6,0,51,1.38,343.53
FLU_LUD_045,72,6,6,1,52,3.76,349.48
FLU_LUD_045,73,0,0,1,53,0.74,352.41
FLU_LUD_045,74,0,0,1,54,0.49,355.11
FLU_LUD_045,75,0,6,0,54,0.41,357.7
FLU_LUD_045,76,6,6,1,55,0.6,360.5
FLU_LUD_045,77,6,6,1,56,0.69,363.39
FLU_LUD_045,78,6,6,1,57,0.83,366.42
FLU_LUD_045,79,0,6,0,57,2.27,370.87
FLU_LUD_045,80,0,6,0,57,0.82,373.87
FLU_LUD_045,81,0,0,1,58,0.69,376.78
FLU_LUD_045,82,0,6,0,58,0.78,379.74
FLU_LUD_045,83,6,6,1,59,0.74,382.68
FLU_LUD_045,84,0,0,1,60,0.4,385.28
FLU_LUD_045,85,0,6,0,60,0.48,387.96
FLU_LUD_045,86,0,6,0,60,0.08,390.23
FLU_LUD_045,87,6,6,1,61,1.24,393.65
FLU_LUD_045,88,6,6,1,62,1.92,397.77
FLU_LUD_045,89,0,6,0,62,0.71,400.66
