id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
GAU_MAR_044,100,45,29,29,29,1,common,0,3.45,107.29
GAU_MAR_044,101,52,66,52,52,1,common,0,1.96,114.0
GAU_MAR_044,102,53,44,44,44,1,common,0,2.63,121.39
GAU_MAR_044,0,24,44,24,24,1,common,1,2.81,142.64
GAU_MAR_044,1,23,29,23,23,1,common,2,7.25,152.62
GAU_MAR_044,2,27,12,12,12,1,common,3,1.86,157.22
GAU_MAR_044,3,65,74,65,65,1,common,4,4.68,164.71
GAU_MAR_044,4,90,75,75,75,1,common,5,2.14,169.62
GAU_MAR_044,5,18,12,18,12,0,common,5,2.51,174.88
GAU_MAR_044,6,16,9,9,9,1,common,6,0.67,178.28
GAU_MAR_044,7,25,40,40,40,1,common,7,4.1,185.13
GAU_MAR_044,8,60,75,60,60,1,common,8,1.74,189.64
GAU_MAR_044,9,43,25,25,25,1,common,9,1.51,193.91
GAU_MAR_044,10,15,26,26,15,0,common,9,1.75,198.38
GAU_MAR_044,11,54,71,54,54,1,common,10,1.72,202.88
GAU_MAR_044,12,46,29,46,29,0,common,10,5.74,211.35
GAU_MAR_044,13,53,33,33,33,1,common,11,2.1,216.19
GAU_MAR_044,14,38,52,38,38,1,common,12,2.82,221.78
GAU_MAR_044,15,24,44,24,24,1,common,13,1.6,226.13
GAU_MAR_044,16,12,13,12,12,1,common,14,4.6,233.48
GAU_MAR_044,17,58,64,58,58,1,common,15,4.26,240.5
GAU_MAR_044,18,13,31,13,13,1,common,16,2.16,245.42
GAU_MAR_044,19,88,98,98,88,0,common,16,3.03,251.26
GAU_MAR_044,20,31,43,31,31,1,common,17,1.83,255.83
GAU_MAR_044,21,25,36,36,25,0,common,17,2.75,261.31
GAU_MAR_044,22,29,42,42,29,0,common,17,7.37,271.43
GAU_MAR_044,23,20,32,32,20,0,common,17,1.19,275.34
GAU_MAR_044,24,36,19,36,36,1,common,18,2.24,280.32
GAU_MAR_044,25,48,36,36,36,1,common,19,1.42,284.49
GAU_MAR_044,26,13,33,13,13,1,common,20,1.51,288.73
GAU_MAR_044,27,45,35,35,35,1,common,21,1.48,292.98
GAU_MAR_044,28,35,24,24,24,1,common,22,1.96,297.67
GAU_MAR_044,29,45,28,28,28,1,common,23,1.73,302.18
GAU_MAR_044,30,13,30,13,13,1,common,24,0.95,305.87
GAU_MAR_044,31,36,17,17,36,0,common,24,1.36,309.97
GAU_MAR_044,32,62,74,62,62,1,common,25,2.48,315.21
GAU_MAR_044,33,31,26,26,26,1,common,26,1.74,319.73
GAU_MAR_044,34,38,28,28,28,1,common,27,1.31,323.8
GAU_MAR_044,35,81,72,72,72,1,common,28,4.38,330.97
GAU_MAR_044,36,21,16,16,16,1,common,29,1.55,335.27
GAU_MAR_044,37,21,36,36,36,1,common,30,0.95,338.97
GAU_MAR_044,38,36,16,16,16,1,common,31,1.49,343.19
GAU_MAR_044,39,8,16,8,8,1,common,32,0.94,346.87
GAU_MAR_044,40,18,12,18,12,0,common,32,1.61,351.21
GAU_MAR_044,41,67,76,67,67,1,common,33,2.05,356.06
GAU_MAR_044,42,84,92,84,84,1,common,34,2.75,361.6
GAU_MAR_044,43,34,14,14,14,1,common,35,2.51,366.86
GAU_MAR_044,44,14,9,9,9,1,common,36,1.18,370.77
GAU_MAR_044,45,83,103,103,83,0,common,36,2.69,376.24
GAU_MAR_044,46,23,33,33,23,0,common,36,2.35,381.32
GAU_MAR_044,47,28,19,28,28,1,common,37,1.04,385.09
GAU_MAR_044,48,30,41,30,30,1,common,38,5.92,393.75
GAU_MAR_044,49,35,53,35,35,1,common,39,1.84,398.37
GAU_MAR_044,50,33,34,33,33,1,common,40,3.89,405.01
GAU_MAR_044,51,86,81,86,81,0,common,40,3.95,411.73
GAU_MAR_044,52,33,52,33,33,1,common,41,4.85,419.32
GAU_MAR_044,53,30,44,30,30,1,common,42,2.13,424.21
GAU_MAR_044,54,30,35,35,30,0,common,42,1.21,428.16
GAU_MAR_044,55,20,52,52,52,1,common,43,3.31,434.23
GAU_MAR_044,56,31,52,52,52,1,common,44,1.02,438.0
GAU_MAR_044,57,24,32,24,24,1,common,45,1.55,442.3
GAU_MAR_044,58,60,35,35,60,0,common,45,1.21,446.27
GAU_MAR_044,59,27,32,32,32,1,common,46,1.91,450.93
GAU_MAR_044,60,31,20,20,20,1,common,47,2.44,456.1
GAU_MAR_044,61,29,23,23,23,1,common,48,1.48,460.32
GAU_MAR_044,62,14,24,24,24,1,common,49,2.16,465.23
GAU_MAR_044,63,32,51,32,32,1,common,50,1.6,469.61
GAU_MAR_044,64,30,11,11,11,1,common,51,1.45,473.8
GAU_MAR_044,65,53,72,53,53,1,common,52,2.19,478.76
GAU_MAR_044,66,41,51,41,41,1,common,53,1.96,483.5
GAU_MAR_044,67,26,42,26,26,1,common,54,4.46,490.74
GAU_MAR_044,68,48,23,23,48,0,common,54,1.62,495.12
GAU_MAR_044,69,30,56,56,56,1,common,55,1.26,499.13
GAU_MAR_044,70,43,62,43,43,1,common,56,1.57,503.47
GAU_MAR_044,71,44,50,44,44,1,common,57,1.52,507.74
GAU_MAR_044,72,20,14,20,20,1,common,58,5.12,515.58
GAU_MAR_044,73,26,32,32,26,0,common,58,7.14,525.47
GAU_MAR_044,74,39,19,19,19,1,common,59,5.49,533.7
GAU_MAR_044,75,24,14,24,24,1,common,60,2.89,539.34
GAU_MAR_044,76,55,70,55,55,1,common,61,1.91,544.03
GAU_MAR_044,77,6,15,6,6,1,common,62,1.97,548.72
GAU_MAR_044,78,31,44,31,31,1,common,63,2.78,554.26
GAU_MAR_044,79,60,28,60,60,1,common,64,1.64,558.66
GAU_MAR_044,80,31,20,31,20,0,common,64,9.47,570.87
GAU_MAR_044,81,23,36,36,36,1,common,65,1.47,575.09
GAU_MAR_044,82,80,63,80,63,0,common,65,1.65,579.53
GAU_MAR_044,83,28,8,8,8,1,common,66,0.93,583.2
GAU_MAR_044,84,32,21,32,32,1,common,67,4.61,590.56
GAU_MAR_044,85,29,41,29,29,1,common,68,4.48,597.78
GAU_MAR_044,86,40,22,40,40,1,common,69,3.55,604.05
GAU_MAR_044,87,14,27,14,14,1,common,70,6.08,612.9
GAU_MAR_044,88,32,48,48,48,1,common,71,1.72,617.39
GAU_MAR_044,89,42,29,29,29,1,common,72,4.06,624.23
GAU_MAR_044,90,92,81,81,81,1,common,73,2.59,629.59
GAU_MAR_044,91,20,22,22,20,0,common,73,2.58,634.91
GAU_MAR_044,92,45,32,32,32,1,common,74,2.34,640.04
GAU_MAR_044,93,33,49,33,33,1,common,75,2.34,645.14
GAU_MAR_044,94,58,41,41,41,1,common,76,1.77,649.67
GAU_MAR_044,95,36,22,36,36,1,common,77,2.73,655.14
GAU_MAR_044,96,77,83,83,77,0,common,77,2.45,660.4
GAU_MAR_044,97,62,68,68,62,0,common,77,1.89,665.08
GAU_MAR_044,98,22,17,17,17,1,common,78,13.2,681.03
GAU_MAR_044,99,18,29,29,18,0,common,78,2.83,686.58
