id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
GIR_NAT_038,100,29,45,29,29,1,common,0,4.06,104.33
GIR_NAT_038,101,66,52,66,52,0,common,0,3.5,112.57
GIR_NAT_038,102,44,53,53,44,0,common,0,1.22,118.54
GIR_NAT_038,0,24,44,44,24,0,common,0,1.83,142.52
GIR_NAT_038,1,29,23,23,23,1,common,1,1.41,146.7
GIR_NAT_038,2,12,27,12,12,1,common,2,2.14,151.56
GIR_NAT_038,3,65,74,74,65,0,common,2,1.11,155.45
GIR_NAT_038,4,90,75,90,75,0,common,2,1.94,160.16
GIR_NAT_038,5,12,18,18,12,0,common,2,1.09,163.98
GIR_NAT_038,6,16,9,9,9,1,common,3,1.66,168.36
GIR_NAT_038,7,40,25,40,40,1,common,4,1.74,172.84
GIR_NAT_038,8,75,60,75,60,0,common,4,1.34,176.98
GIR_NAT_038,9,43,25,43,25,0,common,4,1.6,181.36
GIR_NAT_038,10,26,15,26,15,0,common,4,1.03,185.14
GIR_NAT_038,11,54,71,54,54,1,common,5,0.95,188.85
GIR_NAT_038,12,29,46,29,29,1,common,6,1.44,193.01
GIR_NAT_038,13,33,53,53,33,0,common,6,1.34,197.11
GIR_NAT_038,14,38,52,52,38,0,common,6,0.93,200.8
GIR_NAT_038,15,24,44,44,24,0,common,6,1.08,204.6
GIR_NAT_038,16,12,13,13,12,0,common,6,1.0,208.32
GIR_NAT_038,17,64,58,58,58,1,common,7,0.91,212.0
GIR_NAT_038,18,31,13,13,13,1,common,8,1.5,216.25
GIR_NAT_038,19,98,88,88,88,1,common,9,1.12,220.16
GIR_NAT_038,20,43,31,43,31,0,common,9,1.45,224.37
GIR_NAT_038,21,25,36,25,25,1,common,10,0.87,227.99
GIR_NAT_038,22,42,29,29,29,1,common,11,2.71,233.39
GIR_NAT_038,23,32,20,20,20,1,common,12,1.36,237.46
GIR_NAT_038,24,36,19,36,36,1,common,13,0.85,241.03
GIR_NAT_038,25,36,48,48,36,0,common,13,0.82,244.61
GIR_NAT_038,26,13,33,13,13,1,common,14,1.11,248.43
GIR_NAT_038,27,45,35,35,35,1,common,15,0.93,252.12
GIR_NAT_038,28,35,24,24,24,1,common,16,0.85,255.69
GIR_NAT_038,29,28,45,28,28,1,common,17,0.95,259.42
GIR_NAT_038,30,13,30,13,13,1,common,18,0.68,262.84
GIR_NAT_038,31,17,36,36,36,1,common,19,0.96,266.52
GIR_NAT_038,32,74,62,74,62,0,common,19,0.85,270.12
GIR_NAT_038,33,26,31,31,26,0,common,19,0.95,273.84
GIR_NAT_038,34,28,38,38,28,0,common,19,0.8,277.39
GIR_NAT_038,35,81,72,72,72,1,common,20,0.79,280.96
GIR_NAT_038,36,16,21,21,16,0,common,20,0.7,284.4
GIR_NAT_038,37,36,21,36,36,1,common,21,1.03,288.18
GIR_NAT_038,38,36,16,36,16,0,common,21,2.6,293.54
GIR_NAT_038,39,16,8,16,8,0,common,21,1.07,297.36
GIR_NAT_038,40,18,12,12,12,1,common,22,1.8,301.9
GIR_NAT_038,41,67,76,67,67,1,common,23,1.76,306.47
GIR_NAT_038,42,84,92,92,84,0,common,23,2.39,311.65
GIR_NAT_038,43,34,14,34,14,0,common,23,1.64,316.0
GIR_NAT_038,44,14,9,14,9,0,common,23,1.79,320.51
GIR_NAT_038,45,103,83,83,83,1,common,24,1.49,324.76
GIR_NAT_038,46,23,33,23,23,1,common,25,2.55,330.04
GIR_NAT_038,47,28,19,28,28,1,common,26,1.37,334.12
GIR_NAT_038,48,30,41,30,30,1,common,27,1.12,337.96
GIR_NAT_038,49,53,35,35,35,1,common,28,3.24,343.93
GIR_NAT_038,50,33,34,34,33,0,common,28,1.91,348.55
GIR_NAT_038,51,86,81,81,81,1,common,29,1.96,353.31
GIR_NAT_038,52,52,33,33,33,1,common,30,2.73,358.75
GIR_NAT_038,53,44,30,44,30,0,common,30,1.16,362.66
GIR_NAT_038,54,35,30,35,30,0,common,30,1.4,366.77
GIR_NAT_038,55,52,20,52,52,1,common,31,1.92,371.43
GIR_NAT_038,56,31,52,52,52,1,common,32,1.34,375.53
GIR_NAT_038,57,32,24,32,24,0,common,32,1.18,379.47
GIR_NAT_038,58,60,35,35,60,0,common,32,1.54,383.77
GIR_NAT_038,59,32,27,32,32,1,common,33,1.0,387.5
GIR_NAT_038,60,20,31,20,20,1,common,34,1.56,391.78
GIR_NAT_038,61,23,29,23,23,1,common,35,2.17,396.69
GIR_NAT_038,62,14,24,24,24,1,common,36,1.3,400.73
GIR_NAT_038,63,32,51,32,32,1,common,37,1.27,404.77
GIR_NAT_038,64,30,11,11,11,1,common,38,0.97,408.46
GIR_NAT_038,65,72,53,53,53,1,common,39,0.85,412.04
GIR_NAT_038,66,51,41,41,41,1,common,40,1.75,416.54
GIR_NAT_038,67,42,26,26,26,1,common,41,1.15,420.44
GIR_NAT_038,68,48,23,48,48,1,common,42,1.51,424.66
GIR_NAT_038,69,30,56,56,56,1,common,43,1.21,428.6
GIR_NAT_038,70,62,43,43,43,1,common,44,1.06,432.42
GIR_NAT_038,71,50,44,44,44,1,common,45,1.05,436.25
GIR_NAT_038,72,14,20,20,20,1,common,46,1.49,440.48
GIR_NAT_038,73,32,26,26,26,1,common,47,1.57,444.76
GIR_NAT_038,74,39,19,19,19,1,common,48,2.74,450.2
GIR_NAT_038,75,14,24,24,24,1,common,49,1.09,454.03
GIR_NAT_038,76,70,55,55,55,1,common,50,0.88,457.69
GIR_NAT_038,77,6,15,6,6,1,common,51,2.3,462.69
GIR_NAT_038,78,44,31,31,31,1,common,52,0.81,466.23
GIR_NAT_038,79,60,28,60,60,1,common,53,0.7,469.69
GIR_NAT_038,80,20,31,20,20,1,common,54,0.88,473.29
GIR_NAT_038,81,36,23,36,36,1,common,55,0.88,476.9
GIR_NAT_038,82,80,63,63,63,1,common,56,1.06,480.72
GIR_NAT_038,83,8,28,8,8,1,common,57,0.97,484.43
GIR_NAT_038,84,32,21,21,32,0,common,57,0.9,488.08
GIR_NAT_038,85,29,41,29,29,1,common,58,0.74,491.56
GIR_NAT_038,86,40,22,40,40,1,common,59,0.91,495.21
GIR_NAT_038,87,14,27,27,14,0,common,59,0.75,498.71
GIR_NAT_038,88,32,48,48,48,1,common,60,1.08,502.51
GIR_NAT_038,89,42,29,29,29,1,common,61,0.97,506.23
GIR_NAT_038,90,92,81,81,81,1,common,62,0.82,509.83
GIR_NAT_038,91,22,20,20,20,1,common,63,0.86,513.4
GIR_NAT_038,92,32,45,32,32,1,common,64,1.25,517.41
GIR_NAT_038,93,33,49,33,33,1,common,65,0.8,520.94
GIR_NAT_038,94,41,58,41,41,1,common,66,0.84,524.59
GIR_NAT_038,95,22,36,22,36,0,common,66,1.36,528.67
GIR_NAT_038,96,77,83,77,77,1,common,67,1.22,532.66
GIR_NAT_038,97,68,62,62,62,1,common,68,1.32,536.73
GIR_NAT_038,98,17,22,22,17,0,common,68,0.94,540.39
GIR_NAT_038,99,18,29,18,18,1,common,69,0.95,544.06
