id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
HAT_SEV_020,100,45,29,29,29,1,common,0,2.15,61.27
HAT_SEV_020,101,66,52,66,52,0,common,0,1.96,67.95
HAT_SEV_020,102,53,44,44,44,1,common,0,3.65,76.34
HAT_SEV_020,0,44,24,44,24,0,common,0,1.29,97.71
HAT_SEV_020,1,29,23,23,23,1,common,1,2.73,103.2
HAT_SEV_020,2,27,12,12,12,1,common,2,1.33,107.22
HAT_SEV_020,3,65,74,65,65,1,common,3,1.93,111.93
HAT_SEV_020,4,90,75,75,75,1,common,4,1.52,116.23
HAT_SEV_020,5,18,12,12,12,1,common,5,0.88,119.81
HAT_SEV_020,6,9,16,9,9,1,common,6,1.03,123.55
HAT_SEV_020,7,40,25,40,40,1,common,7,2.04,128.33
HAT_SEV_020,8,75,60,60,60,1,common,8,1.59,132.68
HAT_SEV_020,9,25,43,25,25,1,common,9,0.91,136.32
HAT_SEV_020,10,15,26,15,15,1,common,10,2.26,141.29
HAT_SEV_020,11,71,54,54,54,1,common,11,1.19,145.23
HAT_SEV_020,12,46,29,29,29,1,common,12,0.97,148.93
HAT_SEV_020,13,53,33,33,33,1,common,13,0.89,152.55
HAT_SEV_020,14,52,38,38,38,1,common,14,1.15,156.47
HAT_SEV_020,15,44,24,24,24,1,common,15,1.02,160.21
HAT_SEV_020,16,12,13,12,12,1,common,16,2.68,165.61
HAT_SEV_020,17,64,58,58,58,1,common,17,1.75,170.1
HAT_SEV_020,18,31,13,13,13,1,common,18,0.89,173.71
HAT_SEV_020,19,88,98,88,88,1,common,19,3.01,179.5
HAT_SEV_020,20,43,31,31,31,1,common,20,0.7,182.97
HAT_SEV_020,21,25,36,36,25,0,common,20,0.82,186.51
HAT_SEV_020,22,29,42,42,29,0,common,20,1.27,190.47
HAT_SEV_020,23,32,20,32,20,0,common,20,2.0,195.16
HAT_SEV_020,24,36,19,36,36,1,common,21,1.7,199.6
HAT_SEV_020,25,48,36,36,36,1,common,22,1.45,203.76
HAT_SEV_020,26,33,13,13,13,1,common,23,0.84,207.31
HAT_SEV_020,27,45,35,45,35,0,common,23,3.46,213.52
