id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
HAT_SEV_020,100,6,6,1,0,1.97,46.65
HAT_SEV_020,101,6,6,1,0,1.27,52.08
HAT_SEV_020,102,0,0,1,0,0.72,56.94
HAT_SEV_020,0,0,0,1,1,0.67,75.55
HAT_SEV_020,1,0,6,0,1,0.5,78.23
HAT_SEV_020,2,0,6,0,1,0.61,81.04
HAT_SEV_020,3,0,6,0,1,2.61,85.81
HAT_SEV_020,4,6,6,1,2,0.36,88.34
HAT_SEV_020,5,0,6,0,2,1.48,92.0
HAT_SEV_020,6,0,6,0,2,0.48,94.65
HAT_SEV_020,7,6,6,1,3,0.28,97.13
HAT_SEV_020,8,0,0,1,4,0.36,99.65
HAT_SEV_020,9,0,6,0,4,0.48,102.33
HAT_SEV_020,10,0,6,0,4,0.65,105.16
HAT_SEV_020,11,6,6,1,5,0.48,107.81
HAT_SEV_020,12,0,0,1,6,0.39,110.36
HAT_SEV_020,13,6,6,1,7,0.61,113.16
HAT_SEV_020,14,0,6,0,7,1.28,116.66
HAT_SEV_020,15,6,6,1,8,0.55,119.39
HAT_SEV_020,16,0,6,0,8,2.13,123.69
HAT_SEV_020,17,0,6,0,8,0.55,126.42
HAT_SEV_020,18,0,6,0,8,0.42,129.04
HAT_SEV_020,19,0,0,1,9,0.45,131.66
HAT_SEV_020,20,0,6,0,9,0.57,134.4
HAT_SEV_020,21,6,6,1,10,1.14,137.7
HAT_SEV_020,22,0,6,0,10,0.58,140.47
HAT_SEV_020,23,0,6,0,10,0.37,143.04
HAT_SEV_020,24,0,0,1,11,0.49,145.7
HAT_SEV_020,25,6,6,1,12,1.1,148.98
HAT_SEV_020,26,0,0,1,13,0.49,151.66
HAT_SEV_020,27,6,6,1,14,0.43,154.26
HAT_SEV_020,28,6,6,1,15,0.44,156.89
HAT_SEV_020,29,6,6,1,16,0.49,159.55
HAT_SEV_020,30,6,6,1,17,0.49,162.22
HAT_SEV_020,31,0,0,1,18,0.29,164.69
HAT_SEV_020,32,6,6,1,19,0.37,167.23
HAT_SEV_020,33,0,0,1,20,0.41,169.82
HAT_SEV_020,34,0,0,1,21,0.26,172.29
HAT_SEV_020,35,6,6,1,22,0.52,175.0
HAT_SEV_020,36,6,6,1,23,0.58,177.74
HAT_SEV_020,37,0,0,1,24,0.31,180.22
HAT_SEV_020,38,0,0,1,25,0.46,182.87
HAT_SEV_020,39,6,6,1,26,0.32,185.38
HAT_SEV_020,40,0,0,1,27,0.26,187.82
HAT_SEV_020,41,0,0,1,28,0.21,190.21
HAT_SEV_020,42,6,6,1,29,0.24,192.62
HAT_SEV_020,43,6,6,1,30,0.23,195.03
HAT_SEV_020,44,6,6,1,31,0.56,197.75
HAT_SEV_020,45,6,6,1,32,0.38,200.31
HAT_SEV_020,46,6,6,1,33,0.14,202.64
HAT_SEV_020,47,6,6,1,34,0.09,204.92
HAT_SEV_020,48,0,0,1,35,0.28,207.39
HAT_SEV_020,49,0,0,1,36,0.23,209.82
HAT_SEV_020,50,0,0,1,37,0.24,212.25
HAT_SEV_020,51,6,6,1,38,0.23,214.68
HAT_SEV_020,52,6,6,1,39,0.2,217.05
HAT_SEV_020,53,6,6,1,40,0.22,219.45
HAT_SEV_020,54,6,6,1,41,0.21,221.84
HAT_SEV_020,55,6,6,1,42,0.2,224.22
HAT_SEV_020,56,6,6,1,43,0.21,226.59
HAT_SEV_020,57,6,6,1,44,0.22,229.01
HAT_SEV_020,58,6,6,1,45,0.21,231.39
HAT_SEV_020,59,6,6,1,46,0.22,233.78
HAT_SEV_020,60,6,6,1,47,0.27,236.25
HAT_SEV_020,61,6,6,1,48,0.21,238.64
HAT_SEV_020,62,6,6,1,49,0.29,241.12
HAT_SEV_020,63,6,6,1,50,0.26,243.57
HAT_SEV_020,64,6,6,1,51,1.05,246.8
HAT_SEV_020,65,6,6,1,52,0.27,249.24
HAT_SEV_020,66,6,6,1,53,0.25,251.68
HAT_SEV_020,67,6,0,0,53,0.61,254.47
HAT_SEV_020,68,0,0,1,54,0.35,257.02
HAT_SEV_020,69,6,6,1,55,0.37,259.59
HAT_SEV_020,70,6,6,1,56,0.31,262.11
HAT_SEV_020,71,6,6,1,57,0.23,264.51
HAT_SEV_020,72,6,6,1,58,0.43,267.12
HAT_SEV_020,73,0,0,1,59,0.36,269.66
HAT_SEV_020,74,0,0,1,60,0.26,272.09
HAT_SEV_020,75,6,6,1,61,0.32,274.58
HAT_SEV_020,76,6,6,1,62,0.24,276.99
HAT_SEV_020,77,6,6,1,63,0.26,279.41
HAT_SEV_020,78,6,6,1,64,0.48,282.08
HAT_SEV_020,79,6,6,1,65,0.32,284.57
HAT_SEV_020,80,6,6,1,66,0.28,287.01
HAT_SEV_020,81,0,0,1,67,0.27,289.46
HAT_SEV_020,82,6,6,1,68,0.24,291.89
HAT_SEV_020,83,6,6,1,69,0.23,294.28
HAT_SEV_020,84,0,0,1,70,0.24,296.69
HAT_SEV_020,85,6,6,1,71,0.24,299.11
HAT_SEV_020,86,6,6,1,72,0.46,301.75
HAT_SEV_020,87,6,6,1,73,0.18,304.11
HAT_SEV_020,88,6,6,1,74,0.25,306.53
HAT_SEV_020,89,6,6,1,75,0.22,308.92
HAT_SEV_020,90,0,0,1,76,0.28,311.38
HAT_SEV_020,91,6,6,1,77,0.46,314.0
HAT_SEV_020,92,6,6,1,78,3.23,319.41
HAT_SEV_020,93,6,6,1,79,0.5,322.1
HAT_SEV_020,94,6,6,1,80,0.35,324.62
HAT_SEV_020,95,6,6,1,81,0.51,327.3
HAT_SEV_020,96,6,6,1,82,0.43,329.9
HAT_SEV_020,97,0,0,1,83,0.35,332.43
HAT_SEV_020,98,0,0,1,84,0.29,334.89
HAT_SEV_020,99,6,6,1,85,0.43,337.51
