id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
HIN_LAU_026,100,6,6,1,0,1.48,46.29
HIN_LAU_026,101,6,6,1,0,2.14,52.58
HIN_LAU_026,102,6,0,0,0,1.21,57.95
HIN_LAU_026,0,0,0,1,1,0.84,77.33
HIN_LAU_026,1,6,6,1,2,0.73,80.22
HIN_LAU_026,2,6,6,1,3,1.0,83.39
HIN_LAU_026,3,6,6,1,4,0.56,86.12
HIN_LAU_026,4,6,6,1,5,0.4,88.73
HIN_LAU_026,5,6,6,1,6,0.62,91.51
HIN_LAU_026,6,6,6,1,7,0.17,93.84
HIN_LAU_026,7,6,6,1,8,0.58,96.62
HIN_LAU_026,8,0,0,1,9,0.49,99.31
HIN_LAU_026,9,0,6,0,9,0.04,101.55
HIN_LAU_026,10,6,6,1,10,0.2,103.91
HIN_LAU_026,11,6,6,1,11,0.72,106.83
HIN_LAU_026,12,0,0,1,12,0.54,109.55
HIN_LAU_026,13,6,6,1,13,0.55,112.29
HIN_LAU_026,14,6,6,1,14,0.46,114.93
HIN_LAU_026,15,0,6,0,14,0.44,117.56
HIN_LAU_026,16,6,6,1,15,0.94,120.69
HIN_LAU_026,17,0,6,0,15,0.85,123.71
HIN_LAU_026,18,6,6,1,16,0.6,126.51
HIN_LAU_026,19,0,0,1,17,0.6,129.32
HIN_LAU_026,20,6,6,1,18,0.54,132.07
HIN_LAU_026,21,6,6,1,19,0.52,134.76
HIN_LAU_026,22,6,6,1,20,4.51,141.45
HIN_LAU_026,23,6,6,1,21,1.22,144.86
HIN_LAU_026,24,0,0,1,22,1.26,148.32
HIN_LAU_026,25,0,6,0,22,1.04,151.55
HIN_LAU_026,26,0,0,1,23,0.67,154.43
HIN_LAU_026,27,6,6,1,24,0.48,157.1
HIN_LAU_026,28,0,6,0,24,0.53,159.81
HIN_LAU_026,29,0,6,0,24,4.14,166.15
HIN_LAU_026,30,0,6,0,24,2.03,170.39
HIN_LAU_026,31,0,0,1,25,1.0,173.57
HIN_LAU_026,32,6,6,1,26,0.85,176.61
HIN_LAU_026,33,0,0,1,27,0.54,179.35
HIN_LAU_026,34,0,0,1,28,0.45,181.99
HIN_LAU_026,35,0,6,0,28,2.91,187.1
HIN_LAU_026,36,0,6,0,28,1.09,190.4
HIN_LAU_026,37,0,0,1,29,0.62,193.23
HIN_LAU_026,38,0,0,1,30,0.5,195.92
HIN_LAU_026,39,0,6,0,30,0.62,198.76
HIN_LAU_026,40,0,0,1,31,0.42,201.38
HIN_LAU_026,41,0,0,1,32,1.24,204.83
HIN_LAU_026,42,6,6,1,33,0.93,207.95
HIN_LAU_026,43,6,6,1,34,1.09,211.22
HIN_LAU_026,44,6,6,1,35,1.03,214.44
HIN_LAU_026,45,6,6,1,36,1.07,217.72
HIN_LAU_026,46,6,6,1,37,3.37,223.28
HIN_LAU_026,47,0,6,0,37,2.57,228.03
HIN_LAU_026,48,0,0,1,38,1.25,231.47
HIN_LAU_026,49,0,0,1,39,0.53,234.19
HIN_LAU_026,50,0,0,1,40,0.92,237.3
HIN_LAU_026,51,0,6,0,40,1.2,240.69
HIN_LAU_026,52,6,6,1,41,0.95,243.81
HIN_LAU_026,53,6,6,1,42,1.97,247.96
HIN_LAU_026,54,0,6,0,42,2.46,252.61
HIN_LAU_026,55,6,6,1,43,1.21,256.0
HIN_LAU_026,56,6,6,1,44,1.13,259.31
HIN_LAU_026,57,6,6,1,45,1.78,263.28
HIN_LAU_026,58,6,6,1,46,2.03,267.49
HIN_LAU_026,59,6,6,1,47,2.45,272.12
HIN_LAU_026,60,0,6,0,47,2.03,276.36
HIN_LAU_026,61,0,6,0,47,3.58,282.13
HIN_LAU_026,62,0,6,0,47,2.47,286.79
HIN_LAU_026,63,6,6,1,48,1.15,290.15
HIN_LAU_026,64,6,6,1,49,1.56,293.89
HIN_LAU_026,65,6,6,1,50,1.22,297.28
HIN_LAU_026,66,0,6,0,50,0.82,300.28
HIN_LAU_026,67,6,0,0,50,1.46,303.94
HIN_LAU_026,68,0,0,1,51,0.76,306.92
HIN_LAU_026,69,6,6,1,52,0.99,310.16
HIN_LAU_026,70,6,6,1,53,0.62,312.99
HIN_LAU_026,71,0,6,0,53,0.57,315.75
HIN_LAU_026,72,6,6,1,54,0.81,318.76
HIN_LAU_026,73,6,0,0,54,0.7,321.66
HIN_LAU_026,74,0,0,1,55,0.74,324.58
HIN_LAU_026,75,6,6,1,56,1.65,328.43
HIN_LAU_026,76,6,6,1,57,1.37,332.0
HIN_LAU_026,77,6,6,1,58,0.77,334.98
HIN_LAU_026,78,6,6,1,59,0.57,337.77
HIN_LAU_026,79,6,6,1,60,0.49,340.47
HIN_LAU_026,80,6,6,1,61,0.67,343.34
HIN_LAU_026,81,0,0,1,62,0.7,346.23
HIN_LAU_026,82,0,6,0,62,1.3,349.73
HIN_LAU_026,83,6,6,1,63,0.56,352.47
HIN_LAU_026,84,0,0,1,64,0.77,355.45
HIN_LAU_026,85,6,6,1,65,0.83,358.48
HIN_LAU_026,86,6,6,1,66,0.58,361.26
HIN_LAU_026,87,0,6,0,66,0.83,364.3
HIN_LAU_026,88,6,6,1,67,0.43,366.92
HIN_LAU_026,89,6,6,1,68,1.35,370.48
HIN_LAU_026,90,0,0,1,69,0.5,373.18
HIN_LAU_026,91,0,6,0,69,0.72,376.1
HIN_LAU_026,92,0,6,0,69,0.87,379.16
HIN_LAU_026,93,0,6,0,69,1.23,382.57
HIN_LAU_026,94,6,6,1,70,0.42,385.2
HIN_LAU_026,95,6,6,1,71,0.89,388.28
HIN_LAU_026,96,6,6,1,72,0.7,391.17
HIN_LAU_026,97,0,0,1,73,0.29,393.67
HIN_LAU_026,98,0,0,1,74,1.88,397.75
HIN_LAU_026,99,0,6,0,74,2.17,402.15
