id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
JAK_FRA_032,100,6,6,1,0,3.21,52.63
JAK_FRA_032,101,6,6,1,0,2.15,58.96
JAK_FRA_032,102,6,0,0,0,2.55,65.71
JAK_FRA_032,0,0,0,1,1,4.41,87.34
JAK_FRA_032,1,6,6,1,2,2.6,92.14
JAK_FRA_032,2,6,6,1,3,3.03,97.35
JAK_FRA_032,3,0,6,0,3,1.88,101.4
JAK_FRA_032,4,0,6,0,3,0.89,104.48
JAK_FRA_032,5,6,6,1,4,1.99,108.66
JAK_FRA_032,6,0,6,0,4,1.67,112.53
JAK_FRA_032,7,6,6,1,5,1.33,116.04
JAK_FRA_032,8,0,0,1,6,1.11,119.35
JAK_FRA_032,9,0,6,0,6,1.22,122.78
JAK_FRA_032,10,0,6,0,6,1.65,126.62
JAK_FRA_032,11,6,6,1,7,1.03,129.82
JAK_FRA_032,12,0,0,1,8,0.65,132.67
JAK_FRA_032,13,6,6,1,9,1.01,135.87
JAK_FRA_032,14,6,6,1,10,0.75,138.82
JAK_FRA_032,15,6,6,1,11,1.39,142.41
JAK_FRA_032,16,6,6,1,12,0.78,145.39
JAK_FRA_032,17,6,6,1,13,0.67,148.28
JAK_FRA_032,18,0,6,0,13,0.68,151.17
JAK_FRA_032,19,0,0,1,14,1.18,154.56
JAK_FRA_032,20,6,6,1,15,1.32,158.06
JAK_FRA_032,21,6,6,1,16,4.14,164.39
JAK_FRA_032,22,0,6,0,16,1.47,168.06
JAK_FRA_032,23,6,6,1,17,1.03,171.27
JAK_FRA_032,24,0,0,1,18,1.11,174.57
JAK_FRA_032,25,6,6,1,19,1.49,178.25
JAK_FRA_032,26,0,0,1,20,0.74,181.19
JAK_FRA_032,27,0,6,0,20,1.54,184.93
JAK_FRA_032,28,6,6,1,21,1.34,188.46
JAK_FRA_032,29,6,6,1,22,1.63,192.28
JAK_FRA_032,30,6,6,1,23,0.18,194.62
JAK_FRA_032,31,0,0,1,24,0.73,197.57
JAK_FRA_032,32,6,6,1,25,0.72,200.5
JAK_FRA_032,33,0,0,1,26,0.32,203.01
JAK_FRA_032,34,0,0,1,27,0.88,206.07
JAK_FRA_032,35,6,6,1,28,2.05,210.31
JAK_FRA_032,36,0,6,0,28,0.55,213.04
JAK_FRA_032,37,6,0,0,28,1.13,216.37
JAK_FRA_032,38,6,0,0,28,0.43,219.02
JAK_FRA_032,39,0,6,0,28,2.54,223.76
JAK_FRA_032,40,0,0,1,29,1.07,227.03
JAK_FRA_032,41,0,0,1,30,1.82,231.08
JAK_FRA_032,42,6,6,1,31,1.0,234.28
JAK_FRA_032,43,6,6,1,32,2.95,239.43
JAK_FRA_032,44,6,6,1,33,0.82,242.44
