id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
JAL_MAE_061,100,29,45,29,29,1,common,0,7.22,69.05
JAL_MAE_061,101,52,66,52,52,1,common,0,4.65,78.45
JAL_MAE_061,102,44,53,53,44,0,common,0,5.71,88.91
JAL_MAE_061,0,24,44,24,24,1,common,1,5.34,113.52
JAL_MAE_061,1,23,29,23,23,1,common,2,4.01,120.33
JAL_MAE_061,2,12,27,12,12,1,common,3,2.75,125.81
JAL_MAE_061,3,65,74,65,65,1,common,4,4.4,133.0
JAL_MAE_061,4,75,90,75,75,1,common,5,4.75,140.51
JAL_MAE_061,5,18,12,12,12,1,common,6,6.4,149.66
JAL_MAE_061,6,16,9,9,9,1,common,7,2.55,154.96
JAL_MAE_061,7,40,25,40,40,1,common,8,3.78,161.49
JAL_MAE_061,8,75,60,60,60,1,common,9,3.34,167.59
JAL_MAE_061,9,43,25,25,25,1,common,10,6.65,176.98
JAL_MAE_061,10,26,15,15,15,1,common,11,3.41,183.13
JAL_MAE_061,11,71,54,54,54,1,common,12,2.25,188.15
JAL_MAE_061,12,29,46,29,29,1,common,13,3.44,194.32
JAL_MAE_061,13,33,53,33,33,1,common,14,3.36,200.41
JAL_MAE_061,14,38,52,38,38,1,common,15,3.8,206.98
JAL_MAE_061,15,24,44,24,24,1,common,16,3.13,212.86
JAL_MAE_061,16,12,13,12,12,1,common,17,5.99,221.59
JAL_MAE_061,17,58,64,64,58,0,common,17,6.06,230.42
JAL_MAE_061,18,31,13,13,13,1,common,18,3.61,236.79
JAL_MAE_061,19,88,98,88,88,1,common,19,3.17,242.75
JAL_MAE_061,20,43,31,31,31,1,common,20,4.11,249.63
JAL_MAE_061,21,25,36,25,25,1,common,21,2.41,254.77
JAL_MAE_061,22,29,42,29,29,1,common,22,3.3,260.82
JAL_MAE_061,23,20,32,20,20,1,common,23,2.37,265.92
JAL_MAE_061,24,36,19,36,36,1,common,24,5.07,273.72
JAL_MAE_061,25,36,48,36,36,1,common,25,2.37,278.84
JAL_MAE_061,26,33,13,13,13,1,common,26,2.83,284.42
JAL_MAE_061,27,45,35,35,35,1,common,27,2.61,289.81
JAL_MAE_061,28,24,35,24,24,1,common,28,3.11,295.65
JAL_MAE_061,29,28,45,28,28,1,common,29,3.5,301.92
JAL_MAE_061,30,30,13,13,13,1,common,30,2.15,306.82
JAL_MAE_061,31,36,17,36,36,1,common,31,2.97,312.57
JAL_MAE_061,32,74,62,62,62,1,common,32,2.27,317.62
JAL_MAE_061,33,26,31,26,26,1,common,33,3.49,323.85
JAL_MAE_061,34,38,28,28,28,1,common,34,2.05,328.67
JAL_MAE_061,35,81,72,72,72,1,common,35,2.74,334.21
JAL_MAE_061,36,21,16,16,16,1,common,36,2.81,339.76
JAL_MAE_061,37,21,36,36,36,1,common,37,2.84,345.36
JAL_MAE_061,38,16,36,16,16,1,common,38,3.28,351.38
JAL_MAE_061,39,16,8,8,8,1,common,39,1.88,355.94
JAL_MAE_061,40,12,18,12,12,1,common,40,2.36,361.03
JAL_MAE_061,41,67,76,67,67,1,common,41,2.9,366.68
JAL_MAE_061,42,92,84,84,84,1,common,42,1.9,371.35
JAL_MAE_061,43,34,14,14,14,1,common,43,2.46,376.56
JAL_MAE_061,44,9,14,9,9,1,common,44,4.94,384.23
JAL_MAE_061,45,83,103,83,83,1,common,45,3.19,390.19
JAL_MAE_061,46,33,23,23,23,1,common,46,4.03,396.95
JAL_MAE_061,47,28,19,28,28,1,common,47,9.99,409.69
JAL_MAE_061,48,41,30,30,30,1,common,48,2.19,414.61
JAL_MAE_061,49,35,53,35,35,1,common,49,2.79,420.16
JAL_MAE_061,50,33,34,33,33,1,pro,50,7.09,429.99
JAL_MAE_061,51,86,81,81,81,1,pro,51,2.94,435.71
JAL_MAE_061,52,33,52,33,33,1,pro,52,2.94,441.41
JAL_MAE_061,53,30,44,30,30,1,pro,53,1.76,445.93
JAL_MAE_061,54,35,30,30,30,1,pro,54,5.72,454.35
JAL_MAE_061,55,20,52,52,52,1,pro,55,4.67,461.79
JAL_MAE_061,56,31,52,52,52,1,pro,56,2.23,466.78
JAL_MAE_061,57,32,24,24,24,1,pro,57,4.36,473.87
JAL_MAE_061,58,35,60,60,60,1,pro,58,3.64,480.23
JAL_MAE_061,59,27,32,32,32,1,pro,59,2.86,485.88
JAL_MAE_061,60,31,20,20,20,1,pro,60,2.25,490.89
JAL_MAE_061,61,29,23,23,23,1,pro,61,3.65,497.35
JAL_MAE_061,62,14,24,24,24,1,pro,62,4.09,504.17
JAL_MAE_061,63,51,32,32,32,1,pro,63,2.61,509.58
JAL_MAE_061,64,30,11,11,11,1,pro,64,3.22,515.52
JAL_MAE_061,65,53,72,53,53,1,pro,65,3.19,521.5
JAL_MAE_061,66,51,41,41,41,1,pro,66,2.0,526.22
JAL_MAE_061,67,26,42,26,26,1,pro,67,2.92,531.91
JAL_MAE_061,68,48,23,48,48,1,pro,68,5.34,540.01
JAL_MAE_061,69,56,30,56,56,1,pro,69,3.74,546.49
JAL_MAE_061,70,62,43,43,43,1,pro,70,2.36,551.61
JAL_MAE_061,71,50,44,44,44,1,pro,71,1.84,556.24
JAL_MAE_061,72,20,14,20,20,1,pro,72,4.31,563.3
JAL_MAE_061,73,32,26,26,26,1,pro,73,2.34,568.36
JAL_MAE_061,74,19,39,19,19,1,pro,74,3.31,574.39
JAL_MAE_061,75,24,14,24,24,1,pro,75,4.94,582.07
JAL_MAE_061,76,55,70,55,55,1,pro,76,2.21,587.05
JAL_MAE_061,77,6,15,6,6,1,pro,77,1.85,591.6
JAL_MAE_061,78,44,31,31,31,1,pro,78,1.71,596.06
JAL_MAE_061,79,60,28,60,60,1,pro,79,2.72,601.54
JAL_MAE_061,80,31,20,20,20,1,pro,80,2.4,606.67
JAL_MAE_061,81,23,36,36,36,1,pro,81,3.28,612.72
JAL_MAE_061,82,80,63,63,63,1,pro,82,1.82,617.32
JAL_MAE_061,83,8,28,8,8,1,pro,83,2.01,622.08
JAL_MAE_061,84,32,21,21,32,0,pro,83,9.34,634.18
JAL_MAE_061,85,29,41,29,29,1,pro,84,3.36,640.27
JAL_MAE_061,86,22,40,40,40,1,pro,85,2.39,645.42
JAL_MAE_061,87,14,27,14,14,1,pro,86,2.49,650.68
JAL_MAE_061,88,32,48,48,48,1,pro,87,6.49,659.91
JAL_MAE_061,89,29,42,29,29,1,pro,88,2.86,665.53
JAL_MAE_061,90,81,92,81,81,1,pro,89,2.42,670.73
JAL_MAE_061,91,20,22,20,20,1,pro,90,3.66,677.14
JAL_MAE_061,92,32,45,32,32,1,pro,91,1.93,681.84
JAL_MAE_061,93,49,33,33,33,1,pro,92,11.22,695.81
JAL_MAE_061,94,41,58,41,41,1,pro,93,2.89,701.48
JAL_MAE_061,95,36,22,36,36,1,pro,94,6.54,710.75
JAL_MAE_061,96,77,83,77,77,1,pro,95,2.47,716.03
JAL_MAE_061,97,62,68,62,62,1,pro,96,1.99,720.82
JAL_MAE_061,98,22,17,17,17,1,pro,97,3.32,726.87
JAL_MAE_061,99,29,18,18,18,1,pro,98,2.63,732.22
