id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
JAL_MAE_061,100,6,6,1,0,1.91,35.17
JAL_MAE_061,101,6,6,1,0,1.39,40.71
JAL_MAE_061,102,6,0,0,0,2.02,46.88
JAL_MAE_061,0,0,0,1,1,5.17,72.06
JAL_MAE_061,1,6,6,1,2,1.64,75.9
JAL_MAE_061,2,6,6,1,3,0.95,79.04
JAL_MAE_061,3,6,6,1,4,1.11,82.33
JAL_MAE_061,4,6,6,1,5,2.0,86.49
JAL_MAE_061,5,6,6,1,6,1.9,90.58
JAL_MAE_061,6,6,6,1,7,0.89,93.65
JAL_MAE_061,7,6,6,1,8,1.11,96.94
JAL_MAE_061,8,0,0,1,9,1.78,100.94
JAL_MAE_061,9,6,6,1,10,0.88,104.02
JAL_MAE_061,10,6,6,1,11,0.98,107.17
JAL_MAE_061,11,0,6,0,11,4.4,113.77
JAL_MAE_061,12,0,0,1,12,1.23,117.2
JAL_MAE_061,13,6,6,1,13,0.89,120.31
JAL_MAE_061,14,6,6,1,14,0.95,123.45
JAL_MAE_061,15,6,6,1,15,1.16,126.79
JAL_MAE_061,16,6,6,1,16,1.74,130.7
JAL_MAE_061,17,6,6,1,17,1.4,134.29
JAL_MAE_061,18,6,6,1,18,1.54,138.0
JAL_MAE_061,19,0,0,1,19,1.49,141.66
JAL_MAE_061,20,6,6,1,20,1.03,144.87
JAL_MAE_061,21,6,6,1,21,0.8,147.86
JAL_MAE_061,22,6,6,1,22,1.36,151.4
JAL_MAE_061,23,0,6,0,22,4.09,157.69
JAL_MAE_061,24,0,0,1,23,1.18,161.06
JAL_MAE_061,25,0,6,0,23,4.83,168.1
JAL_MAE_061,26,0,0,1,24,0.94,171.23
JAL_MAE_061,27,6,6,1,25,0.84,174.28
JAL_MAE_061,28,6,6,1,26,1.1,177.56
JAL_MAE_061,29,6,6,1,27,0.95,180.7
JAL_MAE_061,30,6,6,1,28,0.87,183.74
JAL_MAE_061,31,0,0,1,29,2.31,188.24
JAL_MAE_061,32,6,6,1,30,0.67,191.11
JAL_MAE_061,33,0,0,1,31,1.59,194.88
JAL_MAE_061,34,0,0,1,32,0.96,198.04
JAL_MAE_061,35,6,6,1,33,1.12,201.35
JAL_MAE_061,36,6,6,1,34,0.85,204.39
JAL_MAE_061,37,0,0,1,35,1.35,207.96
JAL_MAE_061,38,0,0,1,36,0.76,210.92
JAL_MAE_061,39,6,6,1,37,1.46,214.57
JAL_MAE_061,40,0,0,1,38,0.9,217.68
JAL_MAE_061,41,0,0,1,39,1.17,221.03
JAL_MAE_061,42,6,6,1,40,1.88,225.1
JAL_MAE_061,43,6,6,1,41,1.05,228.35
JAL_MAE_061,44,6,6,1,42,0.79,231.32
JAL_MAE_061,45,6,6,1,43,0.91,234.4
JAL_MAE_061,46,6,6,1,44,0.84,237.44
JAL_MAE_061,47,0,6,0,44,1.8,241.43
JAL_MAE_061,48,0,0,1,45,0.88,244.53
JAL_MAE_061,49,0,0,1,46,0.89,247.64
JAL_MAE_061,50,0,0,1,47,0.74,250.57
JAL_MAE_061,51,6,6,1,48,1.44,254.21
JAL_MAE_061,52,6,6,1,49,0.84,257.25
JAL_MAE_061,53,6,6,1,50,1.15,260.57
JAL_MAE_061,54,6,6,1,51,0.8,263.56
JAL_MAE_061,55,6,6,1,52,0.78,266.53
JAL_MAE_061,56,6,6,1,53,3.45,272.16
JAL_MAE_061,57,6,6,1,54,0.78,275.13
JAL_MAE_061,58,6,6,1,55,0.99,278.3
JAL_MAE_061,59,6,6,1,56,1.01,281.52
JAL_MAE_061,60,6,6,1,57,1.01,284.72
JAL_MAE_061,61,6,6,1,58,0.62,287.52
JAL_MAE_061,62,6,6,1,59,0.76,290.49
JAL_MAE_061,63,6,6,1,60,0.99,293.69
JAL_MAE_061,64,6,6,1,61,1.16,297.02
JAL_MAE_061,65,6,6,1,62,0.82,300.05
JAL_MAE_061,66,6,6,1,63,1.05,303.29
JAL_MAE_061,67,6,0,0,63,0.81,306.29
JAL_MAE_061,68,0,0,1,64,1.02,309.5
JAL_MAE_061,69,6,6,1,65,2.47,314.15
JAL_MAE_061,70,6,6,1,66,0.83,317.16
JAL_MAE_061,71,6,6,1,67,1.52,320.87
JAL_MAE_061,72,6,6,1,68,1.28,324.36
JAL_MAE_061,73,0,0,1,69,0.96,327.51
JAL_MAE_061,74,0,0,1,70,0.65,330.35
JAL_MAE_061,75,6,6,1,71,1.49,334.02
JAL_MAE_061,76,6,6,1,72,1.73,337.94
JAL_MAE_061,77,6,6,1,73,3.24,343.39
JAL_MAE_061,78,6,6,1,74,0.73,346.31
JAL_MAE_061,79,6,6,1,75,0.63,349.13
JAL_MAE_061,80,6,6,1,76,1.01,352.33
JAL_MAE_061,81,0,0,1,77,0.58,355.13
JAL_MAE_061,82,6,6,1,78,0.84,358.16
JAL_MAE_061,83,6,6,1,79,0.79,361.14
JAL_MAE_061,84,0,0,1,80,1.05,364.39
JAL_MAE_061,85,6,6,1,81,1.19,367.77
JAL_MAE_061,86,6,6,1,82,0.81,370.77
JAL_MAE_061,87,6,6,1,83,0.67,373.64
JAL_MAE_061,88,6,6,1,84,0.78,376.61
JAL_MAE_061,89,6,6,1,85,0.66,379.46
JAL_MAE_061,90,0,0,1,86,0.75,382.44
JAL_MAE_061,91,6,6,1,87,0.89,385.52
JAL_MAE_061,92,6,6,1,88,0.84,388.55
JAL_MAE_061,93,6,6,1,89,0.67,391.41
JAL_MAE_061,94,6,6,1,90,1.03,394.62
JAL_MAE_061,95,6,6,1,91,0.78,397.59
JAL_MAE_061,96,6,6,1,92,0.65,400.44
JAL_MAE_061,97,0,0,1,93,0.71,403.38
JAL_MAE_061,98,0,0,1,94,0.81,406.37
JAL_MAE_061,99,6,6,1,95,1.03,409.61
