id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
JOU_FRA_024,100,29,45,29,29,1,common,0,1.66,1505.97
JOU_FRA_024,101,52,66,52,52,1,common,0,2.55,1513.3
JOU_FRA_024,102,53,44,53,44,0,common,0,2.34,1520.41
JOU_FRA_024,0,24,44,24,24,1,common,1,1.31,1540.96
JOU_FRA_024,1,29,23,29,23,0,common,1,0.96,1544.72
JOU_FRA_024,2,12,27,12,12,1,common,2,1.72,1549.21
JOU_FRA_024,3,65,74,74,65,0,common,2,0.82,1552.82
JOU_FRA_024,4,90,75,90,75,0,common,2,1.56,1557.19
JOU_FRA_024,5,12,18,12,12,1,common,3,1.95,1561.87
JOU_FRA_024,6,9,16,9,9,1,common,4,0.76,1565.36
JOU_FRA_024,7,25,40,40,40,1,common,5,2.88,1571.03
JOU_FRA_024,8,60,75,75,60,0,common,5,1.76,1575.6
JOU_FRA_024,9,25,43,25,25,1,common,6,0.7,1579.07
JOU_FRA_024,10,15,26,15,15,1,common,7,1.0,1582.82
JOU_FRA_024,11,71,54,54,54,1,common,8,1.45,1587.07
JOU_FRA_024,12,29,46,46,29,0,common,8,3.4,1593.19
JOU_FRA_024,13,53,33,53,33,0,common,8,1.91,1597.88
JOU_FRA_024,14,52,38,52,38,0,common,8,1.45,1602.1
JOU_FRA_024,15,24,44,24,24,1,common,9,2.04,1606.93
JOU_FRA_024,16,13,12,13,12,0,common,9,2.48,1612.15
JOU_FRA_024,17,64,58,58,58,1,common,10,2.66,1617.63
JOU_FRA_024,18,13,31,13,13,1,common,11,1.24,1621.61
JOU_FRA_024,19,98,88,98,88,0,common,11,1.67,1626.1
JOU_FRA_024,20,31,43,43,31,0,common,11,1.76,1630.64
JOU_FRA_024,21,25,36,36,25,0,common,11,4.47,1637.88
JOU_FRA_024,22,42,29,42,29,0,common,11,0.79,1641.41
JOU_FRA_024,23,20,32,32,20,0,common,11,1.34,1645.53
JOU_FRA_024,24,36,19,36,36,1,common,12,1.55,1649.89
JOU_FRA_024,25,36,48,36,36,1,common,13,1.35,1654.03
JOU_FRA_024,26,13,33,13,13,1,common,14,1.08,1657.85
