id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
JOU_MAT_043,100,29,45,45,29,0,common,0,5.52,81.11
JOU_MAT_043,101,66,52,52,52,1,common,0,4.62,90.47
JOU_MAT_043,102,53,44,44,44,1,common,0,1.6,96.82
JOU_MAT_043,0,44,24,24,24,1,common,1,2.6,116.66
JOU_MAT_043,1,23,29,29,23,0,common,1,2.17,121.59
JOU_MAT_043,2,12,27,12,12,1,common,2,3.07,127.37
JOU_MAT_043,3,65,74,65,65,1,common,3,1.75,131.9
JOU_MAT_043,4,90,75,75,75,1,common,4,6.58,141.24
JOU_MAT_043,5,18,12,12,12,1,common,5,2.03,145.98
JOU_MAT_043,6,16,9,9,9,1,common,6,0.64,149.32
JOU_MAT_043,7,40,25,40,40,1,common,7,5.7,157.74
JOU_MAT_043,8,75,60,75,60,0,common,7,1.34,161.85
JOU_MAT_043,9,25,43,25,25,1,common,8,5.68,170.25
JOU_MAT_043,10,15,26,15,15,1,common,9,3.67,176.63
JOU_MAT_043,11,71,54,54,54,1,common,10,1.12,180.52
JOU_MAT_043,12,29,46,29,29,1,common,11,1.89,185.14
JOU_MAT_043,13,33,53,53,33,0,common,11,6.76,194.63
JOU_MAT_043,14,38,52,52,38,0,common,11,1.93,199.31
JOU_MAT_043,15,24,44,24,24,1,common,12,4.12,206.17
JOU_MAT_043,16,12,13,12,12,1,common,13,1.96,210.85
JOU_MAT_043,17,58,64,64,58,0,common,13,1.6,215.21
JOU_MAT_043,18,13,31,13,13,1,common,14,2.01,219.94
JOU_MAT_043,19,98,88,98,88,0,common,14,1.28,223.98
JOU_MAT_043,20,43,31,43,31,0,common,14,3.41,230.14
JOU_MAT_043,21,36,25,25,25,1,common,15,2.05,234.9
JOU_MAT_043,22,42,29,42,29,0,common,15,5.31,242.93
JOU_MAT_043,23,32,20,20,20,1,common,16,1.8,247.42
JOU_MAT_043,24,19,36,36,36,1,common,17,1.66,251.81
JOU_MAT_043,25,48,36,36,36,1,common,18,0.84,255.39
JOU_MAT_043,26,13,33,13,13,1,common,19,1.23,259.35
JOU_MAT_043,27,45,35,35,35,1,common,20,0.87,262.95
JOU_MAT_043,28,35,24,24,24,1,common,21,2.35,268.0
JOU_MAT_043,29,45,28,28,28,1,common,22,0.78,271.5
JOU_MAT_043,30,13,30,13,13,1,common,23,1.15,275.37
JOU_MAT_043,31,36,17,36,36,1,common,24,2.16,280.25
JOU_MAT_043,32,74,62,62,62,1,common,25,1.8,284.79
JOU_MAT_043,33,31,26,31,26,0,common,25,2.93,290.42
JOU_MAT_043,34,38,28,38,28,0,common,25,4.14,297.3
JOU_MAT_043,35,72,81,81,72,0,common,25,1.12,301.19
JOU_MAT_043,36,21,16,16,16,1,common,26,5.87,309.79
JOU_MAT_043,37,36,21,36,36,1,common,27,1.28,313.77
JOU_MAT_043,38,36,16,36,16,0,common,27,5.26,321.75
JOU_MAT_043,39,16,8,8,8,1,common,28,1.52,325.99
JOU_MAT_043,40,12,18,12,12,1,common,29,2.98,331.68
JOU_MAT_043,41,76,67,67,67,1,common,30,1.07,335.5
JOU_MAT_043,42,84,92,92,84,0,common,30,1.21,339.49
JOU_MAT_043,43,34,14,34,14,0,common,30,1.31,343.55
JOU_MAT_043,44,9,14,9,9,1,common,31,0.81,347.1
JOU_MAT_043,45,83,103,83,83,1,common,32,2.01,351.87
JOU_MAT_043,46,33,23,33,23,0,common,32,2.92,357.5
JOU_MAT_043,47,28,19,28,28,1,common,33,1.58,361.82
JOU_MAT_043,48,41,30,41,30,0,common,33,1.56,366.08
JOU_MAT_043,49,53,35,35,35,1,common,34,4.05,372.87
JOU_MAT_043,50,34,33,34,33,0,common,34,2.22,377.81
JOU_MAT_043,51,86,81,81,81,1,common,35,2.81,383.38
JOU_MAT_043,52,33,52,52,33,0,common,35,2.07,388.17
JOU_MAT_043,53,44,30,44,30,0,common,35,6.99,397.91
JOU_MAT_043,54,30,35,35,30,0,common,35,1.49,402.11
