id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
KAD_MOH_023,100,45,29,29,29,1,common,0,1.95,30.72
KAD_MOH_023,101,66,52,52,52,1,common,0,3.38,38.85
KAD_MOH_023,102,53,44,44,44,1,common,0,1.38,44.98
KAD_MOH_023,0,44,24,44,24,0,common,0,5.69,69.3
KAD_MOH_023,1,23,29,23,23,1,common,1,7.94,80.0
KAD_MOH_023,2,12,27,12,12,1,common,2,5.34,88.06
KAD_MOH_023,3,74,65,74,65,0,common,2,4.65,95.48
KAD_MOH_023,4,75,90,75,75,1,common,3,4.45,102.68
KAD_MOH_023,5,18,12,12,12,1,common,4,3.7,109.09
KAD_MOH_023,6,9,16,9,9,1,common,5,7.57,119.37
KAD_MOH_023,7,40,25,25,40,0,common,5,8.69,130.79
KAD_MOH_023,8,60,75,60,60,1,common,6,1.37,134.94
KAD_MOH_023,9,25,43,25,25,1,common,7,1.18,138.83
KAD_MOH_023,10,26,15,15,15,1,common,8,2.91,144.44
KAD_MOH_023,11,71,54,54,54,1,common,9,1.33,148.52
KAD_MOH_023,12,46,29,29,29,1,common,10,5.04,156.25
KAD_MOH_023,13,53,33,33,33,1,common,11,7.61,166.58
KAD_MOH_023,14,38,52,38,38,1,common,12,1.18,170.51
KAD_MOH_023,15,24,44,24,24,1,common,13,1.32,174.58
KAD_MOH_023,16,13,12,13,12,0,common,13,5.98,183.25
KAD_MOH_023,17,64,58,64,58,0,common,13,1.88,187.89
KAD_MOH_023,18,31,13,13,13,1,common,14,1.19,191.79
KAD_MOH_023,19,88,98,88,88,1,common,15,1.77,196.35
KAD_MOH_023,20,43,31,31,31,1,common,16,2.12,201.21
KAD_MOH_023,21,36,25,36,25,0,common,16,2.02,205.96
KAD_MOH_023,22,42,29,42,29,0,common,16,1.14,209.81
KAD_MOH_023,23,32,20,20,20,1,common,17,2.0,214.54
KAD_MOH_023,24,36,19,36,36,1,common,18,1.23,218.5
KAD_MOH_023,25,36,48,36,36,1,common,19,1.22,222.46
KAD_MOH_023,26,33,13,13,13,1,common,20,2.55,227.73
KAD_MOH_023,27,35,45,35,35,1,common,21,1.11,231.58
KAD_MOH_023,28,24,35,35,24,0,common,21,1.26,235.53
KAD_MOH_023,29,28,45,28,28,1,common,22,1.32,239.59
KAD_MOH_023,30,13,30,13,13,1,common,23,3.7,246.03
KAD_MOH_023,31,36,17,36,36,1,common,24,1.51,250.26
KAD_MOH_023,32,74,62,62,62,1,common,25,2.23,255.23
KAD_MOH_023,33,31,26,31,26,0,common,25,1.12,259.09
KAD_MOH_023,34,38,28,28,28,1,common,26,1.35,263.19
KAD_MOH_023,35,72,81,72,72,1,common,27,4.03,269.97
KAD_MOH_023,36,16,21,16,16,1,common,28,1.01,273.72
KAD_MOH_023,37,36,21,36,36,1,common,29,0.92,277.35
KAD_MOH_023,38,36,16,16,16,1,common,30,1.86,281.92
KAD_MOH_023,39,8,16,8,8,1,common,31,1.84,286.45
KAD_MOH_023,40,12,18,12,12,1,common,32,2.0,291.14
KAD_MOH_023,41,67,76,76,67,0,common,32,1.58,295.48
KAD_MOH_023,42,92,84,92,84,0,common,32,1.49,299.73
KAD_MOH_023,43,34,14,34,14,0,common,32,4.31,306.78
KAD_MOH_023,44,14,9,9,9,1,common,33,1.75,311.24
KAD_MOH_023,45,83,103,103,83,0,common,33,1.81,315.82
KAD_MOH_023,46,23,33,23,23,1,common,34,1.19,319.7
KAD_MOH_023,47,28,19,28,28,1,common,35,1.6,324.01
KAD_MOH_023,48,41,30,41,30,0,common,35,1.09,327.8
KAD_MOH_023,49,35,53,35,35,1,common,36,5.0,335.54
KAD_MOH_023,50,34,33,34,33,0,common,36,1.77,339.99
KAD_MOH_023,51,81,86,81,81,1,common,37,3.91,346.65
KAD_MOH_023,52,33,52,33,33,1,common,38,1.95,351.32
KAD_MOH_023,53,44,30,30,30,1,common,39,2.38,356.45
KAD_MOH_023,54,35,30,35,30,0,common,39,1.13,360.26
KAD_MOH_023,55,52,20,52,52,1,common,40,3.64,366.64
KAD_MOH_023,56,31,52,52,52,1,common,41,1.21,370.6
KAD_MOH_023,57,24,32,24,24,1,common,42,0.93,374.24
KAD_MOH_023,58,35,60,35,60,0,common,42,2.3,379.27
KAD_MOH_023,59,32,27,32,32,1,common,43,1.13,383.1
KAD_MOH_023,60,20,31,20,20,1,common,44,1.11,386.9
KAD_MOH_023,61,29,23,29,23,0,common,44,3.22,392.83
KAD_MOH_023,62,14,24,14,24,0,common,44,2.21,397.75
KAD_MOH_023,63,32,51,32,32,1,common,45,1.25,401.73
KAD_MOH_023,64,11,30,11,11,1,common,46,1.6,406.04
KAD_MOH_023,65,53,72,53,53,1,common,47,1.53,410.32
KAD_MOH_023,66,41,51,41,41,1,common,48,0.89,413.93
KAD_MOH_023,67,42,26,26,26,1,common,49,1.31,417.97
KAD_MOH_023,68,23,48,48,48,1,common,50,1.31,422.0
KAD_MOH_023,69,30,56,56,56,1,common,51,0.91,425.66
KAD_MOH_023,70,43,62,43,43,1,common,52,0.96,429.35
KAD_MOH_023,71,50,44,44,44,1,common,53,1.02,433.13
KAD_MOH_023,72,14,20,20,20,1,common,54,1.39,437.23
KAD_MOH_023,73,32,26,26,26,1,common,55,1.31,441.24
KAD_MOH_023,74,39,19,19,19,1,common,56,1.58,445.51
KAD_MOH_023,75,24,14,24,24,1,common,57,1.24,449.49
KAD_MOH_023,76,55,70,55,55,1,common,58,1.64,453.88
KAD_MOH_023,77,15,6,6,6,1,common,59,1.74,458.33
KAD_MOH_023,78,44,31,31,31,1,common,60,2.79,463.86
KAD_MOH_023,79,28,60,60,60,1,common,61,1.19,467.8
KAD_MOH_023,80,20,31,20,20,1,common,62,1.54,472.05
KAD_MOH_023,81,23,36,23,36,0,common,62,2.18,476.96
KAD_MOH_023,82,63,80,63,63,1,common,63,1.86,481.57
KAD_MOH_023,83,8,28,8,8,1,common,64,0.99,485.28
KAD_MOH_023,84,32,21,32,32,1,common,65,2.0,490.01
KAD_MOH_023,85,41,29,29,29,1,common,66,1.53,494.22
KAD_MOH_023,86,40,22,22,40,0,common,66,2.18,499.13
KAD_MOH_023,87,27,14,14,14,1,common,67,1.84,503.73
KAD_MOH_023,88,48,32,32,48,0,common,67,2.0,508.49
KAD_MOH_023,89,42,29,29,29,1,common,68,1.92,513.18
KAD_MOH_023,90,81,92,81,81,1,common,69,1.48,517.42
KAD_MOH_023,91,22,20,22,20,0,common,69,1.48,521.64
KAD_MOH_023,92,32,45,32,32,1,common,70,1.16,525.54
KAD_MOH_023,93,49,33,33,33,1,common,71,0.92,529.18
KAD_MOH_023,94,41,58,41,41,1,common,72,1.95,533.91
KAD_MOH_023,95,36,22,36,36,1,common,73,3.62,540.25
KAD_MOH_023,96,83,77,83,77,0,common,73,1.9,544.92
KAD_MOH_023,97,68,62,62,62,1,common,74,1.07,548.76
KAD_MOH_023,98,22,17,22,17,0,common,74,2.8,554.27
KAD_MOH_023,99,29,18,18,18,1,common,75,0.75,557.73
