id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
KAD_MOH_023,100,6,6,1,0,1.46,28.45
KAD_MOH_023,101,6,6,1,0,1.12,33.72
KAD_MOH_023,102,6,0,0,0,0.94,38.81
KAD_MOH_023,0,0,0,1,1,1.43,57.91
KAD_MOH_023,1,6,6,1,2,0.83,60.9
KAD_MOH_023,2,6,6,1,3,0.75,63.81
KAD_MOH_023,3,6,6,1,4,0.48,66.46
KAD_MOH_023,4,0,6,0,4,2.74,71.38
KAD_MOH_023,5,0,6,0,4,1.09,74.64
KAD_MOH_023,6,6,6,1,5,0.86,77.67
KAD_MOH_023,7,6,6,1,6,0.73,80.55
KAD_MOH_023,8,0,0,1,7,0.7,83.42
KAD_MOH_023,9,6,6,1,8,0.58,86.19
KAD_MOH_023,10,0,6,0,8,0.37,88.74
KAD_MOH_023,11,6,6,1,9,0.52,91.45
KAD_MOH_023,12,0,0,1,10,0.82,94.47
KAD_MOH_023,13,6,6,1,11,0.03,96.69
KAD_MOH_023,14,6,6,1,12,0.69,99.55
KAD_MOH_023,15,0,6,0,12,0.7,102.46
KAD_MOH_023,16,0,6,0,12,0.48,105.11
KAD_MOH_023,17,6,6,1,13,0.69,107.99
KAD_MOH_023,18,6,6,1,14,1.62,111.76
KAD_MOH_023,19,0,0,1,15,0.68,114.64
KAD_MOH_023,20,0,6,0,15,0.93,117.74
KAD_MOH_023,21,6,6,1,16,7.54,127.45
KAD_MOH_023,22,6,6,1,17,0.55,130.17
KAD_MOH_023,23,6,6,1,18,5.34,137.69
KAD_MOH_023,24,0,0,1,19,0.59,140.45
KAD_MOH_023,25,6,6,1,20,0.42,143.05
KAD_MOH_023,26,0,0,1,21,0.51,145.76
KAD_MOH_023,27,6,6,1,22,0.95,148.88
KAD_MOH_023,28,0,6,0,22,0.57,151.63
KAD_MOH_023,29,6,6,1,23,3.8,157.6
KAD_MOH_023,30,6,6,1,24,0.47,160.23
KAD_MOH_023,31,0,0,1,25,0.9,163.29
KAD_MOH_023,32,6,6,1,26,0.78,166.26
KAD_MOH_023,33,0,0,1,27,0.64,169.07
KAD_MOH_023,34,0,0,1,28,0.5,171.76
KAD_MOH_023,35,6,6,1,29,0.46,174.39
KAD_MOH_023,36,6,6,1,30,0.55,177.11
KAD_MOH_023,37,0,0,1,31,0.63,179.9
KAD_MOH_023,38,0,0,1,32,0.5,182.58
KAD_MOH_023,39,6,6,1,33,0.37,185.11
KAD_MOH_023,40,0,0,1,34,0.32,187.61
KAD_MOH_023,41,0,0,1,35,0.39,190.17
KAD_MOH_023,42,6,6,1,36,0.29,192.63
KAD_MOH_023,43,6,6,1,37,0.35,195.15
KAD_MOH_023,44,6,6,1,38,0.47,197.79
KAD_MOH_023,45,6,6,1,39,0.38,200.35
KAD_MOH_023,46,6,6,1,40,0.29,202.8
KAD_MOH_023,47,6,6,1,41,0.29,205.26
KAD_MOH_023,48,0,0,1,42,0.34,207.78
KAD_MOH_023,49,0,0,1,43,0.24,210.2
KAD_MOH_023,50,0,0,1,44,0.29,212.67
KAD_MOH_023,51,6,6,1,45,0.76,215.58
KAD_MOH_023,52,6,6,1,46,0.22,217.96
KAD_MOH_023,53,6,6,1,47,0.25,220.39
KAD_MOH_023,54,6,6,1,48,0.26,222.84
KAD_MOH_023,55,6,6,1,49,0.23,225.24
KAD_MOH_023,56,6,6,1,50,0.23,227.64
KAD_MOH_023,57,6,6,1,51,0.3,230.13
KAD_MOH_023,58,6,6,1,52,0.03,232.34
KAD_MOH_023,59,6,6,1,53,0.29,234.79
KAD_MOH_023,60,6,6,1,54,0.3,237.27
KAD_MOH_023,61,6,6,1,55,0.19,239.64
KAD_MOH_023,62,6,6,1,56,1.07,242.88
KAD_MOH_023,63,6,6,1,57,0.26,245.32
KAD_MOH_023,64,6,6,1,58,0.22,247.74
KAD_MOH_023,65,6,6,1,59,0.25,250.16
KAD_MOH_023,66,6,6,1,60,0.32,252.65
KAD_MOH_023,67,0,0,1,61,0.26,255.08
KAD_MOH_023,68,0,0,1,62,0.26,257.52
KAD_MOH_023,69,6,6,1,63,0.76,260.46
KAD_MOH_023,70,6,6,1,64,0.21,262.86
KAD_MOH_023,71,6,6,1,65,0.23,265.26
KAD_MOH_023,72,6,6,1,66,0.23,267.66
KAD_MOH_023,73,0,0,1,67,0.32,270.15
KAD_MOH_023,74,0,0,1,68,0.32,272.65
KAD_MOH_023,75,6,6,1,69,0.24,275.07
KAD_MOH_023,76,6,6,1,70,0.31,277.56
KAD_MOH_023,77,6,6,1,71,0.19,279.9
KAD_MOH_023,78,6,6,1,72,0.23,282.29
KAD_MOH_023,79,6,6,1,73,0.23,284.69
KAD_MOH_023,80,6,6,1,74,0.66,287.54
KAD_MOH_023,81,0,0,1,75,0.32,290.03
KAD_MOH_023,82,6,6,1,76,0.24,292.45
KAD_MOH_023,83,6,6,1,77,1.24,295.87
KAD_MOH_023,84,0,0,1,78,0.33,298.36
KAD_MOH_023,85,6,6,1,79,0.55,301.08
KAD_MOH_023,86,6,6,1,80,0.35,303.61
KAD_MOH_023,87,6,6,1,81,0.35,306.15
KAD_MOH_023,88,6,6,1,82,0.36,308.69
KAD_MOH_023,89,6,6,1,83,0.52,311.4
KAD_MOH_023,90,0,0,1,84,0.24,313.83
KAD_MOH_023,91,6,6,1,85,0.4,316.43
KAD_MOH_023,92,6,6,1,86,0.42,319.04
KAD_MOH_023,93,6,6,1,87,0.99,322.19
KAD_MOH_023,94,6,6,1,88,0.34,324.7
KAD_MOH_023,95,6,6,1,89,0.54,327.43
KAD_MOH_023,96,6,6,1,90,0.23,329.83
KAD_MOH_023,97,0,0,1,91,0.27,332.27
KAD_MOH_023,98,0,0,1,92,0.22,334.68
KAD_MOH_023,99,6,6,1,93,0.32,337.2
