id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
KAM_ALE_027,100,29,45,29,29,1,common,0,4.17,112.25
KAM_ALE_027,101,52,66,52,52,1,common,0,25.95,142.98
KAM_ALE_027,102,53,44,53,44,0,common,0,37.41,185.17
KAM_ALE_027,0,24,44,24,24,1,common,1,6.47,209.59
KAM_ALE_027,1,29,23,23,23,1,common,2,10.98,223.34
KAM_ALE_027,2,27,12,12,12,1,common,3,5.52,231.58
KAM_ALE_027,3,74,65,65,65,1,common,4,7.33,241.68
KAM_ALE_027,4,90,75,75,75,1,common,5,5.74,250.2
KAM_ALE_027,5,12,18,12,12,1,common,6,7.4,260.33
KAM_ALE_027,6,16,9,9,9,1,common,7,6.66,269.71
KAM_ALE_027,7,25,40,40,40,1,common,8,10.37,282.83
KAM_ALE_027,8,75,60,60,60,1,common,9,8.4,293.97
KAM_ALE_027,9,43,25,25,25,1,common,10,6.17,302.91
KAM_ALE_027,10,15,26,15,15,1,common,11,18.74,324.4
KAM_ALE_027,11,71,54,54,54,1,common,12,10.35,337.53
KAM_ALE_027,12,29,46,29,29,1,common,13,9.35,349.61
KAM_ALE_027,13,53,33,33,33,1,common,14,38.46,390.8
KAM_ALE_027,14,38,52,38,38,1,common,15,7.75,401.32
KAM_ALE_027,15,24,44,24,24,1,common,16,6.02,410.08
KAM_ALE_027,16,12,13,13,12,0,common,16,34.94,447.75
KAM_ALE_027,17,58,64,58,58,1,common,17,38.93,489.47
KAM_ALE_027,18,31,13,13,13,1,common,18,7.08,499.29
KAM_ALE_027,19,88,98,88,88,1,common,19,27.61,529.7
KAM_ALE_027,20,31,43,31,31,1,common,20,26.82,559.28
KAM_ALE_027,21,36,25,25,25,1,common,21,46.42,608.45
KAM_ALE_027,22,29,42,29,29,1,common,22,24.44,635.61
KAM_ALE_027,23,20,32,32,20,0,common,22,21.07,659.4
KAM_ALE_027,24,36,19,36,36,1,common,23,9.01,671.16
KAM_ALE_027,25,36,48,36,36,1,common,24,8.21,682.14
KAM_ALE_027,26,33,13,13,13,1,common,25,5.32,690.2
KAM_ALE_027,27,35,45,35,35,1,common,26,10.43,703.4
KAM_ALE_027,28,24,35,35,24,0,common,26,46.33,752.47
KAM_ALE_027,29,28,45,28,28,1,common,27,7.69,762.93
KAM_ALE_027,30,13,30,13,13,1,common,28,8.06,773.74
KAM_ALE_027,31,17,36,17,36,0,common,28,8.44,784.94
KAM_ALE_027,32,62,74,62,62,1,common,29,6.9,794.61
KAM_ALE_027,33,31,26,26,26,1,common,30,12.74,810.07
KAM_ALE_027,34,28,38,38,28,0,common,30,38.66,851.48
KAM_ALE_027,35,81,72,72,72,1,common,31,17.58,871.83
KAM_ALE_027,36,16,21,16,16,1,common,32,52.88,927.45
KAM_ALE_027,37,36,21,36,36,1,common,33,6.0,936.19
KAM_ALE_027,38,36,16,16,16,1,common,34,10.57,949.49
KAM_ALE_027,39,8,16,8,8,1,common,35,5.82,958.08
KAM_ALE_027,40,18,12,12,12,1,common,36,8.44,969.27
KAM_ALE_027,41,76,67,67,67,1,common,37,13.89,985.96
KAM_ALE_027,42,92,84,84,84,1,common,38,57.8,1046.52
KAM_ALE_027,43,34,14,14,14,1,common,39,5.8,1055.07
KAM_ALE_027,44,14,9,9,9,1,common,40,15.13,1072.95
KAM_ALE_027,45,83,103,103,83,0,common,40,11.7,1087.44
KAM_ALE_027,46,33,23,23,23,1,common,41,15.51,1105.71
KAM_ALE_027,47,28,19,19,28,0,common,41,9.67,1118.15
KAM_ALE_027,48,41,30,30,30,1,common,42,26.52,1147.39
KAM_ALE_027,49,53,35,35,35,1,common,43,11.12,1161.27
KAM_ALE_027,50,34,33,33,33,1,pro,44,13.06,1177.1
KAM_ALE_027,51,81,86,81,81,1,pro,45,43.46,1223.36
KAM_ALE_027,52,33,52,33,33,1,pro,46,9.95,1236.06
KAM_ALE_027,53,30,44,30,30,1,pro,47,26.52,1265.36
