id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
LAK_CAM_036,100,6,6,1,0,0.58,29.18
LAK_CAM_036,101,6,6,1,0,0.47,33.83
LAK_CAM_036,102,6,0,0,0,0.45,38.45
LAK_CAM_036,0,0,0,1,1,0.78,56.38
LAK_CAM_036,1,6,6,1,2,0.58,59.14
LAK_CAM_036,2,6,6,1,3,0.44,61.79
LAK_CAM_036,3,6,6,1,4,0.76,64.75
LAK_CAM_036,4,6,6,1,5,0.44,67.37
LAK_CAM_036,5,6,6,1,6,0.32,69.87
LAK_CAM_036,6,6,6,1,7,0.35,72.4
LAK_CAM_036,7,6,6,1,8,0.42,75.0
LAK_CAM_036,8,0,0,1,9,0.31,77.53
LAK_CAM_036,9,6,6,1,10,0.27,79.97
LAK_CAM_036,10,0,6,0,10,1.19,83.32
LAK_CAM_036,11,6,6,1,11,0.35,85.83
LAK_CAM_036,12,0,0,1,12,0.28,88.3
LAK_CAM_036,13,6,6,1,13,0.49,90.96
LAK_CAM_036,14,6,6,1,14,0.43,93.58
LAK_CAM_036,15,0,6,0,14,0.4,96.18
LAK_CAM_036,16,6,6,1,15,0.35,98.7
LAK_CAM_036,17,6,6,1,16,0.24,101.14
LAK_CAM_036,18,6,6,1,17,0.24,103.55
LAK_CAM_036,19,0,0,1,18,0.46,106.22
LAK_CAM_036,20,6,6,1,19,0.9,109.3
LAK_CAM_036,21,6,6,1,20,0.39,111.87
LAK_CAM_036,22,6,6,1,21,0.32,114.39
LAK_CAM_036,23,6,6,1,22,0.44,117.04
LAK_CAM_036,24,0,0,1,23,0.26,119.5
LAK_CAM_036,25,6,6,1,24,0.27,121.97
LAK_CAM_036,26,0,0,1,25,0.24,124.42
LAK_CAM_036,27,6,6,1,26,0.33,126.95
LAK_CAM_036,28,6,6,1,27,0.27,129.42
LAK_CAM_036,29,6,6,1,28,0.55,132.17
LAK_CAM_036,30,6,6,1,29,2.01,136.36
LAK_CAM_036,31,0,0,1,30,0.39,138.94
LAK_CAM_036,32,6,6,1,31,0.27,141.4
LAK_CAM_036,33,0,0,1,32,0.36,143.94
LAK_CAM_036,34,0,0,1,33,0.26,146.41
LAK_CAM_036,35,0,6,0,33,0.91,149.5
LAK_CAM_036,36,6,6,1,34,0.48,152.17
LAK_CAM_036,37,0,0,1,35,0.28,154.62
LAK_CAM_036,38,0,0,1,36,0.36,157.18
LAK_CAM_036,39,6,6,1,37,0.27,159.64
LAK_CAM_036,40,0,0,1,38,0.28,162.1
LAK_CAM_036,41,0,0,1,39,0.32,164.62
LAK_CAM_036,42,6,6,1,40,0.28,167.1
LAK_CAM_036,43,6,6,1,41,0.26,169.55
LAK_CAM_036,44,6,6,1,42,0.27,172.02
LAK_CAM_036,45,6,6,1,43,0.79,175.04
LAK_CAM_036,46,6,6,1,44,0.46,177.7
LAK_CAM_036,47,6,6,1,45,0.74,180.64
LAK_CAM_036,48,0,0,1,46,0.3,183.13
LAK_CAM_036,49,0,0,1,47,0.5,185.82
LAK_CAM_036,50,0,0,1,48,0.32,188.32
LAK_CAM_036,51,6,6,1,49,0.24,190.76
LAK_CAM_036,52,6,6,1,50,0.23,193.16
