id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
LAN_PIE_012,100,29,45,29,29,1,common,0,4.61,80.49
LAN_PIE_012,101,52,66,52,52,1,common,0,2.14,87.39
LAN_PIE_012,102,44,53,44,44,1,common,0,2.69,94.86
LAN_PIE_012,0,44,24,24,24,1,common,1,1.75,114.83
LAN_PIE_012,1,29,23,29,23,0,common,1,1.16,118.75
LAN_PIE_012,2,12,27,12,12,1,common,2,1.55,123.02
LAN_PIE_012,3,65,74,65,65,1,common,3,2.27,128.07
LAN_PIE_012,4,90,75,75,75,1,common,4,3.17,134.04
LAN_PIE_012,5,12,18,12,12,1,common,5,1.08,137.87
LAN_PIE_012,6,9,16,9,9,1,common,6,0.83,141.42
LAN_PIE_012,7,40,25,40,40,1,common,7,2.14,146.29
LAN_PIE_012,8,75,60,60,60,1,common,8,2.56,151.61
LAN_PIE_012,9,43,25,25,25,1,common,9,1.39,155.76
LAN_PIE_012,10,15,26,15,15,1,common,10,1.39,159.86
LAN_PIE_012,11,54,71,54,54,1,common,11,1.67,164.29
LAN_PIE_012,12,46,29,29,29,1,common,12,1.72,168.74
LAN_PIE_012,13,33,53,33,33,1,common,13,4.45,175.92
LAN_PIE_012,14,52,38,38,38,1,common,14,3.0,181.72
LAN_PIE_012,15,24,44,24,24,1,common,15,2.74,187.21
LAN_PIE_012,16,12,13,13,12,0,common,15,3.5,193.46
LAN_PIE_012,17,64,58,64,58,0,common,15,4.56,200.78
LAN_PIE_012,18,31,13,13,13,1,common,16,1.01,204.53
LAN_PIE_012,19,98,88,98,88,0,common,16,1.97,209.27
LAN_PIE_012,20,31,43,43,31,0,common,16,4.44,216.46
LAN_PIE_012,21,36,25,25,25,1,common,17,5.12,224.28
LAN_PIE_012,22,29,42,29,29,1,common,18,1.44,228.45
LAN_PIE_012,23,20,32,20,20,1,common,19,2.43,233.62
LAN_PIE_012,24,19,36,36,36,1,common,20,1.07,237.42
LAN_PIE_012,25,36,48,48,36,0,common,20,6.97,247.16
