id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
LAN_PIE_012,100,6,6,1,0,1.41,43.58
LAN_PIE_012,101,6,6,1,0,0.45,48.19
LAN_PIE_012,102,6,0,0,0,0.41,52.78
LAN_PIE_012,0,0,0,1,1,1.09,71.68
LAN_PIE_012,1,6,6,1,2,0.68,74.56
LAN_PIE_012,2,6,6,1,3,1.75,78.51
LAN_PIE_012,3,6,6,1,4,0.36,81.07
LAN_PIE_012,4,6,6,1,5,0.4,83.66
LAN_PIE_012,5,6,6,1,6,0.33,86.2
LAN_PIE_012,6,0,6,0,6,0.54,88.96
LAN_PIE_012,7,6,6,1,7,1.16,92.32
LAN_PIE_012,8,0,0,1,8,0.3,94.84
LAN_PIE_012,9,6,6,1,9,0.56,97.6
LAN_PIE_012,10,6,6,1,10,0.36,100.17
LAN_PIE_012,11,6,6,1,11,0.55,102.92
LAN_PIE_012,12,0,0,1,12,0.26,105.38
LAN_PIE_012,13,6,6,1,13,0.76,108.35
LAN_PIE_012,14,6,6,1,14,0.52,111.06
LAN_PIE_012,15,6,6,1,15,0.34,113.61
LAN_PIE_012,16,6,6,1,16,0.75,116.58
LAN_PIE_012,17,0,6,0,16,1.66,120.43
LAN_PIE_012,18,6,6,1,17,0.89,123.55
LAN_PIE_012,19,0,0,1,18,0.24,126.0
LAN_PIE_012,20,0,6,0,18,0.59,128.8
LAN_PIE_012,21,6,6,1,19,0.38,131.37
LAN_PIE_012,22,6,6,1,20,0.97,134.55
LAN_PIE_012,23,6,6,1,21,2.41,139.15
LAN_PIE_012,24,0,0,1,22,0.3,141.66
LAN_PIE_012,25,6,6,1,23,0.53,144.41
LAN_PIE_012,26,0,0,1,24,0.33,146.94
LAN_PIE_012,27,6,6,1,25,0.44,149.58
LAN_PIE_012,28,6,6,1,26,0.94,152.73
LAN_PIE_012,29,0,6,0,26,0.6,155.52
LAN_PIE_012,30,6,6,1,27,0.46,158.17
LAN_PIE_012,31,0,0,1,28,0.27,160.63
LAN_PIE_012,32,6,6,1,29,0.36,163.21
LAN_PIE_012,33,0,0,1,30,0.29,165.68
LAN_PIE_012,34,0,0,1,31,0.26,168.14
LAN_PIE_012,35,6,6,1,32,1.38,171.73
LAN_PIE_012,36,6,6,1,33,1.01,174.94
LAN_PIE_012,37,0,0,1,34,0.36,177.52
LAN_PIE_012,38,0,0,1,35,0.38,180.12
LAN_PIE_012,39,6,6,1,36,1.29,183.6
LAN_PIE_012,40,0,0,1,37,0.23,186.04
LAN_PIE_012,41,0,0,1,38,0.35,188.61
LAN_PIE_012,42,6,6,1,39,0.36,191.15
LAN_PIE_012,43,6,6,1,40,1.0,194.34
LAN_PIE_012,44,0,6,0,40,0.59,197.15
LAN_PIE_012,45,6,6,1,41,0.4,199.74
LAN_PIE_012,46,6,6,1,42,1.5,203.41
LAN_PIE_012,47,6,6,1,43,0.43,206.02
LAN_PIE_012,48,0,0,1,44,0.22,208.47
LAN_PIE_012,49,0,0,1,45,0.36,211.03
LAN_PIE_012,50,0,0,1,46,0.63,213.87
LAN_PIE_012,51,6,6,1,47,1.01,217.08
LAN_PIE_012,52,6,6,1,48,0.26,219.55
LAN_PIE_012,53,6,6,1,49,0.81,222.54
LAN_PIE_012,54,6,6,1,50,0.26,225.0
LAN_PIE_012,55,6,6,1,51,0.35,227.54
LAN_PIE_012,56,6,6,1,52,0.57,230.31
LAN_PIE_012,57,6,6,1,53,0.45,232.96
LAN_PIE_012,58,6,6,1,54,0.36,235.53
LAN_PIE_012,59,6,6,1,55,0.35,238.08
LAN_PIE_012,60,6,6,1,56,0.33,240.62
LAN_PIE_012,61,6,6,1,57,0.25,243.08
LAN_PIE_012,62,6,6,1,58,0.36,245.65
LAN_PIE_012,63,6,6,1,59,0.44,248.28
