id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
LEU_SEV_007,100,29,45,29,29,1,common,0,3.11,69.2
LEU_SEV_007,101,66,52,52,52,1,common,0,3.14,77.09
LEU_SEV_007,102,44,53,44,44,1,common,0,2.29,84.14
LEU_SEV_007,0,44,24,24,24,1,common,1,2.18,105.38
LEU_SEV_007,1,29,23,23,23,1,common,2,2.22,110.36
LEU_SEV_007,2,12,27,12,12,1,common,3,1.56,114.66
LEU_SEV_007,3,65,74,65,65,1,common,4,2.15,119.57
LEU_SEV_007,4,90,75,75,75,1,common,5,1.52,123.89
LEU_SEV_007,5,18,12,18,12,0,common,5,3.58,130.22
LEU_SEV_007,6,16,9,9,9,1,common,6,2.03,134.98
LEU_SEV_007,7,25,40,25,40,0,common,6,1.43,139.13
LEU_SEV_007,8,60,75,60,60,1,common,7,2.28,144.2
LEU_SEV_007,9,43,25,25,25,1,common,8,2.47,149.44
LEU_SEV_007,10,26,15,15,15,1,common,9,4.01,156.18
LEU_SEV_007,11,54,71,54,54,1,common,10,1.94,160.86
LEU_SEV_007,12,46,29,29,29,1,common,11,1.73,165.29
LEU_SEV_007,13,53,33,33,33,1,common,12,2.86,170.87
LEU_SEV_007,14,38,52,38,38,1,common,13,1.74,175.36
LEU_SEV_007,15,24,44,24,24,1,common,14,1.57,179.68
LEU_SEV_007,16,12,13,13,12,0,common,14,3.2,185.58
LEU_SEV_007,17,58,64,64,58,0,common,14,2.3,190.66
LEU_SEV_007,18,13,31,13,13,1,common,15,2.48,195.88
LEU_SEV_007,19,88,98,98,88,0,common,15,2.69,201.34
LEU_SEV_007,20,31,43,43,31,0,common,15,2.57,206.66
LEU_SEV_007,21,36,25,36,25,0,common,15,8.72,218.12
LEU_SEV_007,22,42,29,29,29,1,common,16,1.15,221.99
LEU_SEV_007,23,20,32,20,20,1,common,17,1.77,226.51
LEU_SEV_007,24,36,19,36,36,1,common,18,4.06,233.3
LEU_SEV_007,25,36,48,36,36,1,common,19,1.87,237.94
LEU_SEV_007,26,33,13,33,13,0,common,19,2.39,243.05
LEU_SEV_007,27,45,35,35,35,1,common,20,1.45,247.27
LEU_SEV_007,28,35,24,24,24,1,common,21,3.2,253.22
LEU_SEV_007,29,45,28,28,28,1,common,22,1.47,257.46
LEU_SEV_007,30,13,30,13,13,1,common,23,1.91,262.12
LEU_SEV_007,31,17,36,36,36,1,common,24,4.06,268.92
LEU_SEV_007,32,62,74,62,62,1,common,25,2.24,273.93
LEU_SEV_007,33,26,31,31,26,0,common,25,3.7,280.39
LEU_SEV_007,34,38,28,38,28,0,common,25,4.29,287.45
LEU_SEV_007,35,72,81,72,72,1,common,26,2.82,293.04
LEU_SEV_007,36,16,21,21,16,0,common,26,5.0,300.79
LEU_SEV_007,37,36,21,36,36,1,common,27,4.76,308.32
LEU_SEV_007,38,16,36,36,16,0,common,27,2.32,313.38
LEU_SEV_007,39,8,16,16,8,0,common,27,1.99,318.1
LEU_SEV_007,40,18,12,18,12,0,common,27,11.01,331.88
LEU_SEV_007,41,76,67,76,67,0,common,27,2.46,337.12
LEU_SEV_007,42,92,84,84,84,1,common,28,2.48,342.39
LEU_SEV_007,43,14,34,14,14,1,common,29,3.53,348.67
LEU_SEV_007,44,9,14,9,9,1,common,30,3.79,355.19
LEU_SEV_007,45,83,103,103,83,0,common,30,2.62,360.58
LEU_SEV_007,46,33,23,23,23,1,common,31,2.72,366.02
LEU_SEV_007,47,19,28,28,28,1,common,32,6.4,375.16
LEU_SEV_007,48,30,41,30,30,1,common,33,2.2,380.08
LEU_SEV_007,49,35,53,35,35,1,common,34,2.69,385.54
LEU_SEV_007,50,34,33,33,33,1,common,35,2.33,390.61
LEU_SEV_007,51,86,81,86,81,0,common,35,4.24,397.65
LEU_SEV_007,52,33,52,52,33,0,common,35,5.42,405.8
LEU_SEV_007,53,30,44,44,30,0,common,35,3.97,412.51
LEU_SEV_007,54,35,30,35,30,0,common,35,2.55,417.78
LEU_SEV_007,55,52,20,52,52,1,common,36,1.6,422.18
LEU_SEV_007,56,31,52,52,52,1,common,37,5.51,430.42
LEU_SEV_007,57,24,32,24,24,1,common,38,5.14,438.27
LEU_SEV_007,58,60,35,60,60,1,common,39,6.87,447.9
LEU_SEV_007,59,27,32,27,32,0,common,39,1.62,452.27
LEU_SEV_007,60,20,31,20,20,1,common,40,1.98,456.99
LEU_SEV_007,61,29,23,23,23,1,common,41,2.32,462.1
LEU_SEV_007,62,24,14,24,24,1,common,42,3.81,468.65
LEU_SEV_007,63,51,32,32,32,1,common,43,2.04,473.45
LEU_SEV_007,64,30,11,11,11,1,common,44,1.73,477.89
LEU_SEV_007,65,53,72,53,53,1,common,45,1.7,482.37
LEU_SEV_007,66,51,41,41,41,1,common,46,4.49,489.64
LEU_SEV_007,67,42,26,26,26,1,common,47,4.7,497.1
LEU_SEV_007,68,23,48,48,48,1,common,48,1.83,501.7
LEU_SEV_007,69,30,56,56,56,1,common,49,4.1,508.59
LEU_SEV_007,70,43,62,43,43,1,common,50,2.37,513.75
LEU_SEV_007,71,50,44,44,44,1,common,51,2.27,518.76
LEU_SEV_007,72,14,20,20,20,1,common,52,2.16,523.69
LEU_SEV_007,73,26,32,26,26,1,common,53,4.26,530.69
LEU_SEV_007,74,39,19,39,19,0,common,53,6.39,539.81
LEU_SEV_007,75,14,24,24,24,1,common,54,3.24,545.8
LEU_SEV_007,76,70,55,55,55,1,common,55,14.99,563.55
LEU_SEV_007,77,6,15,6,6,1,common,56,0.95,567.23
LEU_SEV_007,78,31,44,31,31,1,common,57,3.28,573.29
LEU_SEV_007,79,28,60,60,60,1,common,58,6.5,582.55
LEU_SEV_007,80,31,20,20,20,1,common,59,4.79,590.07
LEU_SEV_007,81,36,23,36,36,1,common,60,5.21,598.02
LEU_SEV_007,82,80,63,63,63,1,common,61,2.08,602.91
LEU_SEV_007,83,8,28,8,8,1,common,62,1.39,607.0
LEU_SEV_007,84,32,21,32,32,1,common,63,3.32,613.08
LEU_SEV_007,85,41,29,41,29,0,common,63,2.84,618.65
LEU_SEV_007,86,40,22,40,40,1,common,64,2.87,624.28
LEU_SEV_007,87,27,14,27,14,0,common,64,3.1,630.15
LEU_SEV_007,88,48,32,32,48,0,common,64,3.89,636.77
LEU_SEV_007,89,29,42,29,29,1,common,65,1.82,641.33
LEU_SEV_007,90,92,81,81,81,1,common,66,2.53,646.67
LEU_SEV_007,91,20,22,20,20,1,common,67,2.46,651.88
LEU_SEV_007,92,32,45,32,32,1,common,68,2.64,657.29
LEU_SEV_007,93,49,33,49,33,0,common,68,27.22,687.25
LEU_SEV_007,94,41,58,41,41,1,common,69,1.65,691.71
LEU_SEV_007,95,22,36,36,36,1,common,70,3.47,697.95
LEU_SEV_007,96,77,83,83,77,0,common,70,1.62,702.33
LEU_SEV_007,97,62,68,62,62,1,common,71,2.15,707.27
LEU_SEV_007,98,22,17,22,17,0,common,71,3.15,713.13
LEU_SEV_007,99,18,29,18,18,1,common,72,3.7,719.59
